,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,SMED,31468,94424,Q,
20100105,SMED,19092,72257,Q,
20100106,SMED,5445,44481,Q,
20100107,SMED,20382,36422,Q,
20100108,SMED,12206,25111,Q,
20100111,SMED,24290,39832,Q,
20100112,SMED,13085,27800,Q,
20100113,SMED,21699,50642,Q,
20100114,SMED,18834,39260,Q,
20100115,SMED,6382,14225,Q,
20100119,SMED,36433,50618,Q,
20100120,SMED,7442,22357,Q,
20100121,SMED,13310,31001,Q,
20100122,SMED,22761,145801,Q,
20100125,SMED,44998,107993,Q,
20100126,SMED,16364,48947,Q,
20100127,SMED,56385,165617,Q,
20100128,SMED,26315,100733,Q,
20100129,SMED,36963,74314,Q,
20100201,SMED,11621,58547,Q,
20100202,SMED,18190,45667,Q,
20100203,SMED,27559,47662,Q,
20100204,SMED,52654,184366,Q,
20100205,SMED,77453,216318,Q,
20100208,SMED,57111,107179,Q,
20100209,SMED,33394,136880,Q,
20100210,SMED,66349,119483,Q,
20100211,SMED,94250,229548,Q,
20100212,SMED,80253,146818,Q,
20100216,SMED,58192,134160,Q,
20100217,SMED,13822,74872,Q,
20100218,SMED,16500,50474,Q,
20100219,SMED,29158,72681,Q,
20100222,SMED,14653,56463,Q,
20100223,SMED,12160,60287,Q,
20100224,SMED,10523,54451,Q,
20100225,SMED,19650,47846,Q,
20100226,SMED,16771,59843,Q,
20100301,SMED,19365,103782,Q,
20100302,SMED,83165,177092,Q,
20100303,SMED,31894,87410,Q,
20100304,SMED,46662,91179,Q,
20100305,SMED,18116,41725,Q,
20100308,SMED,25421,103481,Q,
20100309,SMED,37207,88826,Q,
20100310,SMED,46273,81503,Q,
20100311,SMED,14390,32279,Q,
20100312,SMED,16070,24171,Q,
20100315,SMED,12415,33967,Q,
20100316,SMED,25309,66012,Q,
20100317,SMED,12586,84673,Q,
20100318,SMED,7496,52616,Q,
20100319,SMED,22718,96933,Q,
20100322,SMED,35680,75973,Q,
20100323,SMED,30109,53573,Q,
20100324,SMED,37365,56485,Q,
20100325,SMED,30031,54459,Q,
20100326,SMED,36269,76333,Q,
20100329,SMED,13279,34823,Q,
20100330,SMED,16400,70700,Q,
20100331,SMED,13312,59500,Q,
20100401,SMED,9997,43313,Q,
20100405,SMED,16989,58845,Q,
20100406,SMED,29924,71045,Q,
20100407,SMED,33297,56866,Q,
20100408,SMED,43493,70165,Q,
20100409,SMED,38120,106035,Q,
20100412,SMED,60344,110683,Q,
20100413,SMED,37150,64515,Q,
20100414,SMED,41915,70263,Q,
20100415,SMED,32023,57691,Q,
20100416,SMED,23293,63061,Q,
20100419,SMED,58482,104353,Q,
20100420,SMED,54195,98320,Q,
20100421,SMED,84180,127256,Q,
20100422,SMED,27583,49630,Q,
20100423,SMED,24434,46104,Q,
20100426,SMED,11447,85256,Q,
20100427,SMED,8374,68173,Q,
20100428,SMED,14603,60164,Q,
20100429,SMED,147270,651405,Q,
20100430,SMED,10361,69803,Q,
20100503,SMED,6355,36043,Q,
20100504,SMED,23754,71653,Q,
20100510,SMED,18367,77266,Q,
20100511,SMED,12338,63610,Q,
20100512,SMED,14906,63150,Q,
20100513,SMED,7610,37142,Q,
20100517,SMED,11965,67003,Q,
20100518,SMED,6406,37585,Q,
20100519,SMED,10734,37035,Q,
20100520,SMED,17939,67382,Q,
20100521,SMED,15965,46387,Q,
20100524,SMED,14740,30505,Q,
20100525,SMED,27556,52487,Q,
20100526,SMED,11916,20986,Q,
20100527,SMED,15427,30622,Q,
20100528,SMED,8488,18691,Q,
20100601,SMED,16638,139136,Q,
20100602,SMED,54840,106803,Q,
20100603,SMED,60128,208697,Q,
20100604,SMED,25665,69661,Q,
20100607,SMED,32794,75661,Q,
20100608,SMED,20737,46398,Q,
20100609,SMED,32010,50755,Q,
20100610,SMED,22355,91331,Q,
20100611,SMED,12324,62569,Q,
20100614,SMED,20035,73657,Q,
20100615,SMED,23498,49516,Q,
20100616,SMED,28248,74167,Q,
20100617,SMED,24522,47899,Q,
20100618,SMED,5752,24483,Q,
20100621,SMED,8600,22611,Q,
20100622,SMED,6854,30072,Q,
20100623,SMED,8789,19531,Q,
20100624,SMED,5200,21486,Q,
20100625,SMED,14288,20567,Q,
20100628,SMED,19019,24119,Q,
20100629,SMED,12877,30787,Q,
20100630,SMED,44100,128187,Q,
20100701,SMED,19434,43879,Q,
20100702,SMED,8580,28062,Q,
20100706,SMED,28543,46472,Q,
20100707,SMED,8015,14395,Q,
20100708,SMED,9600,21551,Q,
20100709,SMED,15821,35972,Q,
20110804,SMED,8120,49584,,0.0
