,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,SMMX,2904,26707,Q,
20100105,SMMX,732,10303,Q,
20100106,SMMX,1100,18870,Q,
20100107,SMMX,4732,14857,Q,
20100108,SMMX,2928,21649,Q,
20100111,SMMX,9720,29736,Q,
20100112,SMMX,2186,13586,Q,
20100113,SMMX,1946,10545,Q,
20100114,SMMX,9158,15307,Q,
20100115,SMMX,18009,31180,Q,
20100119,SMMX,9600,70935,Q,
20100120,SMMX,9956,27087,Q,
20100121,SMMX,3724,18416,Q,
20100122,SMMX,1255,9814,Q,
20100125,SMMX,3600,29078,Q,
20100126,SMMX,4500,23288,Q,
20100127,SMMX,702,4412,Q,
20100128,SMMX,2395,12860,Q,
20100129,SMMX,1000,8419,Q,
20100201,SMMX,7280,14566,Q,
20100202,SMMX,84438,223864,Q,
20100203,SMMX,30744,100766,Q,
20100204,SMMX,7489,19742,Q,
20100205,SMMX,2787,9987,Q,
20100208,SMMX,4907,20812,Q,
20100209,SMMX,5420,13683,Q,
20100210,SMMX,13700,48363,Q,
20100211,SMMX,10830,29118,Q,
20100212,SMMX,53446,183938,Q,
20100216,SMMX,12920,26721,Q,
20100217,SMMX,1700,33537,Q,
20100218,SMMX,700,4254,Q,
20100219,SMMX,400,10943,Q,
20100222,SMMX,3748,5127,Q,
20100223,SMMX,2000,7326,Q,
20100224,SMMX,1958,20224,Q,
20100225,SMMX,100,6557,Q,
20100226,SMMX,1860,6360,Q,
20100301,SMMX,3100,17583,Q,
20100302,SMMX,6000,78502,Q,
20100303,SMMX,13799,41817,Q,
20100304,SMMX,876,6926,Q,
20100305,SMMX,24751,120648,Q,
20100308,SMMX,4733,232627,Q,
20100309,SMMX,4692,47475,Q,
20100310,SMMX,5214,67820,Q,
20100311,SMMX,9079,53555,Q,
20100312,SMMX,16600,186984,Q,
20100315,SMMX,10499,308640,Q,
20100316,SMMX,2270,18541,Q,
20100317,SMMX,1625,17725,Q,
20100318,SMMX,4832,22023,Q,
20100319,SMMX,10889,31062,Q,
20100322,SMMX,11285,86553,Q,
20100323,SMMX,7056,62165,Q,
20100324,SMMX,5962,16743,Q,
20100325,SMMX,6737,219107,Q,
20100326,SMMX,3300,35764,Q,
20100329,SMMX,12600,52545,Q,
20100330,SMMX,5440,61131,Q,
20100331,SMMX,7625,21719,Q,
20100401,SMMX,15094,34600,Q,
20100405,SMMX,160270,383031,Q,
20100406,SMMX,19489,106620,Q,
20100407,SMMX,29614,65445,Q,
20100408,SMMX,11156,46352,Q,
20100409,SMMX,9644,35418,Q,
20100412,SMMX,8618,24833,Q,
20100413,SMMX,5044,19538,Q,
20100414,SMMX,28409,55094,Q,
20100415,SMMX,17462,63964,Q,
20100416,SMMX,8336,23871,Q,
20100419,SMMX,5630,14180,Q,
20100420,SMMX,5567,14005,Q,
20100421,SMMX,3288,22593,Q,
20100422,SMMX,7838,30150,Q,
20100423,SMMX,10118,22947,Q,
20100426,SMMX,5598,13402,Q,
20100427,SMMX,7456,19917,Q,
20100428,SMMX,9148,18806,Q,
20100429,SMMX,16956,21113,Q,
20100430,SMMX,21155,59268,Q,
20100503,SMMX,4655,80612,Q,
20100504,SMMX,9928,52831,Q,
20100510,SMMX,15273,29534,Q,
20100511,SMMX,11890,48126,Q,
20100512,SMMX,14634,26667,Q,
20100513,SMMX,3579,11878,Q,
20100517,SMMX,12596,27564,Q,
20100518,SMMX,83461,176732,Q,
20100519,SMMX,52922,111625,Q,
20100520,SMMX,15272,28641,Q,
20100521,SMMX,32515,73858,Q,
20100524,SMMX,11934,18534,Q,
20100525,SMMX,5700,23930,Q,
20100526,SMMX,18446,63098,Q,
20100527,SMMX,25152,244277,Q,
20100528,SMMX,22761,79215,Q,
20100601,SMMX,16973,48804,Q,
20100602,SMMX,9510,178877,Q,
20100603,SMMX,10146,49890,Q,
20100604,SMMX,6275,14651,Q,
20100607,SMMX,15500,56343,Q,
20100608,SMMX,9329,27975,Q,
20100609,SMMX,16070,32076,Q,
20100610,SMMX,6950,17250,Q,
20100611,SMMX,29542,53078,Q,
20100614,SMMX,90281,158453,Q,
20100615,SMMX,25053,103424,Q,
20100616,SMMX,237051,677875,Q,
20100617,SMMX,46884,211517,Q,
20100618,SMMX,36183,185362,Q,
20100621,SMMX,16306,65701,Q,
20100622,SMMX,46730,98988,Q,
20100623,SMMX,56600,321093,Q,
20100624,SMMX,7100,17241,Q,
20100625,SMMX,26025,65591,Q,
20100628,SMMX,10698,159248,Q,
20100629,SMMX,14732,74105,Q,
20100630,SMMX,40612,90887,Q,
