,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,SNIC,48658,249981,Q,
20100105,SNIC,17362,168007,Q,
20100106,SNIC,31115,131765,Q,
20100107,SNIC,17540,100927,Q,
20100108,SNIC,10030,128388,Q,
20100111,SNIC,49772,430732,Q,
20100112,SNIC,57051,157938,Q,
20100113,SNIC,34094,215456,Q,
20100114,SNIC,10825,71313,Q,
20100115,SNIC,19610,183316,Q,
20100119,SNIC,48977,224582,Q,
20100120,SNIC,40793,111482,Q,
20100121,SNIC,33622,192389,Q,
20100122,SNIC,126757,563240,Q,
20100125,SNIC,9625,62157,Q,
20100126,SNIC,88305,234692,Q,
20100127,SNIC,41075,130977,Q,
20100128,SNIC,60002,135428,Q,
20100129,SNIC,72551,122689,Q,
20100201,SNIC,61085,157742,Q,
20100202,SNIC,69105,211721,Q,
20100203,SNIC,7835,58308,Q,
20100204,SNIC,60607,237840,Q,
20100205,SNIC,45871,252073,Q,
20100208,SNIC,326914,557309,Q,
20100209,SNIC,97999,221712,Q,
20100210,SNIC,37645,95427,Q,
20100211,SNIC,28300,210140,Q,
20100212,SNIC,10493,84472,Q,
20100216,SNIC,52972,103080,Q,
20100217,SNIC,89289,176723,Q,
20100218,SNIC,40052,72021,Q,
20100219,SNIC,28458,102494,Q,
20100222,SNIC,124021,358176,Q,
20100223,SNIC,199701,389023,Q,
20100224,SNIC,130611,271519,Q,
20100225,SNIC,207864,252043,Q,
20100226,SNIC,79399,155175,Q,
20100301,SNIC,60160,157989,Q,
20100302,SNIC,389268,584684,Q,
20100303,SNIC,60900,157588,Q,
20100304,SNIC,28576,121943,Q,
20100305,SNIC,114635,363869,Q,
20100308,SNIC,40184,126216,Q,
20100309,SNIC,37156,132110,Q,
20100310,SNIC,25222,109064,Q,
20100311,SNIC,221650,286746,Q,
20100312,SNIC,229591,405443,Q,
20100315,SNIC,73977,201212,Q,
20100316,SNIC,110540,229074,Q,
20100317,SNIC,60630,134647,Q,
20100318,SNIC,61564,152090,Q,
20100319,SNIC,52866,199294,Q,
20100322,SNIC,39567,167515,Q,
20100323,SNIC,45321,133966,Q,
20100324,SNIC,20373,86735,Q,
20100325,SNIC,35208,110773,Q,
20100326,SNIC,65135,139222,Q,
20100329,SNIC,36005,60073,Q,
20100330,SNIC,45983,80568,Q,
20100331,SNIC,63995,193134,Q,
20100401,SNIC,40722,68663,Q,
20100405,SNIC,76767,119756,Q,
20100406,SNIC,19164,55191,Q,
20100407,SNIC,78717,102623,Q,
20100408,SNIC,102331,144178,Q,
20100409,SNIC,126718,174535,Q,
20100412,SNIC,184836,255859,Q,
20100413,SNIC,72275,179564,Q,
20100414,SNIC,87701,159191,Q,
20100415,SNIC,100371,159749,Q,
20100416,SNIC,56000,101174,Q,
20100419,SNIC,40998,151543,Q,
20100420,SNIC,37191,84296,Q,
20100421,SNIC,15300,33858,Q,
20100422,SNIC,135784,280884,Q,
20100423,SNIC,135942,370659,Q,
20100426,SNIC,223885,930130,Q,
20100427,SNIC,104648,451655,Q,
20100428,SNIC,76534,157404,Q,
20100429,SNIC,63657,120624,Q,
20100430,SNIC,108784,191249,Q,
20100503,SNIC,41422,131869,Q,
20100504,SNIC,82597,237643,Q,
20100510,SNIC,55963,220607,Q,
20100511,SNIC,57274,148003,Q,
20100512,SNIC,107104,196590,Q,
20100513,SNIC,124946,409372,Q,
20100517,SNIC,74360,139042,Q,
20100518,SNIC,169394,309126,Q,
20100519,SNIC,134499,205064,Q,
20100520,SNIC,160026,264766,Q,
20100521,SNIC,72188,131983,Q,
20100524,SNIC,50526,91351,Q,
20100525,SNIC,105711,194545,Q,
20100526,SNIC,111290,283731,Q,
20100527,SNIC,32454,98249,Q,
20100528,SNIC,61460,141228,Q,
20100601,SNIC,34092,72035,Q,
20100602,SNIC,603216,1155188,Q,
20100603,SNIC,161032,374810,Q,
20100604,SNIC,250504,376442,Q,
20100607,SNIC,302353,575038,Q,
20100608,SNIC,302385,557170,Q,
20100609,SNIC,369106,808388,Q,
20100610,SNIC,331032,470898,Q,
20100611,SNIC,236987,777481,Q,
20100614,SNIC,98483,178593,Q,
20100615,SNIC,80194,183703,Q,
20100616,SNIC,55795,118281,Q,
20100617,SNIC,143127,262125,Q,
20100618,SNIC,136863,240643,Q,
20100621,SNIC,116354,301025,Q,
20100622,SNIC,104524,313271,Q,
20100623,SNIC,54479,133639,Q,
20100624,SNIC,56135,223788,Q,
20100625,SNIC,73656,194221,Q,
20100628,SNIC,96461,162230,Q,
20100629,SNIC,130485,260321,Q,
20100630,SNIC,197695,351436,Q,
20100701,SNIC,134885,203499,Q,
20100702,SNIC,48213,80016,Q,
20100706,SNIC,129340,368274,Q,
20100707,SNIC,115778,314868,Q,
20100708,SNIC,82238,289463,Q,
20100709,SNIC,21760,93862,Q,
