,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,SPIR,30250,52889,Q,
20100105,SPIR,11597,27581,Q,
20100106,SPIR,6522,15891,Q,
20100107,SPIR,12063,23646,Q,
20100108,SPIR,8550,12240,Q,
20100111,SPIR,2750,9921,Q,
20100112,SPIR,13300,18687,Q,
20100113,SPIR,4893,5993,Q,
20100114,SPIR,9433,12757,Q,
20100115,SPIR,6688,21088,Q,
20100119,SPIR,3000,36128,Q,
20100120,SPIR,4987,18108,Q,
20100121,SPIR,3355,15043,Q,
20100122,SPIR,5325,16240,Q,
20100125,SPIR,383,9656,Q,
20100126,SPIR,6978,17364,Q,
20100127,SPIR,870,2910,Q,
20100128,SPIR,290,2833,Q,
20100129,SPIR,1400,10909,Q,
20100201,SPIR,9425,23361,Q,
20100202,SPIR,8124,11524,Q,
20100203,SPIR,12408,19315,Q,
20100204,SPIR,6068,11182,Q,
20100205,SPIR,9705,24005,Q,
20100209,SPIR,400,1975,Q,
20100210,SPIR,730,2580,Q,
20100211,SPIR,492,5651,Q,
20100212,SPIR,1900,5632,Q,
20100216,SPIR,4100,11943,Q,
20100217,SPIR,1250,3870,Q,
20100218,SPIR,1300,4025,Q,
20100222,SPIR,1520,6620,Q,
20100223,SPIR,500,5728,Q,
20100224,SPIR,1515,4577,Q,
20100225,SPIR,700,3676,Q,
20100226,SPIR,2385,4685,Q,
20100301,SPIR,700,4278,Q,
20100302,SPIR,1415,9323,Q,
20100303,SPIR,3255,7784,Q,
20100304,SPIR,1800,3092,Q,
20100305,SPIR,1811,4451,Q,
20100308,SPIR,793,9526,Q,
20100309,SPIR,4757,12171,Q,
20100310,SPIR,8503,16112,Q,
20100311,SPIR,7378,12020,Q,
20100312,SPIR,2000,5220,Q,
20100315,SPIR,1100,3650,Q,
20100317,SPIR,1822,10904,Q,
20100318,SPIR,300,7696,Q,
20100319,SPIR,7891,11665,Q,
20100322,SPIR,6793,11826,Q,
20100323,SPIR,24240,29635,Q,
20100324,SPIR,9274,11779,Q,
20100325,SPIR,10245,22407,Q,
20100326,SPIR,5752,15399,Q,
20100329,SPIR,126802,174569,Q,
20100330,SPIR,58033,711937,Q,
20100331,SPIR,84267,188872,Q,
20100401,SPIR,70426,157101,Q,
20100405,SPIR,16697,46212,Q,
20100406,SPIR,4700,31423,Q,
20100407,SPIR,23842,70470,Q,
20100408,SPIR,2709,6838,Q,
20100409,SPIR,7527,13823,Q,
20100412,SPIR,2929,16963,Q,
20100413,SPIR,21400,51974,Q,
20100414,SPIR,10050,30475,Q,
20100415,SPIR,5585,28479,Q,
20100416,SPIR,4700,35011,Q,
20100419,SPIR,12330,25882,Q,
20100420,SPIR,3100,19695,Q,
20100421,SPIR,1300,8454,Q,
20100422,SPIR,10450,18508,Q,
20100423,SPIR,7374,18981,Q,
20100426,SPIR,10677,21877,Q,
20100427,SPIR,4569,23730,Q,
20100428,SPIR,2202,11398,Q,
20100429,SPIR,3892,14912,Q,
20100430,SPIR,16250,57995,Q,
20100503,SPIR,5311,40330,Q,
20100504,SPIR,3940,19724,Q,
20100510,SPIR,8521,40528,Q,
20100511,SPIR,9600,24524,Q,
20100512,SPIR,16661,38084,Q,
20100513,SPIR,13665,24445,Q,
20100517,SPIR,3695,8358,Q,
20100518,SPIR,5028,11528,Q,
20100519,SPIR,10800,24409,Q,
20100520,SPIR,8559,26202,Q,
20100521,SPIR,12999,29019,Q,
20100524,SPIR,675,5656,Q,
20100525,SPIR,840,16542,Q,
20100526,SPIR,376,5176,Q,
20100527,SPIR,1030,8939,Q,
20100528,SPIR,2269,8520,Q,
20100601,SPIR,5889,11589,Q,
20100602,SPIR,800,5211,Q,
20100603,SPIR,800,16732,Q,
20100604,SPIR,2900,10388,Q,
20100607,SPIR,3400,11878,Q,
20100608,SPIR,100,3700,Q,
20100609,SPIR,4700,15543,Q,
20100610,SPIR,2700,8600,Q,
20100611,SPIR,2900,16000,Q,
20100614,SPIR,800,5887,Q,
20100615,SPIR,500,10625,Q,
20100616,SPIR,1800,19416,Q,
20100617,SPIR,3748,6548,Q,
20100618,SPIR,250,1967,Q,
20100621,SPIR,3018,9544,Q,
20100622,SPIR,3300,6900,Q,
20100623,SPIR,1137,9737,Q,
20100624,SPIR,1400,7445,Q,
20100628,SPIR,869,1469,Q,
20100629,SPIR,2000,8400,Q,
20100701,SPIR,1550,3650,Q,
20100702,SPIR,300,5160,Q,
20100706,SPIR,800,12596,Q,
20100707,SPIR,1900,14634,Q,
20100708,SPIR,6000,14854,Q,
20100709,SPIR,1300,4575,Q,
20110804,SPIR,8655,33361,,0.0
