,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,SSRX,5902,60695,Q,
20100105,SSRX,1500,21707,Q,
20100106,SSRX,6875,21922,Q,
20100107,SSRX,4556,18580,Q,
20100108,SSRX,3500,7754,Q,
20100111,SSRX,1030,7670,Q,
20100112,SSRX,2350,11560,Q,
20100113,SSRX,2020,7310,Q,
20100114,SSRX,4550,15040,Q,
20100115,SSRX,4750,12615,Q,
20100119,SSRX,9005,34572,Q,
20100120,SSRX,3900,7563,Q,
20100121,SSRX,3900,48930,Q,
20100122,SSRX,7950,65543,Q,
20100125,SSRX,14047,46341,Q,
20100126,SSRX,15336,29834,Q,
20100127,SSRX,7000,23009,Q,
20100128,SSRX,6700,50632,Q,
20100129,SSRX,11583,81892,Q,
20100201,SSRX,9329,86950,Q,
20100202,SSRX,13000,63087,Q,
20100203,SSRX,7700,46600,Q,
20100204,SSRX,5750,48815,Q,
20100205,SSRX,5930,34711,Q,
20100208,SSRX,42600,75748,Q,
20100209,SSRX,1200,18916,Q,
20100210,SSRX,5600,76864,Q,
20100211,SSRX,12600,25826,Q,
20100212,SSRX,11882,21260,Q,
20100216,SSRX,21045,36245,Q,
20100217,SSRX,18313,42007,Q,
20100218,SSRX,10404,17654,Q,
20100219,SSRX,3672,13122,Q,
20100222,SSRX,9390,17685,Q,
20100223,SSRX,2200,9463,Q,
20100224,SSRX,6333,13688,Q,
20100225,SSRX,11600,24512,Q,
20100226,SSRX,500,8419,Q,
20100301,SSRX,6170,13030,Q,
20100302,SSRX,3624,9239,Q,
20100303,SSRX,10279,21530,Q,
20100304,SSRX,7300,26393,Q,
20100305,SSRX,1100,16900,Q,
20100308,SSRX,2122,23732,Q,
20100309,SSRX,8700,57606,Q,
20100310,SSRX,4829,11692,Q,
20100311,SSRX,10801,26252,Q,
20100312,SSRX,5077,10477,Q,
20100315,SSRX,3917,5717,Q,
20100316,SSRX,14026,24134,Q,
20100317,SSRX,10727,23002,Q,
20100318,SSRX,4740,8940,Q,
20100319,SSRX,2697,13097,Q,
20100322,SSRX,9518,32991,Q,
20100323,SSRX,6830,13920,Q,
20100324,SSRX,400,4693,Q,
20100325,SSRX,500,4156,Q,
20100326,SSRX,4300,9830,Q,
20100329,SSRX,5982,10307,Q,
20100330,SSRX,5900,33155,Q,
20100331,SSRX,7802,12602,Q,
20100401,SSRX,10900,22190,Q,
20100405,SSRX,2700,9750,Q,
20100406,SSRX,1950,8550,Q,
20100407,SSRX,12944,47426,Q,
20100408,SSRX,13156,36414,Q,
20100409,SSRX,18100,26020,Q,
20100412,SSRX,8516,16409,Q,
20100413,SSRX,22949,40387,Q,
20100414,SSRX,20542,41151,Q,
20100415,SSRX,19960,79885,Q,
20100416,SSRX,11593,68662,Q,
20100419,SSRX,23095,87809,Q,
20100420,SSRX,20491,40549,Q,
20100421,SSRX,14469,31590,Q,
20100422,SSRX,15320,27295,Q,
20100423,SSRX,7470,15025,Q,
20100426,SSRX,21222,35533,Q,
20100427,SSRX,23970,64647,Q,
20100428,SSRX,34091,97269,Q,
20100429,SSRX,28700,41503,Q,
20100430,SSRX,23002,48033,Q,
20100503,SSRX,18320,33125,Q,
20100504,SSRX,19831,50093,Q,
20100510,SSRX,9900,65994,Q,
20100511,SSRX,977,7783,Q,
20100512,SSRX,2300,6500,Q,
20100513,SSRX,10174,355412,Q,
20100517,SSRX,39319,62798,Q,
20100518,SSRX,24897,68064,Q,
20100519,SSRX,21022,34256,Q,
20100520,SSRX,29292,50948,Q,
20100521,SSRX,29100,71735,Q,
20100524,SSRX,12100,22647,Q,
20100525,SSRX,75490,135142,Q,
20100526,SSRX,22328,44831,Q,
20100527,SSRX,9360,19248,Q,
20100528,SSRX,2400,18569,Q,
20100601,SSRX,5790,9044,Q,
20100602,SSRX,25122,62402,Q,
20100603,SSRX,31809,41339,Q,
20100604,SSRX,4100,14350,Q,
20100607,SSRX,8661,32125,Q,
20100608,SSRX,14439,23755,Q,
20100609,SSRX,7500,17115,Q,
20100610,SSRX,11304,16404,Q,
20100611,SSRX,7782,12192,Q,
20100614,SSRX,8400,32624,Q,
20100615,SSRX,5734,10766,Q,
20100616,SSRX,148085,177709,Q,
20100617,SSRX,16566,26030,Q,
20100618,SSRX,17384,32776,Q,
20100621,SSRX,27164,50274,Q,
20100622,SSRX,16427,25062,Q,
20100623,SSRX,4075,10640,Q,
20100624,SSRX,3400,6900,Q,
20100625,SSRX,400,10079,Q,
20100628,SSRX,4338,39609,Q,
20100629,SSRX,25900,64389,Q,
20100630,SSRX,9851,20331,Q,
20100701,SSRX,4374,18299,Q,
20100702,SSRX,2100,7400,Q,
20100706,SSRX,21968,32032,Q,
20100707,SSRX,2100,4200,Q,
20100708,SSRX,8500,15808,Q,
20100709,SSRX,5300,6900,Q,
20110804,SSRX,4100,53357,,200.0
