,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,STE,33736,79030,Q,
20100105,STE,266990,321156,Q,
20100106,STE,39582,175648,Q,
20100107,STE,50316,126495,Q,
20100108,STE,28019,64012,Q,
20100111,STE,19781,74267,Q,
20100112,STE,36023,112898,Q,
20100113,STE,17491,49290,Q,
20100114,STE,31900,70730,Q,
20100115,STE,55685,132381,Q,
20100119,STE,42665,96851,Q,
20100120,STE,169073,373277,Q,
20100121,STE,598536,688167,Q,
20100122,STE,22050,51484,Q,
20100125,STE,24517,49710,Q,
20100126,STE,95268,159645,Q,
20100127,STE,137028,234369,Q,
20100128,STE,80219,161634,Q,
20100129,STE,78230,189041,Q,
20100201,STE,213035,291790,Q,
20100202,STE,444212,1036585,Q,
20100203,STE,118527,360099,Q,
20100204,STE,191000,287990,Q,
20100205,STE,48695,95183,Q,
20100208,STE,33976,72475,Q,
20100209,STE,33651,145408,Q,
20100210,STE,18591,72123,Q,
20100211,STE,27657,77593,Q,
20100212,STE,18559,101017,Q,
20100216,STE,31787,77067,Q,
20100217,STE,20577,175025,Q,
20100218,STE,72238,238574,Q,
20100219,STE,110967,157290,Q,
20100222,STE,28718,82912,Q,
20100223,STE,52762,106231,Q,
20100224,STE,28601,140760,Q,
20100225,STE,8693,26951,Q,
20100226,STE,37124,64685,Q,
20100301,STE,23636,57536,Q,
20100302,STE,32913,112216,Q,
20100303,STE,32550,169949,Q,
20100304,STE,20823,75796,Q,
20100305,STE,12450,84559,Q,
20100308,STE,17440,50592,Q,
20100309,STE,20414,83025,Q,
20100310,STE,17288,73926,Q,
20100311,STE,19900,87047,Q,
20100312,STE,15860,58688,Q,
20100315,STE,16488,66552,Q,
20100316,STE,37672,172040,Q,
20100317,STE,18267,528940,Q,
20100318,STE,13254,139056,Q,
20100319,STE,62794,121211,Q,
20100322,STE,63601,184461,Q,
20100323,STE,33465,63403,Q,
20100324,STE,39460,78369,Q,
20100325,STE,58849,114012,Q,
20100326,STE,32254,72471,Q,
20100329,STE,28376,73501,Q,
20100330,STE,46472,83315,Q,
20100331,STE,19710,53976,Q,
20100401,STE,18199,61097,Q,
20100405,STE,25904,61967,Q,
20100406,STE,26817,58380,Q,
20100407,STE,831748,1249532,Q,
20100408,STE,271585,365000,Q,
20100409,STE,232490,303460,Q,
20100412,STE,63158,279215,Q,
20100413,STE,20772,75512,Q,
20100414,STE,14247,43400,Q,
20100415,STE,29841,53336,Q,
20100416,STE,19300,46498,Q,
20100419,STE,66605,115609,Q,
20100420,STE,62146,135715,Q,
20100421,STE,18078,153831,Q,
20100422,STE,39510,249358,Q,
20100423,STE,12386,209610,Q,
20100426,STE,28675,147884,Q,
20100427,STE,34780,128960,Q,
20100428,STE,12413,64253,Q,
20100429,STE,13600,45080,Q,
20100430,STE,10253,59029,Q,
20100503,STE,28837,135844,Q,
20100504,STE,33132,227642,Q,
20100510,STE,62433,163216,Q,
20100511,STE,57415,118124,Q,
20100512,STE,38579,159508,Q,
20100513,STE,14896,74641,Q,
20100517,STE,29330,80089,Q,
20100518,STE,56891,116302,Q,
20100519,STE,23886,208067,Q,
20100520,STE,70751,155408,Q,
20100521,STE,65533,109442,Q,
20100524,STE,23822,65223,Q,
20100525,STE,21034,59712,Q,
20100526,STE,19957,59264,Q,
20100527,STE,17400,51535,Q,
20100528,STE,15315,41633,Q,
20100601,STE,16978,40048,Q,
20100602,STE,53064,399737,Q,
20100603,STE,37521,286734,Q,
20100604,STE,20247,68090,Q,
20100607,STE,27934,167351,Q,
20100608,STE,96876,227620,Q,
20100609,STE,36969,433924,Q,
20100610,STE,34469,142133,Q,
20100611,STE,29518,81344,Q,
20100614,STE,76667,135464,Q,
20100615,STE,68813,134607,Q,
20100616,STE,52726,114488,Q,
20100617,STE,34168,96058,Q,
20100618,STE,42760,87671,Q,
20100621,STE,32931,114882,Q,
20100622,STE,17067,66838,Q,
20100623,STE,11985,40153,Q,
20100624,STE,74763,106519,Q,
20100625,STE,22845,47995,Q,
20100628,STE,9164,27901,Q,
20100629,STE,10720,37362,Q,
20100630,STE,10297,25463,Q,
20100701,STE,38560,78391,Q,
20100702,STE,12540,22738,Q,
20100706,STE,10740,20880,Q,
20100707,STE,78779,104029,Q,
20100708,STE,14963,34566,Q,
20100709,STE,19663,71212,Q,
20110804,STE,110775,217994,,0.0
