,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,STO,64830,232748,Q,
20100105,STO,45161,156184,Q,
20100106,STO,23178,142438,Q,
20100107,STO,125162,297460,Q,
20100108,STO,98554,156165,Q,
20100111,STO,128716,208658,Q,
20100112,STO,70012,132633,Q,
20100113,STO,55285,111613,Q,
20100114,STO,69031,129826,Q,
20100115,STO,60084,143902,Q,
20100119,STO,113005,279916,Q,
20100120,STO,70863,248444,Q,
20100121,STO,103053,355274,Q,
20100122,STO,74658,380846,Q,
20100125,STO,51858,199343,Q,
20100126,STO,44507,207229,Q,
20100127,STO,77336,330000,Q,
20100128,STO,63575,215395,Q,
20100129,STO,137585,392389,Q,
20100201,STO,67633,834277,Q,
20100202,STO,79511,320212,Q,
20100203,STO,193470,696209,Q,
20100204,STO,107113,518938,Q,
20100205,STO,173968,618027,Q,
20100208,STO,76981,261480,Q,
20100209,STO,82690,236023,Q,
20100210,STO,80499,375550,Q,
20100211,STO,87844,172285,Q,
20100212,STO,67706,180841,Q,
20100216,STO,96059,219977,Q,
20100217,STO,55753,171792,Q,
20100218,STO,104922,202067,Q,
20100219,STO,805734,1550401,Q,
20100222,STO,554925,4172605,Q,
20100223,STO,78133,1222765,Q,
20100224,STO,72467,161308,Q,
20100225,STO,58699,203978,Q,
20100226,STO,53958,144919,Q,
20100301,STO,82833,261599,Q,
20100302,STO,73367,272440,Q,
20100303,STO,67623,167020,Q,
20100304,STO,98656,169868,Q,
20100305,STO,88981,184739,Q,
20100308,STO,36521,121127,Q,
20100309,STO,56568,193606,Q,
20100310,STO,84672,210998,Q,
20100311,STO,78875,217101,Q,
20100312,STO,57445,326313,Q,
20100315,STO,113744,732505,Q,
20100316,STO,81305,402024,Q,
20100317,STO,121985,652591,Q,
20100318,STO,135719,319028,Q,
20100319,STO,136113,312643,Q,
20100322,STO,124915,217472,Q,
20100323,STO,213152,282895,Q,
20100324,STO,154813,336875,Q,
20100325,STO,128269,339478,Q,
20100326,STO,344651,554115,Q,
20100329,STO,118799,734911,Q,
20100330,STO,209163,412840,Q,
20100331,STO,88446,186262,Q,
20100401,STO,87349,269385,Q,
20100405,STO,91701,218409,Q,
20100406,STO,70103,151199,Q,
20100407,STO,84421,162189,Q,
20100408,STO,86042,185760,Q,
20100409,STO,98359,304901,Q,
20100412,STO,58150,227315,Q,
20100413,STO,89058,256844,Q,
20100414,STO,88635,150768,Q,
20100415,STO,127437,297009,Q,
20100416,STO,141809,291044,Q,
20100419,STO,90260,209279,Q,
20100420,STO,67325,222716,Q,
20100421,STO,91235,157043,Q,
20100422,STO,74683,203413,Q,
20100423,STO,95884,161014,Q,
20100426,STO,88190,174460,Q,
20100427,STO,90170,158823,Q,
20100428,STO,101720,467426,Q,
20100429,STO,125367,212247,Q,
20100430,STO,159707,233164,Q,
20100503,STO,148046,279206,Q,
20100504,STO,103074,269560,Q,
20100510,STO,210998,1050914,Q,
20100511,STO,153575,356309,Q,
20100512,STO,116362,231626,Q,
20100513,STO,192324,311737,Q,
20100517,STO,242073,431354,Q,
20100518,STO,355588,531139,Q,
20100519,STO,497987,782208,Q,
20100520,STO,599412,1246200,Q,
20100521,STO,745564,1391681,Q,
20100524,STO,229398,553600,Q,
20100525,STO,232835,589457,Q,
20100526,STO,162431,394903,Q,
20100527,STO,107060,353225,Q,
20100528,STO,106185,245632,Q,
20100601,STO,170630,328073,Q,
20100602,STO,120219,556981,Q,
20100603,STO,114955,335993,Q,
20100604,STO,148988,322283,Q,
20100607,STO,86675,206211,Q,
20100608,STO,86567,186195,Q,
20100609,STO,147015,335789,Q,
20100610,STO,120950,256266,Q,
20100611,STO,66472,189057,Q,
20100614,STO,89177,208975,Q,
20100615,STO,200574,395444,Q,
20100616,STO,97053,252711,Q,
20100617,STO,69205,165502,Q,
20100618,STO,63703,192543,Q,
20100621,STO,26966,206671,Q,
20100622,STO,95717,216529,Q,
20100623,STO,105109,219405,Q,
20100624,STO,44497,153191,Q,
20100625,STO,54686,200837,Q,
20100628,STO,27263,122687,Q,
20100629,STO,143851,331762,Q,
20100630,STO,33778,157088,Q,
20100701,STO,113794,490011,Q,
20100702,STO,73261,165926,Q,
20100706,STO,61882,165269,Q,
20100707,STO,75168,204585,Q,
20100708,STO,61197,144115,Q,
20100709,STO,103933,186857,Q,
20110804,STO,294760,922447,,0.0
