,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,STON,14951,33448,Q,
20100105,STON,14948,26500,Q,
20100106,STON,16724,25176,Q,
20100107,STON,41235,69534,Q,
20100108,STON,17408,41592,Q,
20100111,STON,10859,34981,Q,
20100112,STON,4900,27763,Q,
20100113,STON,6456,21081,Q,
20100114,STON,16881,33060,Q,
20100115,STON,10382,25702,Q,
20100119,STON,28980,94736,Q,
20100120,STON,26379,131704,Q,
20100121,STON,27019,54164,Q,
20100122,STON,29806,98091,Q,
20100125,STON,86317,150605,Q,
20100126,STON,48798,99784,Q,
20100127,STON,10089,37493,Q,
20100128,STON,10651,33154,Q,
20100129,STON,21326,46993,Q,
20100201,STON,15428,33484,Q,
20100202,STON,26947,57572,Q,
20100203,STON,27395,44942,Q,
20100204,STON,32022,57724,Q,
20100205,STON,21389,44835,Q,
20100208,STON,12725,19095,Q,
20100209,STON,18081,26071,Q,
20100210,STON,10049,14786,Q,
20100211,STON,8608,21092,Q,
20100212,STON,18408,34597,Q,
20100216,STON,18210,41663,Q,
20100217,STON,13877,18675,Q,
20100218,STON,11431,17126,Q,
20100219,STON,11595,21361,Q,
20100222,STON,17161,29526,Q,
20100223,STON,6177,10529,Q,
20100224,STON,11154,14959,Q,
20100225,STON,13560,24566,Q,
20100226,STON,6826,7826,Q,
20100301,STON,17013,29740,Q,
20100302,STON,18971,25711,Q,
20100303,STON,12913,26706,Q,
20100304,STON,5142,10071,Q,
20100305,STON,6974,10836,Q,
20100308,STON,33912,60166,Q,
20100309,STON,20855,44831,Q,
20100310,STON,10375,18649,Q,
20100311,STON,13454,21969,Q,
20100312,STON,16285,20075,Q,
20100315,STON,7525,27619,Q,
20100316,STON,109382,287079,Q,
20100317,STON,48875,109895,Q,
20100318,STON,37909,77507,Q,
20100319,STON,20286,106082,Q,
20100322,STON,42316,94108,Q,
20100323,STON,14683,44310,Q,
20100324,STON,15290,63248,Q,
20100325,STON,18447,52057,Q,
20100326,STON,24906,48115,Q,
20100329,STON,18684,35108,Q,
20100330,STON,26246,48877,Q,
20100331,STON,24544,39902,Q,
20100401,STON,22179,37416,Q,
20100405,STON,45055,65500,Q,
20100406,STON,25646,38113,Q,
20100407,STON,13963,21220,Q,
20100408,STON,18132,32210,Q,
20100409,STON,13465,21865,Q,
20100412,STON,19175,28175,Q,
20100413,STON,11878,23203,Q,
20100414,STON,16605,36721,Q,
20100415,STON,21050,33085,Q,
20100416,STON,43663,55003,Q,
20100419,STON,20245,53458,Q,
20100420,STON,9705,33468,Q,
20100421,STON,6580,24465,Q,
20100422,STON,7348,36839,Q,
20100423,STON,10795,40967,Q,
20100426,STON,11426,31083,Q,
20100427,STON,15367,35211,Q,
20100428,STON,6829,27868,Q,
20100429,STON,30836,52817,Q,
20100430,STON,9003,29515,Q,
20100503,STON,30988,71590,Q,
20100504,STON,14069,54517,Q,
20100510,STON,14559,36154,Q,
20100511,STON,13387,39811,Q,
20100512,STON,7060,27087,Q,
20100513,STON,6049,25054,Q,
20100517,STON,12007,37997,Q,
20100518,STON,6279,25992,Q,
20100519,STON,3677,36607,Q,
20100520,STON,9052,84177,Q,
20100521,STON,6282,28580,Q,
20100524,STON,4045,19324,Q,
20100525,STON,10190,29739,Q,
20100526,STON,3471,15000,Q,
20100527,STON,3528,14181,Q,
20100528,STON,3550,15665,Q,
20100601,STON,5765,15337,Q,
20100602,STON,9032,29397,Q,
20100603,STON,6677,18479,Q,
20100604,STON,3480,14249,Q,
20100607,STON,1300,13420,Q,
20100608,STON,16426,26728,Q,
20100609,STON,8634,17471,Q,
20100610,STON,12714,37420,Q,
20100611,STON,1400,26082,Q,
20100614,STON,6215,16496,Q,
20100615,STON,5056,19759,Q,
20100616,STON,1200,9113,Q,
20100617,STON,7960,27003,Q,
20100618,STON,12448,18726,Q,
20100621,STON,11094,27169,Q,
20100622,STON,23543,37381,Q,
20100623,STON,6551,15247,Q,
20100624,STON,10444,27760,Q,
20100625,STON,7315,13224,Q,
20100628,STON,6786,10811,Q,
20100629,STON,11589,24217,Q,
20100630,STON,10370,19891,Q,
20100701,STON,19313,48239,Q,
20100702,STON,1200,14130,Q,
20100706,STON,8781,22174,Q,
20100707,STON,5702,11058,Q,
20100708,STON,19851,34356,Q,
20100709,STON,11922,17959,Q,
20110804,STON,25806,122025,,0.0
