,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,STP,193936,948391,Q,
20100105,STP,315643,1769695,Q,
20100106,STP,585655,2150783,Q,
20100107,STP,243295,1058297,Q,
20100108,STP,253101,1030662,Q,
20100111,STP,372829,1334343,Q,
20100112,STP,589978,1730318,Q,
20100113,STP,547585,1358370,Q,
20100114,STP,1599686,3426234,Q,
20100115,STP,1365133,2720683,Q,
20100119,STP,851629,1817800,Q,
20100120,STP,1044253,2508047,Q,
20100121,STP,1210194,2789906,Q,
20100122,STP,1383208,3154972,Q,
20100125,STP,1151459,2306429,Q,
20100126,STP,886947,2088145,Q,
20100127,STP,626741,1487240,Q,
20100128,STP,562409,1305902,Q,
20100129,STP,384245,1099003,Q,
20100201,STP,408663,1067161,Q,
20100202,STP,425380,1211842,Q,
20100203,STP,312224,1319076,Q,
20100204,STP,287551,1084893,Q,
20100205,STP,811224,2310527,Q,
20100208,STP,315431,948560,Q,
20100209,STP,415282,1223840,Q,
20100210,STP,162052,747453,Q,
20100211,STP,428746,1148809,Q,
20100212,STP,328651,1105092,Q,
20100216,STP,435552,1659712,Q,
20100217,STP,434416,1088074,Q,
20100218,STP,462456,1204238,Q,
20100219,STP,570761,1269554,Q,
20100222,STP,564734,1497246,Q,
20100223,STP,481543,1186103,Q,
20100224,STP,687186,1407324,Q,
20100225,STP,383071,1059232,Q,
20100226,STP,184904,717682,Q,
20100301,STP,267808,851305,Q,
20100302,STP,507047,1506867,Q,
20100303,STP,1025110,2190382,Q,
20100304,STP,863684,3879146,Q,
20100305,STP,321445,2061000,Q,
20100308,STP,808941,2256541,Q,
20100309,STP,206794,1127393,Q,
20100310,STP,421307,2201626,Q,
20100311,STP,259838,1542143,Q,
20100312,STP,243301,1163378,Q,
20100315,STP,219274,857719,Q,
20100316,STP,489762,1053269,Q,
20100317,STP,652649,2091948,Q,
20100318,STP,646295,1813466,Q,
20100319,STP,466574,1306247,Q,
20100322,STP,500320,1182456,Q,
20100323,STP,329013,1262452,Q,
20100324,STP,308625,1242507,Q,
20100325,STP,273211,1121142,Q,
20100326,STP,612839,2063653,Q,
20100329,STP,281596,1012041,Q,
20100330,STP,233277,1110709,Q,
20100331,STP,347485,917545,Q,
20100401,STP,239348,933995,Q,
20100405,STP,123329,665367,Q,
20100406,STP,198265,714932,Q,
20100407,STP,538713,2790323,Q,
20100408,STP,558728,2021104,Q,
20100409,STP,422249,1541995,Q,
20100412,STP,324116,1108465,Q,
20100413,STP,250033,841511,Q,
20100414,STP,313982,873678,Q,
20100415,STP,608688,2181038,Q,
20100416,STP,774358,2119798,Q,
20100419,STP,556819,1385435,Q,
20100420,STP,344831,1231262,Q,
20100421,STP,960688,1774367,Q,
20100422,STP,322657,975397,Q,
20100423,STP,474754,1353663,Q,
20100426,STP,563909,1561534,Q,
20100427,STP,552932,1378850,Q,
20100428,STP,1135022,2440758,Q,
20100429,STP,325940,1536288,Q,
20100430,STP,484848,1454596,Q,
20100503,STP,622548,1222446,Q,
20100504,STP,787408,1555117,Q,
20100510,STP,1518282,3074670,Q,
20100511,STP,972178,2628105,Q,
20100512,STP,554570,1527992,Q,
20100513,STP,256216,1207455,Q,
20100517,STP,754369,2434014,Q,
20100518,STP,347959,2256273,Q,
20100519,STP,500136,2047212,Q,
20100520,STP,547759,2907968,Q,
20100521,STP,794812,2012257,Q,
20100524,STP,463580,1213129,Q,
20100525,STP,554708,1601391,Q,
20100526,STP,323646,1348567,Q,
20100527,STP,325786,1779114,Q,
20100528,STP,349857,1609575,Q,
20100601,STP,559765,1129407,Q,
20100602,STP,501101,1364719,Q,
20100603,STP,885369,2810862,Q,
20100604,STP,632938,1787274,Q,
20100607,STP,624256,1669318,Q,
20100608,STP,649188,1576288,Q,
20100609,STP,473929,1194933,Q,
20100610,STP,610674,1737155,Q,
20100611,STP,508010,1521052,Q,
20100614,STP,568304,1391388,Q,
20100615,STP,498775,1444625,Q,
20100616,STP,358868,1270968,Q,
20100617,STP,200153,802977,Q,
20100618,STP,286006,1025046,Q,
20100621,STP,280956,1033157,Q,
20100622,STP,308854,1041243,Q,
20100623,STP,664964,1724042,Q,
20100624,STP,526026,1777992,Q,
20100625,STP,327423,941417,Q,
20100628,STP,357277,872593,Q,
20100629,STP,685621,1818072,Q,
20100630,STP,209894,769365,Q,
20100701,STP,598502,1718063,Q,
20100702,STP,469259,1235034,Q,
20100706,STP,305342,757874,Q,
20100707,STP,319316,948764,Q,
20100708,STP,419375,1417997,Q,
20100709,STP,355455,1149536,Q,
20110804,STP,282656,1079163,,400.0
