,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,SWC,271694,670397,Q,
20100105,SWC,154261,470816,Q,
20100106,SWC,867937,2071487,Q,
20100107,SWC,349566,1006372,Q,
20100108,SWC,503220,1341955,Q,
20100111,SWC,195631,871768,Q,
20100112,SWC,169848,751312,Q,
20100113,SWC,165612,762122,Q,
20100114,SWC,179104,532412,Q,
20100115,SWC,219152,555428,Q,
20100119,SWC,689082,1664779,Q,
20100120,SWC,598249,1407910,Q,
20100121,SWC,363079,1094497,Q,
20100122,SWC,199859,912576,Q,
20100125,SWC,285458,636773,Q,
20100126,SWC,162814,646735,Q,
20100127,SWC,175200,933158,Q,
20100128,SWC,324395,661095,Q,
20100129,SWC,172444,623334,Q,
20100201,SWC,563736,1058968,Q,
20100202,SWC,361679,807954,Q,
20100203,SWC,119655,360887,Q,
20100204,SWC,376714,886576,Q,
20100205,SWC,306050,853699,Q,
20100208,SWC,201653,470264,Q,
20100209,SWC,371950,881924,Q,
20100210,SWC,133611,375212,Q,
20100211,SWC,232259,670664,Q,
20100212,SWC,146711,383088,Q,
20100216,SWC,425809,857115,Q,
20100217,SWC,210489,563467,Q,
20100218,SWC,240584,462196,Q,
20100219,SWC,258334,451518,Q,
20100222,SWC,108070,253330,Q,
20100223,SWC,177933,758831,Q,
20100224,SWC,74919,277816,Q,
20100225,SWC,341891,747561,Q,
20100226,SWC,200939,485738,Q,
20100301,SWC,135908,490684,Q,
20100302,SWC,365525,1250592,Q,
20100303,SWC,366100,1115846,Q,
20100304,SWC,338043,805684,Q,
20100305,SWC,425854,1562516,Q,
20100308,SWC,300615,709681,Q,
20100309,SWC,317735,824417,Q,
20100310,SWC,396614,714312,Q,
20100311,SWC,169929,523129,Q,
20100312,SWC,300177,642505,Q,
20100315,SWC,238924,755017,Q,
20100316,SWC,254609,520904,Q,
20100317,SWC,211189,459464,Q,
20100318,SWC,196787,338371,Q,
20100319,SWC,348420,633989,Q,
20100322,SWC,213249,542783,Q,
20100323,SWC,264588,613540,Q,
20100324,SWC,280475,575004,Q,
20100325,SWC,209276,578893,Q,
20100326,SWC,163716,458340,Q,
20100329,SWC,252160,614364,Q,
20100330,SWC,198629,373042,Q,
20100331,SWC,432282,686195,Q,
20100401,SWC,310812,581958,Q,
20100405,SWC,551766,978804,Q,
20100406,SWC,335980,572219,Q,
20100407,SWC,1029151,1828761,Q,
20100408,SWC,528721,940972,Q,
20100409,SWC,567891,1114777,Q,
20100412,SWC,410511,825616,Q,
20100413,SWC,425866,754224,Q,
20100414,SWC,642688,1249581,Q,
20100415,SWC,512093,977230,Q,
20100416,SWC,689495,1370842,Q,
20100419,SWC,542828,1184465,Q,
20100420,SWC,523624,917711,Q,
20100421,SWC,393906,921057,Q,
20100422,SWC,305631,631994,Q,
20100423,SWC,584734,1096382,Q,
20100426,SWC,441830,894062,Q,
20100427,SWC,603512,1344277,Q,
20100428,SWC,308868,734301,Q,
20100429,SWC,385934,738078,Q,
20100430,SWC,371472,718929,Q,
20100503,SWC,364652,758493,Q,
20100504,SWC,637378,1724186,Q,
20100510,SWC,373544,1013400,Q,
20100511,SWC,543317,1043928,Q,
20100512,SWC,474733,929322,Q,
20100513,SWC,397922,806087,Q,
20100517,SWC,670871,1412455,Q,
20100518,SWC,297578,632400,Q,
20100519,SWC,1122890,2007333,Q,
20100520,SWC,502870,1043737,Q,
20100521,SWC,764862,1461314,Q,
20100524,SWC,322541,841113,Q,
20100525,SWC,381118,969299,Q,
20100526,SWC,259612,758864,Q,
20100527,SWC,409038,872336,Q,
20100528,SWC,343841,701369,Q,
20100601,SWC,341354,691480,Q,
20100602,SWC,285681,607556,Q,
20100603,SWC,191206,401477,Q,
20100604,SWC,349403,952912,Q,
20100607,SWC,197220,722035,Q,
20100608,SWC,201453,798318,Q,
20100609,SWC,383079,905178,Q,
20100610,SWC,359321,838664,Q,
20100611,SWC,226987,685581,Q,
20100614,SWC,264791,788440,Q,
20100615,SWC,251811,731208,Q,
20100616,SWC,275804,696760,Q,
20100617,SWC,204476,420657,Q,
20100618,SWC,248782,622076,Q,
20100621,SWC,456026,1110238,Q,
20100622,SWC,214303,515507,Q,
20100623,SWC,296303,822445,Q,
20100624,SWC,334486,652282,Q,
20100625,SWC,255274,695392,Q,
20100628,SWC,235841,440887,Q,
20100629,SWC,332927,789721,Q,
20100630,SWC,278601,704822,Q,
20100701,SWC,404106,1108970,Q,
20100702,SWC,212339,414912,Q,
20100706,SWC,252308,471072,Q,
20100707,SWC,165093,316371,Q,
20100708,SWC,225691,388602,Q,
20100709,SWC,152167,395526,Q,
20110804,SWC,737442,2280243,,40512.0
