,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100108,TDD,100,1640,Q,
20100111,TDD,370,570,Q,
20100112,TDD,600,3539,Q,
20100120,TDD,300,2626,Q,
20100129,TDD,1000,203200,Q,
20100202,TDD,501,2001,Q,
20100211,TDD,200,1000,Q,
20100212,TDD,100,800,Q,
20100218,TDD,100,397,Q,
20100219,TDD,742,942,Q,
20100225,TDD,310,910,Q,
20100226,TDD,300,2745,Q,
20100301,TDD,565,2031,Q,
20100302,TDD,478,790,Q,
20100303,TDD,100,100,Q,
20100305,TDD,100,1125,Q,
20100308,TDD,297,1097,Q,
20100310,TDD,200,1268,Q,
20100318,TDD,100,2162,Q,
20100322,TDD,300,2752,Q,
20100406,TDD,400,1168,Q,
20100409,TDD,300,675,Q,
20100413,TDD,100,233,Q,
20100416,TDD,100,400,Q,
20100420,TDD,200,300,Q,
20100426,TDD,300,720,Q,
20100518,TDD,300,1257,Q,
20100603,TDD,1600,2100,Q,
20100618,TDD,6292,9892,Q,
20100622,TDD,100,628,Q,
20100625,TDD,1700,3150,Q,
20100628,TDD,1000,1340,Q,
20100629,TDD,300,2485,Q,
20100630,TDD,300,1100,Q,
