,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,TDS.S,6653,18336,Q,
20100105,TDS.S,4807,20679,Q,
20100106,TDS.S,5779,12622,Q,
20100107,TDS.S,1481,13740,Q,
20100108,TDS.S,1338,6763,Q,
20100111,TDS.S,1579,10952,Q,
20100112,TDS.S,2821,24535,Q,
20100113,TDS.S,100,3711,Q,
20100114,TDS.S,809,7217,Q,
20100115,TDS.S,1711,6680,Q,
20100119,TDS.S,2190,11187,Q,
20100120,TDS.S,2832,4895,Q,
20100121,TDS.S,11220,22273,Q,
20100122,TDS.S,675,5619,Q,
20100125,TDS.S,903,3009,Q,
20100126,TDS.S,2900,6067,Q,
20100127,TDS.S,200,5515,Q,
20100128,TDS.S,1824,3406,Q,
20100129,TDS.S,1588,6608,Q,
20100201,TDS.S,105,2632,Q,
20100202,TDS.S,621,8636,Q,
20100203,TDS.S,287,3444,Q,
20100204,TDS.S,1383,5038,Q,
20100205,TDS.S,1300,11015,Q,
20100208,TDS.S,1080,10535,Q,
20100209,TDS.S,1435,4219,Q,
20100216,TDS.S,100,8407,Q,
20100217,TDS.S,600,7404,Q,
20100218,TDS.S,575,9004,Q,
20100219,TDS.S,435,4263,Q,
20100222,TDS.S,600,5115,Q,
20100223,TDS.S,561,6051,Q,
20100224,TDS.S,300,12820,Q,
20100225,TDS.S,567,9060,Q,
20100226,TDS.S,464,5473,Q,
20100301,TDS.S,367,9535,Q,
20100303,TDS.S,595,18418,Q,
20100304,TDS.S,1871,5221,Q,
20100305,TDS.S,200,7518,Q,
20100308,TDS.S,4963,35726,Q,
20100309,TDS.S,2800,14152,Q,
20100310,TDS.S,20111,39277,Q,
20100311,TDS.S,7759,25912,Q,
20100312,TDS.S,3150,21870,Q,
20100315,TDS.S,1400,17161,Q,
20100316,TDS.S,2200,26886,Q,
20100317,TDS.S,2500,19625,Q,
20100318,TDS.S,1000,35914,Q,
20100319,TDS.S,5606,9996,Q,
20100322,TDS.S,1565,9834,Q,
20100323,TDS.S,1124,55493,Q,
20100324,TDS.S,4100,33815,Q,
20100325,TDS.S,14467,46922,Q,
20100326,TDS.S,1694,5584,Q,
20100329,TDS.S,7861,20971,Q,
20100330,TDS.S,1552,2786,Q,
20100331,TDS.S,900,5886,Q,
20100401,TDS.S,200,2168,Q,
20100405,TDS.S,6800,34021,Q,
20100406,TDS.S,785,2467,Q,
20100407,TDS.S,2143,19545,Q,
20100408,TDS.S,200,2858,Q,
20100409,TDS.S,150,4421,Q,
20100412,TDS.S,638,6714,Q,
20100413,TDS.S,300,16415,Q,
20100414,TDS.S,1372,53126,Q,
20100415,TDS.S,1688,7505,Q,
20100416,TDS.S,1883,6438,Q,
20100419,TDS.S,4090,28379,Q,
20100420,TDS.S,3700,48121,Q,
20100421,TDS.S,4338,37494,Q,
20100422,TDS.S,2874,35408,Q,
20100423,TDS.S,4500,17910,Q,
20100426,TDS.S,1203,28872,Q,
20100427,TDS.S,2600,36392,Q,
20100428,TDS.S,500,3861,Q,
20100429,TDS.S,2140,6122,Q,
20100430,TDS.S,1450,9579,Q,
20100503,TDS.S,400,11829,Q,
20100504,TDS.S,1040,3341,Q,
20100510,TDS.S,1300,18313,Q,
20100511,TDS.S,2000,17826,Q,
20100512,TDS.S,600,4885,Q,
20100513,TDS.S,700,5543,Q,
20100517,TDS.S,1915,21853,Q,
20100518,TDS.S,1077,10788,Q,
20100519,TDS.S,4789,18968,Q,
20100520,TDS.S,4710,18069,Q,
20100521,TDS.S,2369,9937,Q,
20100524,TDS.S,2006,5860,Q,
20100525,TDS.S,5691,14394,Q,
20100526,TDS.S,9006,24236,Q,
20100527,TDS.S,2400,5995,Q,
20100528,TDS.S,2048,3141,Q,
20100601,TDS.S,2617,3741,Q,
20100602,TDS.S,1218,3845,Q,
20100603,TDS.S,1100,2418,Q,
20100604,TDS.S,768,2749,Q,
20100607,TDS.S,215,1533,Q,
20100608,TDS.S,800,4912,Q,
20100609,TDS.S,2422,5600,Q,
20100610,TDS.S,720,2355,Q,
20100611,TDS.S,732,3745,Q,
20100614,TDS.S,577,4877,Q,
20100615,TDS.S,500,3776,Q,
20100616,TDS.S,585,2476,Q,
20100617,TDS.S,3585,4587,Q,
20100618,TDS.S,1440,7113,Q,
20100621,TDS.S,103,2354,Q,
20100622,TDS.S,500,2714,Q,
20100624,TDS.S,4635,7872,Q,
20100625,TDS.S,4801,10127,Q,
20100628,TDS.S,6295,64048,Q,
20100629,TDS.S,574,5717,Q,
20100630,TDS.S,10020,40328,Q,
20100701,TDS.S,15677,28916,Q,
20100702,TDS.S,5779,17899,Q,
20100706,TDS.S,118,2820,Q,
20100707,TDS.S,928,10048,Q,
20100709,TDS.S,200,8010,Q,
20110804,TDS.S,4887,10917,,0.0
