,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,TE,239204,756682,Q,
20100105,TE,644813,1697986,Q,
20100106,TE,233757,666904,Q,
20100107,TE,290743,961115,Q,
20100108,TE,260881,679655,Q,
20100111,TE,169742,822153,Q,
20100112,TE,143315,939308,Q,
20100113,TE,1043202,2214259,Q,
20100114,TE,279891,719128,Q,
20100115,TE,388707,877209,Q,
20100119,TE,376885,1255215,Q,
20100120,TE,358679,890860,Q,
20100121,TE,341520,998521,Q,
20100122,TE,604202,1103669,Q,
20100125,TE,155991,451713,Q,
20100126,TE,171486,423144,Q,
20100127,TE,640146,895463,Q,
20100128,TE,165518,423891,Q,
20100129,TE,543548,1276912,Q,
20100201,TE,202844,446617,Q,
20100202,TE,272821,475923,Q,
20100203,TE,172134,447188,Q,
20100204,TE,417242,825584,Q,
20100205,TE,497339,1314062,Q,
20100208,TE,304298,471494,Q,
20100209,TE,357351,581692,Q,
20100210,TE,231520,652122,Q,
20100211,TE,213987,543261,Q,
20100212,TE,169441,347520,Q,
20100216,TE,136888,298929,Q,
20100217,TE,149605,418340,Q,
20100218,TE,251962,403762,Q,
20100219,TE,159755,343352,Q,
20100222,TE,331584,577959,Q,
20100223,TE,298739,534741,Q,
20100224,TE,263709,750684,Q,
20100225,TE,351982,570036,Q,
20100226,TE,119862,313829,Q,
20100301,TE,138835,406776,Q,
20100302,TE,220137,574518,Q,
20100303,TE,144615,785717,Q,
20100304,TE,137084,577396,Q,
20100305,TE,301973,594690,Q,
20100308,TE,174680,478420,Q,
20100309,TE,100121,246378,Q,
20100310,TE,119483,285770,Q,
20100311,TE,134783,386008,Q,
20100312,TE,179505,366055,Q,
20100315,TE,137063,231159,Q,
20100316,TE,53763,227014,Q,
20100317,TE,206959,479158,Q,
20100318,TE,101557,358561,Q,
20100319,TE,186388,682890,Q,
20100322,TE,73126,330329,Q,
20100323,TE,60179,253086,Q,
20100324,TE,84477,322266,Q,
20100325,TE,94273,300039,Q,
20100326,TE,106275,307760,Q,
20100329,TE,82571,240181,Q,
20100330,TE,313818,1429091,Q,
20100331,TE,93621,1359411,Q,
20100401,TE,159031,623794,Q,
20100405,TE,54906,254319,Q,
20100406,TE,37204,271044,Q,
20100407,TE,83058,284202,Q,
20100408,TE,79496,289963,Q,
20100409,TE,48727,176297,Q,
20100412,TE,119491,354262,Q,
20100413,TE,100568,240710,Q,
20100414,TE,153154,289617,Q,
20100415,TE,87378,209987,Q,
20100416,TE,161221,345023,Q,
20100419,TE,114987,375366,Q,
20100420,TE,225308,428298,Q,
20100421,TE,193762,452887,Q,
20100422,TE,196553,379959,Q,
20100423,TE,58564,266477,Q,
20100426,TE,115821,345724,Q,
20100427,TE,97576,347387,Q,
20100428,TE,144852,484819,Q,
20100429,TE,67402,248971,Q,
20100430,TE,90866,340118,Q,
20100503,TE,97800,493771,Q,
20100504,TE,105176,393575,Q,
20100510,TE,181108,473321,Q,
20100511,TE,257268,590079,Q,
20100512,TE,182207,541815,Q,
20100513,TE,160596,535003,Q,
20100517,TE,117506,298947,Q,
20100518,TE,294569,615321,Q,
20100519,TE,192310,374417,Q,
20100520,TE,275375,690722,Q,
20100521,TE,399415,632216,Q,
20100524,TE,256470,509039,Q,
20100525,TE,442950,737136,Q,
20100526,TE,279265,462696,Q,
20100527,TE,93983,223132,Q,
20100528,TE,98079,231104,Q,
20100601,TE,178692,689115,Q,
20100602,TE,96317,229106,Q,
20100603,TE,214131,338549,Q,
20100604,TE,147666,263287,Q,
20100607,TE,184986,351846,Q,
20100608,TE,126959,272061,Q,
20100609,TE,83477,273179,Q,
20100610,TE,84830,577512,Q,
20100611,TE,117629,232594,Q,
20100614,TE,158867,378716,Q,
20100615,TE,153323,350156,Q,
20100616,TE,109972,228871,Q,
20100617,TE,207145,427299,Q,
20100618,TE,367832,1256334,Q,
20100621,TE,273640,717514,Q,
20100622,TE,110315,257122,Q,
20100623,TE,300924,461049,Q,
20100624,TE,251481,381763,Q,
20100625,TE,102713,215492,Q,
20100628,TE,57901,269075,Q,
20100629,TE,148795,271755,Q,
20100630,TE,205900,466824,Q,
20100701,TE,210212,440658,Q,
20100702,TE,157442,327214,Q,
20100706,TE,195744,551998,Q,
20100707,TE,196268,421031,Q,
20100708,TE,76322,199964,Q,
20100709,TE,270718,395825,Q,
20110804,TE,397487,672532,,0.0
