,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,TKLC,32062,110402,Q,
20100105,TKLC,44383,201721,Q,
20100106,TKLC,45901,118207,Q,
20100107,TKLC,37836,196138,Q,
20100108,TKLC,65361,162746,Q,
20100111,TKLC,21926,114720,Q,
20100112,TKLC,25963,83133,Q,
20100113,TKLC,48881,121864,Q,
20100114,TKLC,126680,297085,Q,
20100115,TKLC,74949,187275,Q,
20100119,TKLC,64736,244602,Q,
20100120,TKLC,54143,140650,Q,
20100121,TKLC,81010,215374,Q,
20100122,TKLC,49008,157225,Q,
20100125,TKLC,17890,98382,Q,
20100126,TKLC,24849,135585,Q,
20100127,TKLC,43431,157751,Q,
20100128,TKLC,75804,225591,Q,
20100129,TKLC,15900,96949,Q,
20100201,TKLC,22355,87633,Q,
20100202,TKLC,22001,102663,Q,
20100203,TKLC,21716,91158,Q,
20100204,TKLC,26602,117442,Q,
20100205,TKLC,40076,115006,Q,
20100208,TKLC,15564,42205,Q,
20100209,TKLC,59621,141281,Q,
20100210,TKLC,65134,143671,Q,
20100211,TKLC,301844,784067,Q,
20100212,TKLC,112158,293209,Q,
20100216,TKLC,81518,219257,Q,
20100217,TKLC,37105,145488,Q,
20100218,TKLC,80743,193585,Q,
20100219,TKLC,52907,161594,Q,
20100222,TKLC,38179,104379,Q,
20100223,TKLC,32028,133546,Q,
20100224,TKLC,44453,137702,Q,
20100225,TKLC,50955,146946,Q,
20100226,TKLC,34820,76126,Q,
20100301,TKLC,75496,246216,Q,
20100302,TKLC,220601,474236,Q,
20100303,TKLC,86323,262058,Q,
20100304,TKLC,88399,197146,Q,
20100305,TKLC,204450,361579,Q,
20100308,TKLC,92562,235126,Q,
20100309,TKLC,75424,202833,Q,
20100310,TKLC,135497,264180,Q,
20100311,TKLC,124352,244761,Q,
20100312,TKLC,144781,314294,Q,
20100315,TKLC,99077,215567,Q,
20100316,TKLC,110506,223662,Q,
20100317,TKLC,85147,171961,Q,
20100318,TKLC,52900,134424,Q,
20100319,TKLC,95541,243315,Q,
20100322,TKLC,38854,116969,Q,
20100323,TKLC,43729,95165,Q,
20100324,TKLC,70277,138099,Q,
20100325,TKLC,83036,154802,Q,
20100326,TKLC,109252,183310,Q,
20100329,TKLC,150652,239365,Q,
20100330,TKLC,64842,127257,Q,
20100331,TKLC,42168,118139,Q,
20100401,TKLC,38062,99131,Q,
20100405,TKLC,44416,109777,Q,
20100406,TKLC,104309,226989,Q,
20100407,TKLC,107084,195369,Q,
20100408,TKLC,207913,264217,Q,
20100409,TKLC,65981,153456,Q,
20100412,TKLC,55864,98835,Q,
20100413,TKLC,15985,54021,Q,
20100414,TKLC,63479,186190,Q,
20100415,TKLC,18893,64731,Q,
20100416,TKLC,43246,119245,Q,
20100419,TKLC,76110,205448,Q,
20100420,TKLC,130716,347710,Q,
20100421,TKLC,43552,106885,Q,
20100422,TKLC,29213,143474,Q,
20100423,TKLC,63130,189348,Q,
20100426,TKLC,47208,157128,Q,
20100427,TKLC,218249,513021,Q,
20100428,TKLC,58139,145773,Q,
20100429,TKLC,366336,439522,Q,
20100430,TKLC,23988,91818,Q,
20100503,TKLC,17139,97742,Q,
20100504,TKLC,73034,178855,Q,
20100510,TKLC,155314,330965,Q,
20100511,TKLC,123592,233476,Q,
20100512,TKLC,176503,745045,Q,
20100513,TKLC,118046,196914,Q,
20100517,TKLC,65837,190371,Q,
20100518,TKLC,36206,128699,Q,
20100519,TKLC,36883,102910,Q,
20100520,TKLC,173002,282041,Q,
20100521,TKLC,62607,140007,Q,
20100524,TKLC,38865,81388,Q,
20100525,TKLC,108328,187662,Q,
20100526,TKLC,31506,80042,Q,
20100527,TKLC,46602,273622,Q,
20100528,TKLC,44008,86156,Q,
20100601,TKLC,65981,118782,Q,
20100602,TKLC,68578,149055,Q,
20100603,TKLC,49748,85307,Q,
20100604,TKLC,158542,251191,Q,
20100607,TKLC,96535,140704,Q,
20100608,TKLC,93529,180931,Q,
20100609,TKLC,47332,137639,Q,
20100610,TKLC,28572,109485,Q,
20100611,TKLC,80789,123647,Q,
20100614,TKLC,27742,64464,Q,
20100615,TKLC,69223,129565,Q,
20100616,TKLC,13844,47834,Q,
20100617,TKLC,9230,74143,Q,
20100618,TKLC,71664,112671,Q,
20100621,TKLC,36498,121659,Q,
20100622,TKLC,25084,49132,Q,
20100623,TKLC,21461,40546,Q,
20100624,TKLC,31158,58272,Q,
20100625,TKLC,19774,124779,Q,
20100628,TKLC,11010,55730,Q,
20100629,TKLC,26831,101610,Q,
20100630,TKLC,109677,363900,Q,
20100701,TKLC,55341,150289,Q,
20100702,TKLC,24948,98439,Q,
20100706,TKLC,60199,130629,Q,
20100707,TKLC,64921,125724,Q,
20100708,TKLC,21962,75438,Q,
20100709,TKLC,10930,59643,Q,
20110804,TKLC,205445,575775,,200.0
