,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,TLGD,1209,7019,Q,
20100106,TLGD,2650,5981,Q,
20100107,TLGD,1146,2901,Q,
20100108,TLGD,3999,9596,Q,
20100111,TLGD,200,800,Q,
20100112,TLGD,548,2098,Q,
20100113,TLGD,800,800,Q,
20100114,TLGD,1895,4865,Q,
20100115,TLGD,2300,5139,Q,
20100119,TLGD,4225,8090,Q,
20100120,TLGD,2100,3521,Q,
20100121,TLGD,1000,2081,Q,
20100122,TLGD,2750,8150,Q,
20100125,TLGD,530,1480,Q,
20100126,TLGD,300,1562,Q,
20100127,TLGD,1899,4226,Q,
20100128,TLGD,608,908,Q,
20100202,TLGD,6214,14434,Q,
20100203,TLGD,2420,4620,Q,
20100205,TLGD,1812,13642,Q,
20100208,TLGD,177,1502,Q,
20100209,TLGD,204,1804,Q,
20100210,TLGD,2161,6393,Q,
20100212,TLGD,596,2096,Q,
20100217,TLGD,200,2568,Q,
20100219,TLGD,1025,2901,Q,
20100224,TLGD,1321,5873,Q,
20100225,TLGD,2088,6788,Q,
20100226,TLGD,2998,4788,Q,
20100302,TLGD,200,2353,Q,
20100303,TLGD,3830,5130,Q,
20100304,TLGD,1626,2630,Q,
20100305,TLGD,560,1960,Q,
20100309,TLGD,985,1785,Q,
20100310,TLGD,839,5129,Q,
20100315,TLGD,400,3206,Q,
20100317,TLGD,100,850,Q,
20100318,TLGD,4859,7500,Q,
20100323,TLGD,1779,5850,Q,
20100324,TLGD,3000,8176,Q,
20100325,TLGD,700,6609,Q,
20100326,TLGD,104,954,Q,
20100329,TLGD,1213,3397,Q,
20100330,TLGD,2443,6565,Q,
20100401,TLGD,480,2180,Q,
20100405,TLGD,760,1560,Q,
20100406,TLGD,1500,5462,Q,
20100407,TLGD,100,300,Q,
20100408,TLGD,5499,6824,Q,
20100409,TLGD,16200,18775,Q,
20100412,TLGD,2400,5922,Q,
20100415,TLGD,1715,6472,Q,
20100416,TLGD,100,1400,Q,
20100419,TLGD,300,2700,Q,
20100420,TLGD,3790,5917,Q,
20100421,TLGD,100,4265,Q,
20100422,TLGD,300,4773,Q,
20100423,TLGD,100,800,Q,
20100426,TLGD,1043,3318,Q,
20100427,TLGD,326,6512,Q,
20100428,TLGD,568,2408,Q,
20100429,TLGD,1763,9910,Q,
20100430,TLGD,392,15892,Q,
20100503,TLGD,10339,21202,Q,
20100504,TLGD,8100,33351,Q,
20100510,TLGD,5150,70164,Q,
20100511,TLGD,1500,9664,Q,
20100512,TLGD,1000,8510,Q,
20100513,TLGD,1100,6158,Q,
20100517,TLGD,100,2384,Q,
20100524,TLGD,144,1711,Q,
20100525,TLGD,100,775,Q,
20100526,TLGD,4533,11640,Q,
20100527,TLGD,2200,5480,Q,
20100528,TLGD,1600,6900,Q,
20100601,TLGD,631,2196,Q,
20100602,TLGD,772,3178,Q,
20100603,TLGD,400,1000,Q,
20100604,TLGD,200,1930,Q,
20100607,TLGD,1545,3980,Q,
20100608,TLGD,1100,5311,Q,
20100609,TLGD,200,2552,Q,
20100610,TLGD,100,812,Q,
20100611,TLGD,521,2121,Q,
20100614,TLGD,1581,7046,Q,
20100616,TLGD,1895,10408,Q,
20100617,TLGD,300,4934,Q,
20100618,TLGD,1000,4500,Q,
20100624,TLGD,324,654,Q,
20100630,TLGD,1200,2230,Q,
