,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100510,TPCG,4594,12277,Q,
20100511,TPCG,9307,10692,Q,
20100512,TPCG,7640,10990,Q,
20100513,TPCG,3720,15220,Q,
20100517,TPCG,1200,28130,Q,
20100518,TPCG,1600,30833,Q,
20100519,TPCG,2800,9702,Q,
20100520,TPCG,2400,13100,Q,
20100521,TPCG,12180,37647,Q,
20100524,TPCG,1500,9500,Q,
20100525,TPCG,6900,11718,Q,
20100526,TPCG,7730,16730,Q,
20100527,TPCG,910,6945,Q,
20100528,TPCG,8300,33800,Q,
20100601,TPCG,2834,6706,Q,
20100602,TPCG,727,1327,Q,
20100603,TPCG,7007,15407,Q,
20100604,TPCG,2435,2635,Q,
20100607,TPCG,9325,11111,Q,
20100608,TPCG,3216,4816,Q,
20100609,TPCG,550,1010,Q,
20100610,TPCG,1100,1799,Q,
20100611,TPCG,3481,7902,Q,
20100614,TPCG,2039,5118,Q,
20100615,TPCG,2405,2505,Q,
20100616,TPCG,400,3500,Q,
20100617,TPCG,400,2838,Q,
20100618,TPCG,2500,7300,Q,
20100621,TPCG,3619,4807,Q,
20100622,TPCG,3846,11123,Q,
20100623,TPCG,2908,10781,Q,
20100624,TPCG,8300,15400,Q,
20100625,TPCG,32600,61063,Q,
20100628,TPCG,2022,5531,Q,
20100629,TPCG,1937,2637,Q,
20100630,TPCG,1264,2564,Q,
20100701,TPCG,1600,2600,Q,
20100702,TPCG,300,2198,Q,
20100706,TPCG,1687,9791,Q,
20100707,TPCG,797,1601,Q,
20100708,TPCG,652,852,Q,
20100709,TPCG,2486,5621,Q,
20110804,TPCG,6700,18781,,600.0
