,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,TRIT,52554,125562,Q,
20100105,TRIT,23650,57257,Q,
20100106,TRIT,24283,57812,Q,
20100107,TRIT,7745,31322,Q,
20100108,TRIT,13450,33550,Q,
20100111,TRIT,12901,65626,Q,
20100112,TRIT,14832,61865,Q,
20100113,TRIT,21229,64626,Q,
20100114,TRIT,3348,18172,Q,
20100115,TRIT,23136,105172,Q,
20100119,TRIT,14138,44449,Q,
20100120,TRIT,4325,28267,Q,
20100121,TRIT,21793,70424,Q,
20100122,TRIT,22834,99708,Q,
20100125,TRIT,25117,88543,Q,
20100126,TRIT,26756,94112,Q,
20100127,TRIT,54565,141703,Q,
20100128,TRIT,18743,61547,Q,
20100129,TRIT,15016,45978,Q,
20100201,TRIT,14835,46641,Q,
20100202,TRIT,29439,86637,Q,
20100203,TRIT,10727,19142,Q,
20100204,TRIT,22148,64033,Q,
20100205,TRIT,26183,64385,Q,
20100208,TRIT,18671,43759,Q,
20100209,TRIT,29700,56874,Q,
20100210,TRIT,15049,53230,Q,
20100211,TRIT,16973,61194,Q,
20100212,TRIT,14445,52795,Q,
20100216,TRIT,4300,23118,Q,
20100217,TRIT,4494,20656,Q,
20100218,TRIT,4320,23677,Q,
20100219,TRIT,4800,25932,Q,
20100222,TRIT,10997,34846,Q,
20100223,TRIT,20744,43843,Q,
20100224,TRIT,3333,13712,Q,
20100225,TRIT,751,9256,Q,
20100226,TRIT,8946,19552,Q,
20100301,TRIT,5731,27521,Q,
20100302,TRIT,8570,39868,Q,
20100303,TRIT,4300,21663,Q,
20100304,TRIT,4835,20357,Q,
20100305,TRIT,8578,31135,Q,
20100308,TRIT,10408,41910,Q,
20100309,TRIT,12273,70112,Q,
20100310,TRIT,8318,31311,Q,
20100311,TRIT,24483,48484,Q,
20100312,TRIT,5180,15102,Q,
20100315,TRIT,5240,12966,Q,
20100316,TRIT,400,12089,Q,
20100317,TRIT,15122,55692,Q,
20100318,TRIT,3895,30063,Q,
20100319,TRIT,5450,27170,Q,
20100322,TRIT,10546,25551,Q,
20100323,TRIT,2454,13690,Q,
20100324,TRIT,17649,38443,Q,
20100325,TRIT,162842,358371,Q,
20100326,TRIT,46117,146434,Q,
20100329,TRIT,16900,57097,Q,
20100330,TRIT,21994,42307,Q,
20100331,TRIT,6896,28636,Q,
20100401,TRIT,14110,51341,Q,
20100405,TRIT,26603,77052,Q,
20100406,TRIT,12490,34985,Q,
20100407,TRIT,34150,55313,Q,
20100408,TRIT,9191,28286,Q,
20100409,TRIT,8466,34207,Q,
20100412,TRIT,29250,62937,Q,
20100413,TRIT,26475,68560,Q,
20100414,TRIT,32880,95767,Q,
20100415,TRIT,139540,351695,Q,
20100416,TRIT,47145,155181,Q,
20100419,TRIT,59612,126139,Q,
20100420,TRIT,38259,103632,Q,
20100421,TRIT,19135,45510,Q,
20100422,TRIT,12804,79669,Q,
20100423,TRIT,5255,33845,Q,
20100426,TRIT,17016,46084,Q,
20100427,TRIT,16195,46346,Q,
20100428,TRIT,16250,36786,Q,
20100429,TRIT,9176,51297,Q,
20100430,TRIT,12247,29969,Q,
20100503,TRIT,15545,31542,Q,
20100504,TRIT,22754,66295,Q,
20100510,TRIT,19962,92621,Q,
20100511,TRIT,29230,101360,Q,
20100512,TRIT,93304,180489,Q,
20100513,TRIT,168959,443254,Q,
20100517,TRIT,14927,50568,Q,
20100518,TRIT,36258,73440,Q,
20100519,TRIT,14300,55142,Q,
20100520,TRIT,42300,174357,Q,
20100521,TRIT,30351,79358,Q,
20100524,TRIT,26550,50894,Q,
20100525,TRIT,19413,47164,Q,
20100526,TRIT,17389,38034,Q,
20100527,TRIT,28411,67710,Q,
20100528,TRIT,24810,62284,Q,
20100601,TRIT,7560,34848,Q,
20100602,TRIT,14144,38008,Q,
20100603,TRIT,16765,29058,Q,
20100604,TRIT,14244,30001,Q,
20100607,TRIT,6720,26500,Q,
20100608,TRIT,14516,69357,Q,
20100609,TRIT,3500,14515,Q,
20100610,TRIT,4616,26682,Q,
20100611,TRIT,11530,33667,Q,
20100614,TRIT,9396,35329,Q,
20100615,TRIT,9773,40916,Q,
20100616,TRIT,8516,24776,Q,
20100617,TRIT,10010,20860,Q,
20100618,TRIT,600,8710,Q,
20100621,TRIT,5630,23357,Q,
20100622,TRIT,4800,21130,Q,
20100623,TRIT,3600,18104,Q,
20100624,TRIT,1900,14153,Q,
20100625,TRIT,2925,13100,Q,
20100628,TRIT,2500,9633,Q,
20100629,TRIT,12736,58039,Q,
20100630,TRIT,9933,20971,Q,
20100701,TRIT,9713,30407,Q,
20100702,TRIT,1500,6875,Q,
20100706,TRIT,2500,13540,Q,
20100707,TRIT,600,7570,Q,
20100708,TRIT,2098,13465,Q,
20100709,TRIT,13300,38283,Q,
20110804,TRIT,1275,22585,,475.0
