,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,TTES,5654,14177,Q,
20100105,TTES,2800,7330,Q,
20100106,TTES,16930,28223,Q,
20100107,TTES,8036,16852,Q,
20100108,TTES,12230,19680,Q,
20100111,TTES,25889,36146,Q,
20100112,TTES,16900,25111,Q,
20100113,TTES,1600,8795,Q,
20100114,TTES,6172,24640,Q,
20100115,TTES,2141,14508,Q,
20100119,TTES,2940,26276,Q,
20100120,TTES,26788,46792,Q,
20100121,TTES,6751,48467,Q,
20100122,TTES,3930,21794,Q,
20100125,TTES,2100,7596,Q,
20100126,TTES,2808,16131,Q,
20100127,TTES,5320,19524,Q,
20100128,TTES,5850,18537,Q,
20100129,TTES,59181,94097,Q,
20100201,TTES,1925,13409,Q,
20100202,TTES,2356,10288,Q,
20100203,TTES,3700,50099,Q,
20100204,TTES,16100,41618,Q,
20100205,TTES,17965,76104,Q,
20100208,TTES,25214,36514,Q,
20100209,TTES,3600,13614,Q,
20100210,TTES,1400,3920,Q,
20100211,TTES,1450,18999,Q,
20100212,TTES,18744,56432,Q,
20100216,TTES,8935,35425,Q,
20100217,TTES,8598,30435,Q,
20100218,TTES,3300,11847,Q,
20100219,TTES,1100,11700,Q,
20100222,TTES,9793,24472,Q,
20100223,TTES,4915,23338,Q,
20100224,TTES,4152,17507,Q,
20100225,TTES,7578,25998,Q,
20100226,TTES,1608,12841,Q,
20100301,TTES,15925,58623,Q,
20100302,TTES,4492,24491,Q,
20100303,TTES,7801,19919,Q,
20100304,TTES,16351,28954,Q,
20100305,TTES,20407,38034,Q,
20100308,TTES,10040,31340,Q,
20100309,TTES,26727,61688,Q,
20100310,TTES,9625,28780,Q,
20100311,TTES,12874,31746,Q,
20100312,TTES,12900,28681,Q,
20100315,TTES,7465,23471,Q,
20100316,TTES,5857,14752,Q,
20100317,TTES,10548,17673,Q,
20100318,TTES,9883,22743,Q,
20100319,TTES,12900,26629,Q,
20100322,TTES,4989,10676,Q,
20100323,TTES,4241,9855,Q,
20100324,TTES,2700,15300,Q,
20100325,TTES,9444,13944,Q,
20100326,TTES,6765,25341,Q,
20100329,TTES,5000,22034,Q,
20100330,TTES,7849,20549,Q,
20100331,TTES,6675,19733,Q,
20100401,TTES,1900,18153,Q,
20100405,TTES,17449,34482,Q,
20100406,TTES,14560,30316,Q,
20100407,TTES,7769,15685,Q,
20100408,TTES,8588,21853,Q,
20100409,TTES,2100,6280,Q,
20100412,TTES,1494,7539,Q,
20100413,TTES,9565,20730,Q,
20100414,TTES,13484,34334,Q,
20100415,TTES,5613,13905,Q,
20100416,TTES,5229,18683,Q,
20100419,TTES,12094,28380,Q,
20100420,TTES,2900,24238,Q,
20100421,TTES,3500,8201,Q,
20100422,TTES,2066,8435,Q,
20100423,TTES,11045,26682,Q,
20100426,TTES,5400,17888,Q,
20100427,TTES,11228,31572,Q,
20100428,TTES,4500,8172,Q,
20100429,TTES,7200,75042,Q,
20100430,TTES,46079,190099,Q,
20100503,TTES,31927,69868,Q,
20100504,TTES,54817,180480,Q,
20100510,TTES,19153,36056,Q,
20100511,TTES,76919,82379,Q,
20100512,TTES,38193,57250,Q,
20100513,TTES,13925,34241,Q,
20100517,TTES,8999,32975,Q,
20100518,TTES,8156,16361,Q,
20100519,TTES,20442,50659,Q,
20100520,TTES,12213,38716,Q,
20100521,TTES,12605,32259,Q,
20100524,TTES,13950,30262,Q,
20100525,TTES,13474,38317,Q,
20100526,TTES,9950,20750,Q,
20100527,TTES,23386,56100,Q,
20100528,TTES,30363,134248,Q,
20100601,TTES,33446,85434,Q,
20100602,TTES,49865,63503,Q,
20100603,TTES,24320,42173,Q,
20100604,TTES,28696,48141,Q,
20100607,TTES,13132,53984,Q,
20100608,TTES,15013,27369,Q,
20100609,TTES,29351,81817,Q,
20100610,TTES,24503,34278,Q,
20100611,TTES,32737,102879,Q,
20100614,TTES,57567,264758,Q,
20100615,TTES,13051,37402,Q,
20100616,TTES,37412,59917,Q,
20100617,TTES,13344,50371,Q,
20100618,TTES,18270,53077,Q,
20100621,TTES,10375,49010,Q,
20100622,TTES,115621,136986,Q,
20100623,TTES,11800,25795,Q,
20100624,TTES,13018,49437,Q,
20100625,TTES,7492,35022,Q,
20100628,TTES,9553,22676,Q,
20100629,TTES,28759,45272,Q,
20100630,TTES,30651,39696,Q,
20100701,TTES,28770,84180,Q,
20100702,TTES,14428,27537,Q,
20100706,TTES,9002,13909,Q,
20100707,TTES,20215,33698,Q,
20100708,TTES,9809,32654,Q,
20100709,TTES,4040,16393,Q,
