,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,TTM,201079,536583,Q,
20100105,TTM,170448,531003,Q,
20100106,TTM,188420,441315,Q,
20100107,TTM,268383,710721,Q,
20100108,TTM,57482,579504,Q,
20100111,TTM,78286,333538,Q,
20100112,TTM,66594,343777,Q,
20100113,TTM,77010,185139,Q,
20100114,TTM,348846,581799,Q,
20100115,TTM,149936,497334,Q,
20100119,TTM,224220,690624,Q,
20100120,TTM,116171,663620,Q,
20100121,TTM,90963,586149,Q,
20100122,TTM,172215,451382,Q,
20100125,TTM,167719,465388,Q,
20100126,TTM,204178,617899,Q,
20100127,TTM,298742,1319249,Q,
20100128,TTM,229042,676687,Q,
20100129,TTM,240072,758426,Q,
20100201,TTM,260853,592211,Q,
20100202,TTM,158895,473676,Q,
20100203,TTM,264318,556761,Q,
20100204,TTM,195063,949671,Q,
20100205,TTM,223805,761413,Q,
20100208,TTM,236433,435582,Q,
20100209,TTM,100769,225632,Q,
20100210,TTM,73376,242994,Q,
20100211,TTM,33372,229574,Q,
20100212,TTM,62574,231685,Q,
20100216,TTM,100675,268542,Q,
20100217,TTM,131845,536546,Q,
20100218,TTM,97426,298392,Q,
20100219,TTM,64433,269441,Q,
20100222,TTM,60305,456311,Q,
20100223,TTM,85355,624015,Q,
20100224,TTM,74864,382019,Q,
20100225,TTM,84886,399875,Q,
20100226,TTM,160233,665185,Q,
20100301,TTM,208959,776867,Q,
20100302,TTM,285926,926529,Q,
20100303,TTM,99313,992671,Q,
20100304,TTM,120409,514131,Q,
20100305,TTM,268628,1074075,Q,
20100308,TTM,353786,1862348,Q,
20100309,TTM,275438,851528,Q,
20100310,TTM,324866,906173,Q,
20100311,TTM,106770,704747,Q,
20100312,TTM,189940,391253,Q,
20100315,TTM,126250,310127,Q,
20100316,TTM,69843,266549,Q,
20100317,TTM,149967,365071,Q,
20100318,TTM,87002,247173,Q,
20100319,TTM,377028,642345,Q,
20100322,TTM,17532,186248,Q,
20100323,TTM,82234,345361,Q,
20100324,TTM,30501,231512,Q,
20100325,TTM,149288,587770,Q,
20100326,TTM,86702,437166,Q,
20100329,TTM,153990,368953,Q,
20100330,TTM,168568,579714,Q,
20100331,TTM,102896,238213,Q,
20100401,TTM,167023,419804,Q,
20100405,TTM,143831,453480,Q,
20100406,TTM,151589,303687,Q,
20100407,TTM,111411,262822,Q,
20100408,TTM,53559,170108,Q,
20100409,TTM,118026,352052,Q,
20100412,TTM,131462,295592,Q,
20100413,TTM,93935,228187,Q,
20100414,TTM,149471,349676,Q,
20100415,TTM,59894,230180,Q,
20100416,TTM,167781,503374,Q,
20100419,TTM,91734,300282,Q,
20100420,TTM,78466,174917,Q,
20100421,TTM,201647,319084,Q,
20100422,TTM,127890,282110,Q,
20100423,TTM,55267,258798,Q,
20100426,TTM,96876,389742,Q,
20100427,TTM,154345,443828,Q,
20100428,TTM,56089,338273,Q,
20100429,TTM,97869,308331,Q,
20100430,TTM,158631,292723,Q,
20100503,TTM,174343,312196,Q,
20100504,TTM,88388,358033,Q,
20100510,TTM,165758,485681,Q,
20100511,TTM,177366,421459,Q,
20100512,TTM,95756,256590,Q,
20100513,TTM,41071,164716,Q,
20100517,TTM,44086,515589,Q,
20100518,TTM,89201,345405,Q,
20100519,TTM,172883,941768,Q,
20100520,TTM,152374,897484,Q,
20100521,TTM,183787,550888,Q,
20100524,TTM,136760,397926,Q,
20100525,TTM,87833,602588,Q,
20100526,TTM,210978,420438,Q,
20100527,TTM,227102,977845,Q,
20100528,TTM,62930,310992,Q,
20100601,TTM,85688,417890,Q,
20100602,TTM,103883,274909,Q,
20100603,TTM,70562,265362,Q,
20100604,TTM,124910,288188,Q,
20100607,TTM,180997,376857,Q,
20100608,TTM,172739,288770,Q,
20100609,TTM,123923,235440,Q,
20100610,TTM,125189,309978,Q,
20100611,TTM,39237,304169,Q,
20100614,TTM,191573,481209,Q,
20100615,TTM,76435,291190,Q,
20100616,TTM,182183,377805,Q,
20100617,TTM,87239,506320,Q,
20100618,TTM,118987,345988,Q,
20100621,TTM,91622,337896,Q,
20100622,TTM,76243,221570,Q,
20100623,TTM,54331,168731,Q,
20100624,TTM,37870,140495,Q,
20100625,TTM,46536,211779,Q,
20100628,TTM,39497,118383,Q,
20100629,TTM,125463,428027,Q,
20100630,TTM,169793,415843,Q,
20100701,TTM,185630,367109,Q,
20100702,TTM,59282,169165,Q,
20100706,TTM,68910,187309,Q,
20100707,TTM,87267,291029,Q,
20100708,TTM,150817,426462,Q,
20100709,TTM,26275,2309286,Q,
20110804,TTM,401818,849176,,0.0
