,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,UBS,582303,961778,Q,
20100105,UBS,692965,1142517,Q,
20100106,UBS,125044,396721,Q,
20100107,UBS,240563,513635,Q,
20100108,UBS,839705,1356603,Q,
20100111,UBS,195655,496238,Q,
20100112,UBS,232559,380550,Q,
20100113,UBS,324260,583482,Q,
20100114,UBS,166457,436570,Q,
20100115,UBS,282731,817181,Q,
20100119,UBS,326001,1012132,Q,
20100120,UBS,408122,1051015,Q,
20100121,UBS,835302,2048450,Q,
20100122,UBS,578023,1527400,Q,
20100125,UBS,280623,677861,Q,
20100126,UBS,373073,771940,Q,
20100127,UBS,400444,952570,Q,
20100128,UBS,375862,837226,Q,
20100129,UBS,835472,2106262,Q,
20100201,UBS,303121,1491505,Q,
20100202,UBS,291157,778192,Q,
20100203,UBS,442513,1085340,Q,
20100204,UBS,1108555,1846658,Q,
20100205,UBS,507974,1294533,Q,
20100208,UBS,371080,1089082,Q,
20100209,UBS,599859,2111793,Q,
20100210,UBS,420493,781681,Q,
20100211,UBS,360924,1119113,Q,
20100212,UBS,348688,660884,Q,
20100216,UBS,369182,724202,Q,
20100217,UBS,331054,699410,Q,
20100218,UBS,141004,347410,Q,
20100219,UBS,168322,394343,Q,
20100222,UBS,747064,1424424,Q,
20100223,UBS,408722,846250,Q,
20100224,UBS,358653,759233,Q,
20100225,UBS,208198,442874,Q,
20100226,UBS,447595,785380,Q,
20100301,UBS,376132,790086,Q,
20100302,UBS,293814,747845,Q,
20100303,UBS,472098,962423,Q,
20100304,UBS,550034,963983,Q,
20100305,UBS,447381,878809,Q,
20100308,UBS,308315,640838,Q,
20100309,UBS,327335,770922,Q,
20100310,UBS,471241,1157937,Q,
20100311,UBS,358766,696075,Q,
20100312,UBS,438112,886682,Q,
20100315,UBS,237905,531070,Q,
20100316,UBS,360708,795333,Q,
20100317,UBS,340005,748581,Q,
20100318,UBS,662122,1265936,Q,
20100319,UBS,265029,638806,Q,
20100322,UBS,143687,455962,Q,
20100323,UBS,122423,353384,Q,
20100324,UBS,391100,730786,Q,
20100325,UBS,322419,728502,Q,
20100326,UBS,175605,462775,Q,
20100329,UBS,1921036,3123803,Q,
20100330,UBS,295599,658325,Q,
20100331,UBS,427864,863860,Q,
20100401,UBS,522116,1108675,Q,
20100405,UBS,160014,401770,Q,
20100406,UBS,504471,1942494,Q,
20100407,UBS,475095,956379,Q,
20100408,UBS,409636,1313438,Q,
20100409,UBS,318370,1455535,Q,
20100412,UBS,741977,2305237,Q,
20100413,UBS,274249,1375038,Q,
20100414,UBS,455433,1112719,Q,
20100415,UBS,269383,788392,Q,
20100416,UBS,927358,1941637,Q,
20100419,UBS,704882,1168054,Q,
20100420,UBS,362952,650335,Q,
20100421,UBS,355296,779595,Q,
20100422,UBS,399724,716178,Q,
20100423,UBS,267112,524391,Q,
20100426,UBS,416792,900984,Q,
20100427,UBS,614041,1020816,Q,
20100428,UBS,1208346,1876161,Q,
20100429,UBS,267672,671020,Q,
20100430,UBS,412770,734217,Q,
20100503,UBS,252426,630952,Q,
20100504,UBS,703559,1408098,Q,
20100510,UBS,412812,978278,Q,
20100511,UBS,645747,1129759,Q,
20100512,UBS,376976,812016,Q,
20100513,UBS,815743,1275767,Q,
20100517,UBS,686173,1047037,Q,
20100518,UBS,538111,1012197,Q,
20100519,UBS,582335,877629,Q,
20100520,UBS,769043,1214425,Q,
20100521,UBS,427202,866042,Q,
20100524,UBS,287889,519015,Q,
20100525,UBS,547938,888715,Q,
20100526,UBS,378211,767241,Q,
20100527,UBS,501661,1192682,Q,
20100528,UBS,440473,828794,Q,
20100601,UBS,289475,748428,Q,
20100602,UBS,241189,425068,Q,
20100603,UBS,190613,433321,Q,
20100604,UBS,916566,1492861,Q,
20100607,UBS,482973,953300,Q,
20100608,UBS,276757,601254,Q,
20100609,UBS,344410,684960,Q,
20100610,UBS,239210,539134,Q,
20100611,UBS,197645,716072,Q,
20100614,UBS,260346,588785,Q,
20100615,UBS,272409,568012,Q,
20100616,UBS,235408,499003,Q,
20100617,UBS,418020,982092,Q,
20100618,UBS,268751,510325,Q,
20100621,UBS,441673,760760,Q,
20100622,UBS,345366,719646,Q,
20100623,UBS,385109,816850,Q,
20100624,UBS,360763,845085,Q,
20100625,UBS,356821,868189,Q,
20100628,UBS,360436,695225,Q,
20100629,UBS,683120,1004615,Q,
20100630,UBS,277407,545231,Q,
20100701,UBS,306040,620300,Q,
20100702,UBS,172917,315527,Q,
20100706,UBS,326985,533554,Q,
20100707,UBS,412851,804250,Q,
20100708,UBS,215235,415037,Q,
20100709,UBS,201816,389210,Q,
20110804,UBS,644259,1089134,,0.0
