,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,UBSH,1100,4190,Q,
20100105,UBSH,2300,8500,Q,
20100106,UBSH,1700,11221,Q,
20100107,UBSH,700,2181,Q,
20100108,UBSH,3310,6410,Q,
20100111,UBSH,600,3979,Q,
20100112,UBSH,429,2529,Q,
20100113,UBSH,2250,11400,Q,
20100114,UBSH,2836,7927,Q,
20100115,UBSH,3520,9288,Q,
20100119,UBSH,3400,8980,Q,
20100120,UBSH,400,4375,Q,
20100121,UBSH,4513,9613,Q,
20100122,UBSH,4540,8540,Q,
20100125,UBSH,7855,11055,Q,
20100126,UBSH,3600,11080,Q,
20100127,UBSH,7453,20414,Q,
20100128,UBSH,2100,15652,Q,
20100129,UBSH,1736,5096,Q,
20100201,UBSH,6514,15998,Q,
20100202,UBSH,1850,6870,Q,
20100203,UBSH,15253,22038,Q,
20100204,UBSH,4782,10332,Q,
20100205,UBSH,2300,4800,Q,
20100208,UBSH,1900,13345,Q,
20100209,UBSH,1300,8400,Q,
20100210,UBSH,4356,8094,Q,
20100211,UBSH,400,21032,Q,
20100212,UBSH,2800,8498,Q,
20100216,UBSH,3122,24942,Q,
20100217,UBSH,5408,11308,Q,
20100218,UBSH,3215,8267,Q,
20100219,UBSH,6482,9872,Q,
20100222,UBSH,7412,10947,Q,
20100223,UBSH,6048,11723,Q,
20100224,UBSH,6726,31327,Q,
20100225,UBSH,9125,22964,Q,
20100226,UBSH,743,5743,Q,
20100301,UBSH,3500,4700,Q,
20100302,UBSH,12497,20211,Q,
20100303,UBSH,8159,13659,Q,
20100304,UBSH,8970,46605,Q,
20100305,UBSH,5050,8060,Q,
20100308,UBSH,2601,10301,Q,
20100309,UBSH,4105,6705,Q,
20100310,UBSH,800,2631,Q,
20100311,UBSH,15947,17347,Q,
20100312,UBSH,23929,42880,Q,
20100315,UBSH,7789,9956,Q,
20100316,UBSH,900,3082,Q,
20100317,UBSH,1990,3534,Q,
20100318,UBSH,3831,5931,Q,
20100319,UBSH,7082,16292,Q,
20100322,UBSH,6227,16809,Q,
20100323,UBSH,4150,9046,Q,
20100324,UBSH,2604,7587,Q,
20100325,UBSH,1028,6317,Q,
20100326,UBSH,2220,4940,Q,
20100329,UBSH,5599,47886,Q,
20100330,UBSH,14180,38280,Q,
20100331,UBSH,113406,136017,Q,
20100401,UBSH,6037,28614,Q,
20100405,UBSH,9308,14379,Q,
20100406,UBSH,8416,56701,Q,
20100407,UBSH,8275,22525,Q,
20100408,UBSH,3895,7795,Q,
20100409,UBSH,4908,6408,Q,
20100412,UBSH,4800,7900,Q,
20100413,UBSH,10178,12878,Q,
20100414,UBSH,8547,31275,Q,
20100415,UBSH,5399,8145,Q,
20100416,UBSH,6199,10949,Q,
20100419,UBSH,7841,10891,Q,
20100420,UBSH,14608,17908,Q,
20100421,UBSH,6004,21419,Q,
20100422,UBSH,8369,18354,Q,
20100423,UBSH,10488,13942,Q,
20100426,UBSH,11436,17836,Q,
20100427,UBSH,7900,21507,Q,
20100428,UBSH,5701,14433,Q,
20100429,UBSH,5469,10119,Q,
20100430,UBSH,14575,37263,Q,
20100503,UBSH,7194,11044,Q,
20100504,UBSH,4100,22907,Q,
20100510,UBSH,6020,13164,Q,
20100511,UBSH,9728,33642,Q,
20100512,UBSH,11900,25936,Q,
20100513,UBSH,11036,28236,Q,
20100517,UBSH,7700,15200,Q,
20100518,UBSH,4800,13550,Q,
20100519,UBSH,4500,10625,Q,
20100520,UBSH,6661,17356,Q,
20100521,UBSH,9198,23366,Q,
20100524,UBSH,2500,11487,Q,
20100525,UBSH,6700,10646,Q,
20100526,UBSH,3000,10200,Q,
20100527,UBSH,1572,2792,Q,
20100528,UBSH,15215,18041,Q,
20100601,UBSH,4176,6631,Q,
20100602,UBSH,7800,15804,Q,
20100603,UBSH,7271,17329,Q,
20100604,UBSH,14693,19588,Q,
20100607,UBSH,9635,26936,Q,
20100608,UBSH,9700,48509,Q,
20100609,UBSH,14342,20227,Q,
20100610,UBSH,9000,26648,Q,
20100611,UBSH,11200,18707,Q,
20100614,UBSH,3684,10152,Q,
20100615,UBSH,10308,13043,Q,
20100616,UBSH,6247,9320,Q,
20100617,UBSH,2637,3437,Q,
20100618,UBSH,13950,20309,Q,
20100621,UBSH,3847,5338,Q,
20100622,UBSH,5785,8485,Q,
20100623,UBSH,9320,12635,Q,
20100624,UBSH,15648,17398,Q,
20100625,UBSH,11115,22717,Q,
20100628,UBSH,11550,21791,Q,
20100629,UBSH,9691,15085,Q,
20100630,UBSH,8123,10773,Q,
20100701,UBSH,5799,9699,Q,
20100702,UBSH,692,2274,Q,
20100706,UBSH,7709,20739,Q,
20100707,UBSH,6920,13508,Q,
20100708,UBSH,3468,5968,Q,
20100709,UBSH,2591,4376,Q,
20110804,UBSH,2600,6519,,0.0
