,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,UFI,4800,40061,Q,
20100105,UFI,9040,55565,Q,
20100106,UFI,55925,141817,Q,
20100107,UFI,1500,43418,Q,
20100108,UFI,7200,32607,Q,
20100111,UFI,1400,26623,Q,
20100113,UFI,3500,14763,Q,
20100114,UFI,1900,13050,Q,
20100115,UFI,5700,34722,Q,
20100119,UFI,4700,28742,Q,
20100120,UFI,7650,51410,Q,
20100121,UFI,14596,66765,Q,
20100122,UFI,6900,36100,Q,
20100125,UFI,9400,32066,Q,
20100126,UFI,6946,24271,Q,
20100127,UFI,12231,21745,Q,
20100128,UFI,4500,16050,Q,
20100129,UFI,10058,21832,Q,
20100201,UFI,8519,18435,Q,
20100202,UFI,10029,17167,Q,
20100203,UFI,22146,39596,Q,
20100204,UFI,17691,43098,Q,
20100205,UFI,9950,28200,Q,
20100208,UFI,4700,24500,Q,
20100209,UFI,5140,11906,Q,
20100210,UFI,17265,47407,Q,
20100211,UFI,2000,12900,Q,
20100212,UFI,4160,13635,Q,
20100216,UFI,17865,40870,Q,
20100217,UFI,26930,65934,Q,
20100218,UFI,14360,44575,Q,
20100219,UFI,4350,61153,Q,
20100222,UFI,8000,112609,Q,
20100223,UFI,4990,21696,Q,
20100224,UFI,2922,10372,Q,
20100225,UFI,4606,15941,Q,
20100226,UFI,4700,13745,Q,
20100301,UFI,12706,35958,Q,
20100302,UFI,4833,24523,Q,
20100303,UFI,6632,21885,Q,
20100304,UFI,8510,34692,Q,
20100305,UFI,3130,31590,Q,
20100308,UFI,3600,45492,Q,
20100309,UFI,2800,45691,Q,
20100310,UFI,1200,11161,Q,
20100311,UFI,2400,34643,Q,
20100312,UFI,1300,9640,Q,
20100315,UFI,2650,23034,Q,
20100316,UFI,5600,19070,Q,
20100317,UFI,7700,24325,Q,
20100318,UFI,400,14000,Q,
20100319,UFI,73352,211409,Q,
20100322,UFI,21437,49636,Q,
20100323,UFI,11775,35306,Q,
20100324,UFI,8200,57052,Q,
20100325,UFI,8450,25304,Q,
20100326,UFI,4100,8200,Q,
20100329,UFI,9197,33265,Q,
20100330,UFI,13043,43150,Q,
20100331,UFI,11120,25620,Q,
20100401,UFI,3400,32129,Q,
20100405,UFI,2900,13764,Q,
20100406,UFI,5195,19745,Q,
20100407,UFI,9129,47616,Q,
20100408,UFI,12645,33834,Q,
20100409,UFI,9089,36031,Q,
20100412,UFI,3600,14005,Q,
20100413,UFI,10073,38618,Q,
20100414,UFI,9300,45360,Q,
20100415,UFI,11136,33661,Q,
20100416,UFI,1848,9198,Q,
20100419,UFI,12111,35528,Q,
20100420,UFI,9245,24153,Q,
20100421,UFI,25947,60444,Q,
20100422,UFI,13051,32801,Q,
20100423,UFI,29914,70495,Q,
20100426,UFI,29574,83629,Q,
20100427,UFI,10800,34545,Q,
20100428,UFI,21069,47048,Q,
20100429,UFI,18331,52961,Q,
20100430,UFI,14672,55759,Q,
20100503,UFI,29332,66640,Q,
20100504,UFI,2500,30931,Q,
20100510,UFI,19089,58010,Q,
20100511,UFI,33500,106933,Q,
20100512,UFI,23348,39238,Q,
20100513,UFI,36696,93687,Q,
20100517,UFI,28630,71513,Q,
20100518,UFI,40946,89533,Q,
20100519,UFI,36436,69002,Q,
20100520,UFI,41244,85912,Q,
20100521,UFI,24888,52032,Q,
20100524,UFI,15226,25242,Q,
20100525,UFI,12489,36118,Q,
20100526,UFI,23939,46514,Q,
20100527,UFI,7101,11886,Q,
20100528,UFI,6420,24175,Q,
20100601,UFI,63345,86202,Q,
20100602,UFI,2648,9496,Q,
20100603,UFI,18737,111137,Q,
20100604,UFI,10600,49758,Q,
20100607,UFI,9690,57637,Q,
20100608,UFI,56720,95965,Q,
20100609,UFI,26769,51350,Q,
20100610,UFI,20200,40024,Q,
20100611,UFI,48125,90120,Q,
20100614,UFI,31850,82351,Q,
20100615,UFI,30705,57470,Q,
20100616,UFI,82273,121676,Q,
20100617,UFI,34068,59400,Q,
20100618,UFI,108122,192788,Q,
20100621,UFI,79100,151683,Q,
20100622,UFI,33428,94604,Q,
20100623,UFI,42327,105801,Q,
20100624,UFI,39437,73727,Q,
20100625,UFI,70070,199720,Q,
20100628,UFI,20700,39019,Q,
20100629,UFI,36083,89012,Q,
20100630,UFI,41683,90757,Q,
20100701,UFI,65348,88560,Q,
20100702,UFI,25462,39704,Q,
20100706,UFI,39924,97633,Q,
20100707,UFI,32440,70181,Q,
20100708,UFI,18700,51625,Q,
20100709,UFI,5900,15139,Q,
20110804,UFI,7818,18420,,0.0
