,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,UMPQ,105727,203753,Q,
20100105,UMPQ,144809,799610,Q,
20100106,UMPQ,69986,146933,Q,
20100107,UMPQ,141262,447118,Q,
20100108,UMPQ,62558,345980,Q,
20100111,UMPQ,43824,400977,Q,
20100112,UMPQ,74305,524231,Q,
20100113,UMPQ,33176,234172,Q,
20100114,UMPQ,57845,324503,Q,
20100115,UMPQ,72189,202909,Q,
20100119,UMPQ,37003,178187,Q,
20100120,UMPQ,76133,237477,Q,
20100121,UMPQ,99251,308032,Q,
20100122,UMPQ,103705,235907,Q,
20100125,UMPQ,224739,755260,Q,
20100126,UMPQ,103559,196808,Q,
20100127,UMPQ,110259,173807,Q,
20100128,UMPQ,385215,734481,Q,
20100129,UMPQ,117122,293300,Q,
20100201,UMPQ,189701,537145,Q,
20100202,UMPQ,158334,1308182,Q,
20100203,UMPQ,407728,1085849,Q,
20100204,UMPQ,2398670,4495892,Q,
20100205,UMPQ,818595,1489643,Q,
20100208,UMPQ,375459,648653,Q,
20100209,UMPQ,319808,572496,Q,
20100210,UMPQ,124439,293436,Q,
20100211,UMPQ,199691,443982,Q,
20100212,UMPQ,498185,742251,Q,
20100216,UMPQ,112832,209497,Q,
20100217,UMPQ,91348,208574,Q,
20100218,UMPQ,76155,169589,Q,
20100219,UMPQ,39938,198183,Q,
20100222,UMPQ,167758,511216,Q,
20100223,UMPQ,83695,371522,Q,
20100224,UMPQ,480556,648241,Q,
20100225,UMPQ,194344,357262,Q,
20100226,UMPQ,362713,596631,Q,
20100301,UMPQ,308582,578014,Q,
20100302,UMPQ,154300,348846,Q,
20100303,UMPQ,92280,215486,Q,
20100304,UMPQ,207288,526240,Q,
20100305,UMPQ,138389,251789,Q,
20100308,UMPQ,58739,249862,Q,
20100309,UMPQ,96651,281230,Q,
20100310,UMPQ,149437,287933,Q,
20100311,UMPQ,186735,320856,Q,
20100312,UMPQ,56262,102058,Q,
20100315,UMPQ,54747,127693,Q,
20100316,UMPQ,240307,304821,Q,
20100317,UMPQ,257196,388534,Q,
20100318,UMPQ,454920,627781,Q,
20100319,UMPQ,163624,301871,Q,
20100322,UMPQ,76604,176397,Q,
20100323,UMPQ,80426,173859,Q,
20100324,UMPQ,221831,289703,Q,
20100325,UMPQ,157875,341555,Q,
20100326,UMPQ,171152,324232,Q,
20100329,UMPQ,54746,191609,Q,
20100330,UMPQ,143849,194898,Q,
20100331,UMPQ,44435,109300,Q,
20100401,UMPQ,116969,217826,Q,
20100405,UMPQ,98581,230291,Q,
20100406,UMPQ,107733,226880,Q,
20100407,UMPQ,181463,334643,Q,
20100408,UMPQ,53384,135695,Q,
20100409,UMPQ,75622,200788,Q,
20100412,UMPQ,121712,284121,Q,
20100413,UMPQ,125510,210964,Q,
20100414,UMPQ,141307,307946,Q,
20100415,UMPQ,137081,404445,Q,
20100416,UMPQ,214567,550450,Q,
20100419,UMPQ,383231,663185,Q,
20100420,UMPQ,207361,556226,Q,
20100421,UMPQ,142457,430302,Q,
20100422,UMPQ,327288,711462,Q,
20100423,UMPQ,138215,444124,Q,
20100426,UMPQ,306446,645828,Q,
20100427,UMPQ,365824,895348,Q,
20100428,UMPQ,78471,480869,Q,
20100429,UMPQ,47220,350127,Q,
20100430,UMPQ,127727,369910,Q,
20100503,UMPQ,108077,313813,Q,
20100504,UMPQ,134207,381239,Q,
20100510,UMPQ,60261,278151,Q,
20100511,UMPQ,72092,187169,Q,
20100512,UMPQ,96460,276980,Q,
20100513,UMPQ,113800,249204,Q,
20100517,UMPQ,93693,381010,Q,
20100518,UMPQ,228441,626427,Q,
20100519,UMPQ,132805,363128,Q,
20100520,UMPQ,182905,546755,Q,
20100521,UMPQ,167937,290898,Q,
20100524,UMPQ,63891,124737,Q,
20100525,UMPQ,125994,256267,Q,
20100526,UMPQ,227255,474733,Q,
20100527,UMPQ,160536,303818,Q,
20100528,UMPQ,189995,435805,Q,
20100601,UMPQ,90010,168994,Q,
20100602,UMPQ,55201,165847,Q,
20100603,UMPQ,131778,248140,Q,
20100604,UMPQ,155254,253847,Q,
20100607,UMPQ,71696,138026,Q,
20100608,UMPQ,116381,232980,Q,
20100609,UMPQ,88236,179129,Q,
20100610,UMPQ,53988,130742,Q,
20100611,UMPQ,38736,138783,Q,
20100614,UMPQ,92262,154375,Q,
20100615,UMPQ,42406,144492,Q,
20100616,UMPQ,40556,101543,Q,
20100617,UMPQ,59965,139377,Q,
20100618,UMPQ,71871,147913,Q,
20100621,UMPQ,132782,198857,Q,
20100622,UMPQ,114538,252600,Q,
20100623,UMPQ,96844,194892,Q,
20100624,UMPQ,50437,253410,Q,
20100625,UMPQ,69162,134236,Q,
20100628,UMPQ,47797,131846,Q,
20100629,UMPQ,92527,317125,Q,
20100630,UMPQ,51621,270703,Q,
20100701,UMPQ,56280,148098,Q,
20100702,UMPQ,55785,121034,Q,
20100706,UMPQ,74217,208054,Q,
20100707,UMPQ,65837,194019,Q,
20100708,UMPQ,137311,300963,Q,
20100709,UMPQ,24670,80188,Q,
20110804,UMPQ,71723,134641,,2900.0
