,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,USAP,1688,6613,Q,
20100105,USAP,4013,6273,Q,
20100106,USAP,655,3095,Q,
20100107,USAP,400,1028,Q,
20100108,USAP,200,300,Q,
20100111,USAP,2867,5367,Q,
20100112,USAP,500,1700,Q,
20100113,USAP,3100,8510,Q,
20100114,USAP,2000,4524,Q,
20100115,USAP,500,1200,Q,
20100120,USAP,100,500,Q,
20100121,USAP,6360,7597,Q,
20100122,USAP,1400,6550,Q,
20100125,USAP,1800,12637,Q,
20100126,USAP,850,10776,Q,
20100127,USAP,707,4995,Q,
20100128,USAP,2689,7289,Q,
20100129,USAP,3800,17908,Q,
20100201,USAP,2200,4600,Q,
20100202,USAP,2100,3099,Q,
20100203,USAP,6000,9040,Q,
20100204,USAP,20929,25112,Q,
20100205,USAP,2713,4513,Q,
20100208,USAP,2000,2658,Q,
20100209,USAP,1753,4819,Q,
20100211,USAP,1200,19914,Q,
20100212,USAP,100,11200,Q,
20100216,USAP,1000,4300,Q,
20100217,USAP,1800,2670,Q,
20100218,USAP,100,2390,Q,
20100219,USAP,700,2610,Q,
20100222,USAP,1114,2126,Q,
20100224,USAP,1300,3200,Q,
20100225,USAP,200,1012,Q,
20100226,USAP,200,820,Q,
20100302,USAP,10488,63131,Q,
20100303,USAP,3533,6042,Q,
20100304,USAP,1275,4962,Q,
20100305,USAP,1700,2854,Q,
20100308,USAP,25433,27927,Q,
20100309,USAP,500,2698,Q,
20100310,USAP,4900,8146,Q,
20100311,USAP,1371,4073,Q,
20100312,USAP,100,1000,Q,
20100315,USAP,1000,4471,Q,
20100316,USAP,500,2550,Q,
20100317,USAP,794,1409,Q,
20100318,USAP,2184,22984,Q,
20100319,USAP,2835,7465,Q,
20100322,USAP,700,1000,Q,
20100323,USAP,889,6399,Q,
20100324,USAP,3298,8554,Q,
20100325,USAP,1900,4001,Q,
20100326,USAP,5100,5900,Q,
20100329,USAP,500,2900,Q,
20100330,USAP,3700,5367,Q,
20100331,USAP,4000,8808,Q,
20100401,USAP,3342,9182,Q,
20100405,USAP,850,4758,Q,
20100406,USAP,149,2233,Q,
20100407,USAP,1000,4010,Q,
20100408,USAP,1100,2334,Q,
20100409,USAP,423,2863,Q,
20100412,USAP,1600,7580,Q,
20100413,USAP,200,5644,Q,
20100415,USAP,1424,3264,Q,
20100416,USAP,860,2934,Q,
20100419,USAP,1200,3900,Q,
20100420,USAP,1100,3115,Q,
20100421,USAP,1500,5196,Q,
20100422,USAP,185,6585,Q,
20100423,USAP,500,3100,Q,
20100426,USAP,2700,4430,Q,
20100427,USAP,400,3820,Q,
20100428,USAP,3500,11246,Q,
20100429,USAP,1900,22157,Q,
20100430,USAP,10300,93126,Q,
20100503,USAP,1389,4689,Q,
20100504,USAP,2584,5868,Q,
20100510,USAP,2481,4621,Q,
20100511,USAP,1800,4300,Q,
20100512,USAP,300,1203,Q,
20100513,USAP,1100,2419,Q,
20100517,USAP,760,1920,Q,
20100518,USAP,1000,5200,Q,
20100519,USAP,3425,7008,Q,
20100520,USAP,2106,11094,Q,
20100521,USAP,3899,11294,Q,
20100524,USAP,100,3026,Q,
20100525,USAP,2000,3600,Q,
20100526,USAP,859,37581,Q,
20100527,USAP,4221,6721,Q,
20100528,USAP,1870,4801,Q,
20100601,USAP,3700,7700,Q,
20100602,USAP,500,1964,Q,
20100603,USAP,400,1638,Q,
20100604,USAP,2391,3991,Q,
20100607,USAP,7666,60966,Q,
20100609,USAP,1050,2108,Q,
20100610,USAP,2098,10558,Q,
20100611,USAP,1800,14800,Q,
20100614,USAP,2900,3600,Q,
20100615,USAP,200,1804,Q,
20100616,USAP,200,1850,Q,
20100617,USAP,2296,4396,Q,
20100618,USAP,1400,4000,Q,
20100621,USAP,1863,4326,Q,
20100622,USAP,200,1910,Q,
20100623,USAP,100,4202,Q,
20100624,USAP,1777,6377,Q,
20100625,USAP,7189,10120,Q,
20100628,USAP,1718,7250,Q,
20100629,USAP,2210,5445,Q,
20100630,USAP,2945,6345,Q,
20100701,USAP,4006,9806,Q,
20100702,USAP,1404,2952,Q,
20100706,USAP,1100,2325,Q,
20100707,USAP,1655,4102,Q,
20100708,USAP,3630,4144,Q,
20100709,USAP,476,776,Q,
20110804,USAP,11850,47888,,0.0
