,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,USTR,13330,30826,Q,
20100105,USTR,24705,166172,Q,
20100106,USTR,23360,43649,Q,
20100107,USTR,5945,10626,Q,
20100108,USTR,20141,38785,Q,
20100111,USTR,6080,13476,Q,
20100112,USTR,6693,29500,Q,
20100113,USTR,12344,31087,Q,
20100114,USTR,10562,16494,Q,
20100115,USTR,14900,139745,Q,
20100119,USTR,5555,25260,Q,
20100120,USTR,5256,23370,Q,
20100121,USTR,14233,43747,Q,
20100122,USTR,5260,17767,Q,
20100125,USTR,4512,11912,Q,
20100126,USTR,2000,9799,Q,
20100127,USTR,4005,14091,Q,
20100128,USTR,5690,15590,Q,
20100129,USTR,4750,11794,Q,
20100201,USTR,10730,16870,Q,
20100202,USTR,5320,12218,Q,
20100203,USTR,20625,38398,Q,
20100204,USTR,3309,24771,Q,
20100205,USTR,3912,9465,Q,
20100208,USTR,4465,38049,Q,
20100209,USTR,7324,49157,Q,
20100210,USTR,4600,24082,Q,
20100211,USTR,6531,26621,Q,
20100212,USTR,16530,79760,Q,
20100216,USTR,13557,149882,Q,
20100217,USTR,7277,62285,Q,
20100218,USTR,4791,67512,Q,
20100219,USTR,9412,111432,Q,
20100222,USTR,10213,53945,Q,
20100223,USTR,4024,20618,Q,
20100224,USTR,8697,17247,Q,
20100225,USTR,7577,15175,Q,
20100226,USTR,9209,22085,Q,
20100301,USTR,8787,25706,Q,
20100302,USTR,4573,15948,Q,
20100303,USTR,5963,34938,Q,
20100304,USTR,9453,16942,Q,
20100305,USTR,7386,28536,Q,
20100308,USTR,8100,20051,Q,
20100309,USTR,4086,25213,Q,
20100310,USTR,5931,14804,Q,
20100311,USTR,3342,14692,Q,
20100312,USTR,4400,24355,Q,
20100315,USTR,6166,15043,Q,
20100316,USTR,7385,13930,Q,
20100317,USTR,3600,12841,Q,
20100318,USTR,1311,7509,Q,
20100319,USTR,9690,23568,Q,
20100322,USTR,6413,14712,Q,
20100323,USTR,6006,12792,Q,
20100324,USTR,4528,15053,Q,
20100325,USTR,4900,15876,Q,
20100326,USTR,2600,22234,Q,
20100329,USTR,7528,19464,Q,
20100330,USTR,10750,27627,Q,
20100331,USTR,6842,19757,Q,
20100401,USTR,6656,19756,Q,
20100405,USTR,5488,16898,Q,
20100406,USTR,5050,12799,Q,
20100407,USTR,3654,12979,Q,
20100408,USTR,4000,22732,Q,
20100409,USTR,3930,9978,Q,
20100412,USTR,9513,19994,Q,
20100413,USTR,3498,16898,Q,
20100414,USTR,10461,30330,Q,
20100415,USTR,8254,15932,Q,
20100416,USTR,11200,23195,Q,
20100419,USTR,10726,20558,Q,
20100420,USTR,10057,18041,Q,
20100421,USTR,4800,15246,Q,
20100422,USTR,11005,65567,Q,
20100423,USTR,7900,16009,Q,
20100426,USTR,12408,27817,Q,
20100427,USTR,6979,28121,Q,
20100428,USTR,4790,20963,Q,
20100429,USTR,9973,46362,Q,
20100430,USTR,3869,54639,Q,
20100503,USTR,8978,28551,Q,
20100504,USTR,35388,115760,Q,
20100510,USTR,5700,34044,Q,
20100511,USTR,13325,71843,Q,
20100512,USTR,11592,60132,Q,
20100513,USTR,15190,31726,Q,
20100517,USTR,12219,21756,Q,
20100518,USTR,6810,26100,Q,
20100519,USTR,3500,14529,Q,
20100520,USTR,9893,17316,Q,
20100521,USTR,10460,98284,Q,
20100524,USTR,6386,23808,Q,
20100525,USTR,12101,34889,Q,
20100526,USTR,3300,17781,Q,
20100527,USTR,9921,29883,Q,
20100528,USTR,8848,19250,Q,
20100601,USTR,12407,23546,Q,
20100602,USTR,9967,50175,Q,
20100603,USTR,3305,10233,Q,
20100604,USTR,9343,27138,Q,
20100607,USTR,14833,36933,Q,
20100608,USTR,19785,70523,Q,
20100609,USTR,11280,24308,Q,
20100610,USTR,5190,16336,Q,
20100611,USTR,6465,15819,Q,
20100614,USTR,8439,19773,Q,
20100615,USTR,4338,16936,Q,
20100616,USTR,1700,18555,Q,
20100617,USTR,11967,42407,Q,
20100618,USTR,7440,30058,Q,
20100621,USTR,7984,27459,Q,
20100622,USTR,9515,36707,Q,
20100623,USTR,6960,40960,Q,
20100624,USTR,12135,21600,Q,
20100625,USTR,25483,34086,Q,
20100628,USTR,14393,31702,Q,
20100629,USTR,20673,37005,Q,
20100630,USTR,13582,61204,Q,
20100701,USTR,12041,35504,Q,
20100702,USTR,10303,25619,Q,
20100706,USTR,4373,24609,Q,
20100707,USTR,5609,13442,Q,
20100708,USTR,5785,13085,Q,
20100709,USTR,1530,3130,Q,
20110804,USTR,16942,198257,,0.0
