,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,UZV,3726,10652,Q,
20100105,UZV,1935,11264,Q,
20100106,UZV,863,2140,Q,
20100107,UZV,900,4995,Q,
20100108,UZV,5385,11162,Q,
20100111,UZV,1300,5260,Q,
20100112,UZV,3600,7630,Q,
20100113,UZV,1338,5485,Q,
20100115,UZV,100,5516,Q,
20100119,UZV,3100,9815,Q,
20100120,UZV,1600,17437,Q,
20100121,UZV,750,2550,Q,
20100122,UZV,850,8044,Q,
20100125,UZV,1200,14668,Q,
20100126,UZV,3850,18262,Q,
20100127,UZV,667,5872,Q,
20100128,UZV,1100,8627,Q,
20100129,UZV,1200,3150,Q,
20100201,UZV,1160,5746,Q,
20100202,UZV,6100,8363,Q,
20100203,UZV,900,4340,Q,
20100204,UZV,100,3921,Q,
20100205,UZV,4410,7040,Q,
20100208,UZV,3220,9695,Q,
20100209,UZV,4518,12418,Q,
20100210,UZV,3412,10811,Q,
20100211,UZV,3121,7425,Q,
20100212,UZV,1410,2610,Q,
20100216,UZV,2770,8972,Q,
20100217,UZV,4975,11758,Q,
20100218,UZV,2174,6989,Q,
20100219,UZV,1241,2606,Q,
20100222,UZV,3179,5016,Q,
20100223,UZV,4190,11225,Q,
20100224,UZV,6670,10740,Q,
20100225,UZV,5205,10605,Q,
20100226,UZV,2648,5701,Q,
20100301,UZV,6950,11871,Q,
20100302,UZV,6050,12920,Q,
20100303,UZV,7260,15240,Q,
20100304,UZV,7684,12776,Q,
20100305,UZV,26236,30190,Q,
20100308,UZV,3838,6113,Q,
20100309,UZV,2400,7705,Q,
20100310,UZV,3600,44462,Q,
20100311,UZV,17130,26208,Q,
20100312,UZV,5356,15081,Q,
20100315,UZV,9000,25687,Q,
20100316,UZV,2100,9423,Q,
20100317,UZV,9034,15979,Q,
20100318,UZV,9605,16775,Q,
20100319,UZV,13230,20307,Q,
20100322,UZV,8000,20442,Q,
20100323,UZV,2900,8018,Q,
20100324,UZV,14800,33204,Q,
20100325,UZV,8710,12758,Q,
20100326,UZV,10137,71437,Q,
20100329,UZV,1900,11005,Q,
20100330,UZV,950,7995,Q,
20100331,UZV,910,8680,Q,
20100401,UZV,620,65928,Q,
20100406,UZV,800,4533,Q,
20100407,UZV,1256,4111,Q,
20100408,UZV,900,3125,Q,
20100409,UZV,3856,7555,Q,
20100412,UZV,100,6632,Q,
20100413,UZV,1343,5143,Q,
20100414,UZV,500,184179,Q,
20100415,UZV,1400,4804,Q,
20100416,UZV,2264,4064,Q,
20100419,UZV,1236,9544,Q,
20100420,UZV,416,3036,Q,
20100421,UZV,1936,13417,Q,
20100422,UZV,1460,202970,Q,
20100423,UZV,3485,8232,Q,
20100426,UZV,700,6573,Q,
20100427,UZV,600,3818,Q,
20100428,UZV,4000,9402,Q,
20100429,UZV,4800,9244,Q,
20100430,UZV,2900,7755,Q,
20100504,UZV,1200,4200,Q,
20100510,UZV,2835,5478,Q,
20100511,UZV,300,2607,Q,
20100512,UZV,1800,7036,Q,
20100513,UZV,500,4012,Q,
20100517,UZV,600,2900,Q,
20100518,UZV,1278,6098,Q,
20100519,UZV,3862,11231,Q,
20100520,UZV,2330,5602,Q,
20100521,UZV,3113,4392,Q,
20100524,UZV,846,3326,Q,
20100525,UZV,3331,7770,Q,
20100526,UZV,7948,17585,Q,
20100527,UZV,6019,14217,Q,
20100528,UZV,20275,23219,Q,
20100601,UZV,7390,11390,Q,
20100602,UZV,19759,22709,Q,
20100603,UZV,14396,19633,Q,
20100604,UZV,1926,3626,Q,
20100607,UZV,1400,3725,Q,
20100608,UZV,9700,19400,Q,
20100609,UZV,2058,2608,Q,
20100610,UZV,7796,13675,Q,
20100611,UZV,4018,6168,Q,
20100614,UZV,3929,9712,Q,
20100615,UZV,7443,15311,Q,
20100616,UZV,22799,33105,Q,
20100617,UZV,19887,24187,Q,
20100618,UZV,12250,17085,Q,
20100621,UZV,3000,11106,Q,
20100622,UZV,3365,7585,Q,
20100623,UZV,3350,6465,Q,
20100624,UZV,1741,10792,Q,
20100625,UZV,7126,13081,Q,
20100628,UZV,2619,10915,Q,
20100629,UZV,5102,8473,Q,
20100630,UZV,3320,9181,Q,
20100701,UZV,8300,25735,Q,
20100702,UZV,2699,7999,Q,
20100706,UZV,1800,6572,Q,
20100707,UZV,1719,8208,Q,
20100708,UZV,800,2915,Q,
20100709,UZV,1086,3199,Q,
