,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,VAW,82380,93057,Q,
20100105,VAW,22035,33588,Q,
20100106,VAW,22355,29069,Q,
20100107,VAW,13110,24691,Q,
20100108,VAW,13883,19899,Q,
20100111,VAW,34939,44120,Q,
20100112,VAW,25736,38026,Q,
20100113,VAW,39171,56655,Q,
20100114,VAW,11838,19247,Q,
20100115,VAW,15182,33088,Q,
20100119,VAW,9409,25119,Q,
20100120,VAW,11742,30382,Q,
20100121,VAW,17310,79748,Q,
20100122,VAW,11126,65938,Q,
20100125,VAW,11036,52876,Q,
20100126,VAW,8024,37495,Q,
20100127,VAW,5643,50839,Q,
20100128,VAW,8222,161855,Q,
20100129,VAW,14021,41825,Q,
20100201,VAW,23259,62819,Q,
20100202,VAW,21834,50210,Q,
20100203,VAW,9671,26248,Q,
20100204,VAW,18395,65015,Q,
20100205,VAW,8548,65014,Q,
20100208,VAW,6063,16425,Q,
20100209,VAW,22021,34422,Q,
20100210,VAW,22920,35041,Q,
20100211,VAW,14812,22217,Q,
20100212,VAW,14970,22949,Q,
20100216,VAW,21052,29699,Q,
20100217,VAW,14405,20092,Q,
20100218,VAW,7970,23148,Q,
20100219,VAW,14213,28312,Q,
20100222,VAW,19006,36109,Q,
20100223,VAW,7390,23423,Q,
20100224,VAW,11159,20207,Q,
20100225,VAW,6964,25250,Q,
20100226,VAW,4947,13837,Q,
20100301,VAW,9132,20495,Q,
20100302,VAW,9008,15369,Q,
20100303,VAW,18590,26007,Q,
20100304,VAW,14169,19991,Q,
20100305,VAW,12455,22324,Q,
20100308,VAW,14812,42964,Q,
20100309,VAW,31166,42774,Q,
20100310,VAW,12117,21851,Q,
20100311,VAW,9412,17934,Q,
20100312,VAW,8984,16299,Q,
20100315,VAW,8414,15183,Q,
20100316,VAW,5924,23524,Q,
20100317,VAW,19185,27246,Q,
20100318,VAW,8870,18654,Q,
20100319,VAW,7743,24384,Q,
20100322,VAW,6109,17622,Q,
20100323,VAW,8862,19813,Q,
20100324,VAW,17313,32272,Q,
20100325,VAW,12313,28539,Q,
20100326,VAW,9158,23501,Q,
20100329,VAW,14668,26950,Q,
20100330,VAW,12189,19790,Q,
20100331,VAW,6063,20693,Q,
20100401,VAW,14306,27272,Q,
20100405,VAW,16006,29272,Q,
20100406,VAW,16424,27296,Q,
20100407,VAW,14421,26887,Q,
20100408,VAW,19469,33195,Q,
20100409,VAW,5822,9829,Q,
20100412,VAW,14452,21543,Q,
20100413,VAW,8816,15750,Q,
20100414,VAW,10911,16038,Q,
20100415,VAW,13512,18776,Q,
20100416,VAW,12478,35278,Q,
20100419,VAW,5706,23599,Q,
20100420,VAW,8008,17212,Q,
20100421,VAW,7890,14573,Q,
20100422,VAW,6149,15149,Q,
20100423,VAW,5896,10540,Q,
20100426,VAW,10428,19282,Q,
20100427,VAW,6739,22098,Q,
20100428,VAW,13193,29127,Q,
20100429,VAW,14090,18818,Q,
20100430,VAW,19248,28537,Q,
20100503,VAW,5911,70452,Q,
20100504,VAW,18670,55081,Q,
20100510,VAW,10543,37602,Q,
20100511,VAW,13888,35923,Q,
20100512,VAW,18590,39195,Q,
20100513,VAW,13582,21896,Q,
20100517,VAW,9958,33630,Q,
20100518,VAW,5372,25454,Q,
20100519,VAW,4466,30400,Q,
20100520,VAW,30740,76680,Q,
20100521,VAW,9252,59883,Q,
20100524,VAW,12636,34588,Q,
20100525,VAW,23992,57870,Q,
20100526,VAW,11326,19977,Q,
20100527,VAW,9955,32481,Q,
20100528,VAW,7628,25564,Q,
20100601,VAW,4319,18582,Q,
20100602,VAW,4889,12188,Q,
20100603,VAW,8028,21445,Q,
20100604,VAW,3990,16060,Q,
20100607,VAW,10665,27205,Q,
20100608,VAW,4621,26216,Q,
20100609,VAW,5503,20010,Q,
20100610,VAW,3806,10568,Q,
20100611,VAW,7582,16712,Q,
20100614,VAW,9808,17627,Q,
20100615,VAW,3009,8004,Q,
20100616,VAW,18289,24506,Q,
20100617,VAW,5979,10621,Q,
20100618,VAW,3200,8094,Q,
20100621,VAW,9256,18483,Q,
20100622,VAW,3645,12810,Q,
20100623,VAW,1738,18078,Q,
20100624,VAW,3761,12022,Q,
20100625,VAW,727,9325,Q,
20100628,VAW,1720,12021,Q,
20100629,VAW,7456,23130,Q,
20100630,VAW,5228,16850,Q,
20100701,VAW,7376,43177,Q,
20100702,VAW,1228,12606,Q,
20100706,VAW,4322,22407,Q,
20100707,VAW,979,11541,Q,
20100708,VAW,3756,11981,Q,
20100709,VAW,5223,14201,Q,
20110804,VAW,2340,60122,,0.0
