,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100105,VGLT,400,400,Q,
20100115,VGLT,140,140,Q,
20100119,VGLT,600,600,Q,
20100121,VGLT,200,200,Q,
20100122,VGLT,1889,1889,Q,
20100125,VGLT,140,140,Q,
20100126,VGLT,2040,2040,Q,
20100127,VGLT,1249,1449,Q,
20100128,VGLT,400,500,Q,
20100129,VGLT,3210,3210,Q,
20100202,VGLT,100,100,Q,
20100203,VGLT,140,540,Q,
20100205,VGLT,2000,2100,Q,
20100208,VGLT,1350,1350,Q,
20100209,VGLT,212,212,Q,
20100210,VGLT,2012,2381,Q,
20100216,VGLT,400,800,Q,
20100219,VGLT,1300,1900,Q,
20100222,VGLT,100,100,Q,
20100223,VGLT,1275,1875,Q,
20100224,VGLT,595,995,Q,
20100308,VGLT,200,1300,Q,
20100310,VGLT,1258,1728,Q,
20100311,VGLT,13715,13815,Q,
20100312,VGLT,585,4185,Q,
20100316,VGLT,426,1841,Q,
20100322,VGLT,5154,5354,Q,
20100323,VGLT,1632,3307,Q,
20100324,VGLT,1732,1832,Q,
20100325,VGLT,3199,5024,Q,
20100326,VGLT,1155,1679,Q,
20100329,VGLT,700,1450,Q,
20100331,VGLT,200,500,Q,
20100401,VGLT,1300,3269,Q,
20100405,VGLT,300,7150,Q,
20100406,VGLT,100,1800,Q,
20100407,VGLT,1350,2180,Q,
20100413,VGLT,250,870,Q,
20100416,VGLT,300,1200,Q,
20100422,VGLT,1980,4546,Q,
20100427,VGLT,454,2386,Q,
20100430,VGLT,256,528,Q,
20100510,VGLT,2800,5700,Q,
20100511,VGLT,170,1170,Q,
20100512,VGLT,450,450,Q,
20100513,VGLT,100,400,Q,
20100517,VGLT,2731,4101,Q,
20100518,VGLT,1143,1143,Q,
20100519,VGLT,100,928,Q,
20100520,VGLT,6700,14604,Q,
20100521,VGLT,19171,27271,Q,
20100524,VGLT,1475,3356,Q,
20100525,VGLT,7130,11130,Q,
20100526,VGLT,3420,6950,Q,
20100527,VGLT,740,5340,Q,
20100601,VGLT,830,2029,Q,
20100602,VGLT,2000,2000,Q,
20100603,VGLT,900,3850,Q,
20100604,VGLT,500,1200,Q,
20100607,VGLT,800,1238,Q,
20100609,VGLT,104,1442,Q,
20100611,VGLT,1650,1870,Q,
20100614,VGLT,346,1861,Q,
20100615,VGLT,970,1864,Q,
20100617,VGLT,1973,5360,Q,
20100618,VGLT,1340,2647,Q,
20100621,VGLT,3056,6033,Q,
20100622,VGLT,100,330,Q,
20100624,VGLT,700,700,Q,
20100625,VGLT,1024,2578,Q,
20100628,VGLT,1175,1809,Q,
20100629,VGLT,1188,4421,Q,
20100630,VGLT,1925,4104,Q,
20100701,VGLT,1510,4393,Q,
20100702,VGLT,589,4444,Q,
20100706,VGLT,5384,10091,Q,
20100707,VGLT,3893,7266,Q,
20100708,VGLT,4591,7993,Q,
20100709,VGLT,708,1934,Q,
20110804,VGLT,5138,5638,,0.0
