,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,VRAZ,4170,11433,Q,
20100105,VRAZ,2000,9300,Q,
20100107,VRAZ,10601,51498,Q,
20100108,VRAZ,5657,51837,Q,
20100111,VRAZ,700,2186,Q,
20100112,VRAZ,1200,1415,Q,
20100113,VRAZ,13970,14470,Q,
20100114,VRAZ,700,3600,Q,
20100115,VRAZ,700,900,Q,
20100119,VRAZ,4400,11198,Q,
20100120,VRAZ,2200,3914,Q,
20100121,VRAZ,886,1386,Q,
20100122,VRAZ,1100,9900,Q,
20100125,VRAZ,700,7038,Q,
20100126,VRAZ,934,5256,Q,
20100127,VRAZ,100,500,Q,
20100129,VRAZ,200,3900,Q,
20100201,VRAZ,18100,133961,Q,
20100202,VRAZ,3200,5553,Q,
20100203,VRAZ,1100,15590,Q,
20100204,VRAZ,5050,14050,Q,
20100205,VRAZ,1300,1830,Q,
20100208,VRAZ,3401,9851,Q,
20100209,VRAZ,1000,9500,Q,
20100210,VRAZ,1200,4311,Q,
20100211,VRAZ,4100,7130,Q,
20100212,VRAZ,800,7551,Q,
20100216,VRAZ,5300,10470,Q,
20100217,VRAZ,2557,3157,Q,
20100218,VRAZ,2348,4972,Q,
20100219,VRAZ,762,10423,Q,
20100222,VRAZ,800,1000,Q,
20100225,VRAZ,1450,7569,Q,
20100226,VRAZ,2900,3000,Q,
20100301,VRAZ,760,14060,Q,
20100304,VRAZ,532,6582,Q,
20100305,VRAZ,100,860,Q,
20100309,VRAZ,100,5999,Q,
20100310,VRAZ,200,500,Q,
20100311,VRAZ,10000,11075,Q,
20100312,VRAZ,53992,117569,Q,
20100315,VRAZ,10606,14884,Q,
20100316,VRAZ,3200,8200,Q,
20100317,VRAZ,126703,151206,Q,
20100318,VRAZ,2100,7700,Q,
20100319,VRAZ,5400,9650,Q,
20100322,VRAZ,6400,6866,Q,
20100323,VRAZ,2900,3500,Q,
20100324,VRAZ,63936,85326,Q,
20100325,VRAZ,10613,51874,Q,
20100326,VRAZ,2400,10200,Q,
20100330,VRAZ,3540,22978,Q,
20100331,VRAZ,10036,17396,Q,
20100401,VRAZ,800,2700,Q,
20100405,VRAZ,1625,2225,Q,
20100406,VRAZ,4694,9274,Q,
20100407,VRAZ,3900,3900,Q,
20100408,VRAZ,2100,2300,Q,
20100409,VRAZ,400,5296,Q,
20100412,VRAZ,2600,4425,Q,
20100413,VRAZ,19000,25942,Q,
20100414,VRAZ,68508,119387,Q,
20100415,VRAZ,17151,94883,Q,
20100416,VRAZ,2500,7250,Q,
20100419,VRAZ,4900,6442,Q,
20100420,VRAZ,300,1422,Q,
20100421,VRAZ,900,3484,Q,
20100422,VRAZ,3373,13263,Q,
20100423,VRAZ,200,6950,Q,
20100426,VRAZ,82588,192758,Q,
20100427,VRAZ,4210,40802,Q,
20100428,VRAZ,30243,36293,Q,
20100429,VRAZ,23083,87483,Q,
20100430,VRAZ,35800,74603,Q,
20100503,VRAZ,44300,65198,Q,
20100504,VRAZ,7826,46968,Q,
20100510,VRAZ,14200,28198,Q,
20100511,VRAZ,16100,23100,Q,
20100512,VRAZ,11575,70078,Q,
20100513,VRAZ,99331,353443,Q,
20100517,VRAZ,9300,41812,Q,
20100518,VRAZ,21144,46745,Q,
20100519,VRAZ,3088,21488,Q,
20100520,VRAZ,1200,13800,Q,
20100521,VRAZ,67100,74973,Q,
20100524,VRAZ,15200,44357,Q,
20100525,VRAZ,10400,28333,Q,
20100526,VRAZ,850,11150,Q,
20100527,VRAZ,5300,20816,Q,
20100528,VRAZ,2000,12270,Q,
20100601,VRAZ,7900,20670,Q,
20100602,VRAZ,4200,14700,Q,
20100607,VRAZ,1566,4766,Q,
20100611,VRAZ,1700,17750,Q,
20100615,VRAZ,200,10347,Q,
20100616,VRAZ,700,3700,Q,
20100621,VRAZ,700,4321,Q,
20100622,VRAZ,5000,27234,Q,
20100623,VRAZ,600,2963,Q,
20100624,VRAZ,3421,7021,Q,
20100625,VRAZ,1694,2894,Q,
20100628,VRAZ,509,4588,Q,
20100630,VRAZ,900,4091,Q,
20100701,VRAZ,1700,5400,Q,
20100702,VRAZ,2990,3890,Q,
20100706,VRAZ,4200,8565,Q,
20100708,VRAZ,200,1700,Q,
20100709,VRAZ,2000,2605,Q,
