,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,VRTX,331901,496464,Q,
20100105,VRTX,303825,644338,Q,
20100106,VRTX,171745,591313,Q,
20100107,VRTX,107194,334993,Q,
20100108,VRTX,176923,1313867,Q,
20100111,VRTX,218820,455887,Q,
20100112,VRTX,248564,528977,Q,
20100113,VRTX,180891,301051,Q,
20100114,VRTX,179077,396832,Q,
20100115,VRTX,225825,511321,Q,
20100119,VRTX,215328,500830,Q,
20100120,VRTX,194811,410946,Q,
20100121,VRTX,235109,656597,Q,
20100122,VRTX,143654,291673,Q,
20100125,VRTX,132761,252518,Q,
20100126,VRTX,179032,397618,Q,
20100127,VRTX,146397,536371,Q,
20100128,VRTX,148788,356745,Q,
20100129,VRTX,140540,257576,Q,
20100201,VRTX,350059,663252,Q,
20100202,VRTX,154846,396881,Q,
20100203,VRTX,121292,255022,Q,
20100204,VRTX,168135,464635,Q,
20100205,VRTX,573852,1033584,Q,
20100208,VRTX,104922,320829,Q,
20100209,VRTX,107837,196155,Q,
20100210,VRTX,39642,112099,Q,
20100211,VRTX,217503,464022,Q,
20100212,VRTX,99401,191289,Q,
20100216,VRTX,88549,178811,Q,
20100217,VRTX,210663,336272,Q,
20100218,VRTX,151553,245701,Q,
20100219,VRTX,96432,182695,Q,
20100222,VRTX,97946,209256,Q,
20100223,VRTX,145695,309878,Q,
20100224,VRTX,95849,339276,Q,
20100225,VRTX,90232,190963,Q,
20100226,VRTX,97159,197407,Q,
20100301,VRTX,119019,267825,Q,
20100302,VRTX,90402,265084,Q,
20100303,VRTX,415442,665954,Q,
20100304,VRTX,126317,206503,Q,
20100305,VRTX,143147,255525,Q,
20100308,VRTX,64369,173229,Q,
20100309,VRTX,184955,381806,Q,
20100310,VRTX,455525,1039877,Q,
20100311,VRTX,144179,245929,Q,
20100312,VRTX,123101,252575,Q,
20100315,VRTX,180263,393908,Q,
20100316,VRTX,76346,405019,Q,
20100317,VRTX,142917,481535,Q,
20100318,VRTX,92618,551954,Q,
20100319,VRTX,182973,645470,Q,
20100322,VRTX,66807,246285,Q,
20100323,VRTX,102891,329000,Q,
20100324,VRTX,111463,450956,Q,
20100325,VRTX,83429,255309,Q,
20100326,VRTX,85951,298879,Q,
20100329,VRTX,165233,418150,Q,
20100330,VRTX,72552,324454,Q,
20100331,VRTX,231756,521880,Q,
20100401,VRTX,287489,659133,Q,
20100405,VRTX,55479,343304,Q,
20100406,VRTX,92121,984190,Q,
20100407,VRTX,339428,685211,Q,
20100408,VRTX,296660,609595,Q,
20100409,VRTX,112118,586404,Q,
20100412,VRTX,179286,819668,Q,
20100413,VRTX,246723,517248,Q,
20100414,VRTX,98577,345529,Q,
20100415,VRTX,109843,311326,Q,
20100416,VRTX,178477,611093,Q,
20100419,VRTX,292821,685712,Q,
20100420,VRTX,170833,502206,Q,
20100421,VRTX,275385,615909,Q,
20100422,VRTX,322964,807680,Q,
20100423,VRTX,180353,489090,Q,
20100426,VRTX,113741,263617,Q,
20100427,VRTX,249842,681094,Q,
20100428,VRTX,116774,268916,Q,
20100429,VRTX,144590,235103,Q,
20100430,VRTX,161868,297036,Q,
20100503,VRTX,83223,370686,Q,
20100504,VRTX,198823,674000,Q,
20100510,VRTX,344942,611527,Q,
20100511,VRTX,267551,445418,Q,
20100512,VRTX,220648,421299,Q,
20100513,VRTX,99520,445057,Q,
20100517,VRTX,93191,295441,Q,
20100518,VRTX,105103,251691,Q,
20100519,VRTX,171264,642324,Q,
20100520,VRTX,264789,726743,Q,
20100521,VRTX,399968,1951857,Q,
20100524,VRTX,130018,959042,Q,
20100525,VRTX,138563,769885,Q,
20100526,VRTX,1329605,2820312,Q,
20100527,VRTX,736629,1778829,Q,
20100528,VRTX,224029,503282,Q,
20100601,VRTX,270035,535522,Q,
20100602,VRTX,312121,560328,Q,
20100603,VRTX,302490,519144,Q,
20100604,VRTX,523889,836632,Q,
20100607,VRTX,535697,711896,Q,
20100608,VRTX,188026,649495,Q,
20100609,VRTX,377568,1067328,Q,
20100610,VRTX,216948,532357,Q,
20100611,VRTX,407491,623242,Q,
20100614,VRTX,153232,312607,Q,
20100615,VRTX,166732,351772,Q,
20100616,VRTX,247529,804150,Q,
20100617,VRTX,337896,507996,Q,
20100618,VRTX,298981,612157,Q,
20100621,VRTX,225349,397372,Q,
20100622,VRTX,169120,785474,Q,
20100623,VRTX,197644,452694,Q,
20100624,VRTX,220324,558678,Q,
20100625,VRTX,191601,468247,Q,
20100628,VRTX,89654,334192,Q,
20100629,VRTX,120586,371747,Q,
20100630,VRTX,207769,413903,Q,
20100701,VRTX,334023,604826,Q,
20100702,VRTX,123663,292926,Q,
20100706,VRTX,274873,462769,Q,
20100707,VRTX,236211,413786,Q,
20100708,VRTX,202695,368504,Q,
20100709,VRTX,134548,201115,Q,
20110804,VRTX,252786,598635,,0.0
