,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,VTG,86532,193683,Q,
20100105,VTG,143488,372263,Q,
20100106,VTG,174136,347079,Q,
20100107,VTG,104671,328218,Q,
20100108,VTG,102952,489111,Q,
20100111,VTG,135592,357145,Q,
20100112,VTG,254716,769738,Q,
20100113,VTG,444879,1263462,Q,
20100114,VTG,250727,1938068,Q,
20100115,VTG,957585,2396625,Q,
20100119,VTG,351259,864131,Q,
20100120,VTG,176428,462586,Q,
20100121,VTG,235832,529756,Q,
20100122,VTG,1107452,3420356,Q,
20100125,VTG,448173,969123,Q,
20100126,VTG,409648,652457,Q,
20100127,VTG,124469,542666,Q,
20100128,VTG,151469,308282,Q,
20100129,VTG,186185,552589,Q,
20100201,VTG,95134,494318,Q,
20100202,VTG,62397,224525,Q,
20100203,VTG,30464,216816,Q,
20100204,VTG,278922,702990,Q,
20100205,VTG,192849,659801,Q,
20100208,VTG,25607,126251,Q,
20100209,VTG,225229,493162,Q,
20100210,VTG,155453,237672,Q,
20100211,VTG,101534,231982,Q,
20100212,VTG,47787,156781,Q,
20100216,VTG,72189,315406,Q,
20100217,VTG,369906,2799108,Q,
20100218,VTG,460929,1315802,Q,
20100219,VTG,143439,1117736,Q,
20100222,VTG,97165,358072,Q,
20100223,VTG,96805,519955,Q,
20100224,VTG,80727,195983,Q,
20100225,VTG,87520,207830,Q,
20100226,VTG,68308,200647,Q,
20100301,VTG,90465,182603,Q,
20100302,VTG,55685,100511,Q,
20100303,VTG,111878,232174,Q,
20100304,VTG,52671,132025,Q,
20100305,VTG,96738,656483,Q,
20100308,VTG,287953,571530,Q,
20100309,VTG,172496,443061,Q,
20100310,VTG,152650,476870,Q,
20100311,VTG,60443,129209,Q,
20100312,VTG,118901,205212,Q,
20100315,VTG,342445,583651,Q,
20100316,VTG,643418,1040134,Q,
20100317,VTG,477097,939524,Q,
20100318,VTG,231199,524310,Q,
20100319,VTG,175722,426333,Q,
20100322,VTG,147063,330673,Q,
20100323,VTG,130538,246551,Q,
20100324,VTG,90345,194323,Q,
20100325,VTG,169303,444771,Q,
20100326,VTG,227732,370202,Q,
20100329,VTG,282971,390276,Q,
20100330,VTG,197973,525107,Q,
20100331,VTG,299430,573390,Q,
20100401,VTG,166140,488732,Q,
20100405,VTG,282071,475025,Q,
20100406,VTG,355126,478081,Q,
20100407,VTG,239883,432568,Q,
20100408,VTG,255965,751246,Q,
20100409,VTG,206186,816541,Q,
20100412,VTG,224249,517879,Q,
20100413,VTG,54706,247822,Q,
20100414,VTG,148262,574150,Q,
20100415,VTG,173435,464016,Q,
20100416,VTG,122388,657016,Q,
20100419,VTG,133711,737536,Q,
20100420,VTG,315896,519850,Q,
20100421,VTG,360061,874666,Q,
20100422,VTG,842091,1771253,Q,
20100423,VTG,270857,1007911,Q,
20100426,VTG,158503,568155,Q,
20100427,VTG,753714,1350515,Q,
20100428,VTG,124366,561741,Q,
20100429,VTG,223431,626770,Q,
20100430,VTG,241457,983925,Q,
20100503,VTG,275907,1045772,Q,
20100504,VTG,226987,598483,Q,
20100510,VTG,230248,809939,Q,
20100511,VTG,185566,505782,Q,
20100512,VTG,237066,409211,Q,
20100513,VTG,417447,572836,Q,
20100517,VTG,183182,406722,Q,
20100518,VTG,26399,108226,Q,
20100519,VTG,67368,643465,Q,
20100520,VTG,169980,677810,Q,
20100521,VTG,51974,216501,Q,
20100524,VTG,59390,345478,Q,
20100525,VTG,61187,343647,Q,
20100526,VTG,77588,258843,Q,
20100527,VTG,210657,768040,Q,
20100528,VTG,34111,183728,Q,
20100601,VTG,71380,181922,Q,
20100602,VTG,26094,150608,Q,
20100603,VTG,13709,130865,Q,
20100604,VTG,82814,230050,Q,
20100607,VTG,28677,238301,Q,
20100608,VTG,35877,156229,Q,
20100609,VTG,84126,207107,Q,
20100610,VTG,130196,680523,Q,
20100611,VTG,15967,76023,Q,
20100614,VTG,35427,114427,Q,
20100615,VTG,53662,155613,Q,
20100616,VTG,43716,177599,Q,
20100617,VTG,56588,133200,Q,
20100618,VTG,72820,233417,Q,
20100621,VTG,90331,179206,Q,
20100622,VTG,45965,100891,Q,
20100623,VTG,31038,93600,Q,
20100624,VTG,47376,136265,Q,
20100625,VTG,206504,308380,Q,
20100628,VTG,80249,175464,Q,
20100629,VTG,104639,248528,Q,
20100630,VTG,127165,311552,Q,
20100701,VTG,144262,861204,Q,
20100702,VTG,48910,118001,Q,
20100706,VTG,87643,245213,Q,
20100707,VTG,406751,2235421,Q,
20100708,VTG,239059,711899,Q,
20100709,VTG,287236,709374,Q,
20110804,VTG,344310,696421,,125566.0
