,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,WBK,2000,4383,Q,
20100105,WBK,100,1158,Q,
20100106,WBK,1449,1649,Q,
20100107,WBK,1726,1926,Q,
20100108,WBK,1800,6464,Q,
20100112,WBK,330,1255,Q,
20100114,WBK,532,2682,Q,
20100115,WBK,1000,1365,Q,
20100119,WBK,1485,3266,Q,
20100120,WBK,2797,4363,Q,
20100121,WBK,1851,4368,Q,
20100122,WBK,4152,5581,Q,
20100125,WBK,2238,3645,Q,
20100126,WBK,1100,2832,Q,
20100127,WBK,475,3855,Q,
20100128,WBK,3985,4735,Q,
20100129,WBK,500,3501,Q,
20100201,WBK,200,2300,Q,
20100202,WBK,1074,3899,Q,
20100203,WBK,910,3862,Q,
20100204,WBK,3521,7532,Q,
20100205,WBK,2500,5206,Q,
20100208,WBK,2177,4675,Q,
20100209,WBK,2200,2887,Q,
20100210,WBK,1062,2341,Q,
20100211,WBK,775,1860,Q,
20100212,WBK,461,2455,Q,
20100216,WBK,1100,2864,Q,
20100217,WBK,400,1022,Q,
20100218,WBK,300,1570,Q,
20100219,WBK,1354,2517,Q,
20100222,WBK,800,2894,Q,
20100223,WBK,275,1826,Q,
20100224,WBK,500,2642,Q,
20100225,WBK,210,664,Q,
20100226,WBK,1154,1888,Q,
20100301,WBK,4235,8604,Q,
20100302,WBK,611,4465,Q,
20100303,WBK,300,2414,Q,
20100304,WBK,1413,3330,Q,
20100305,WBK,296,1396,Q,
20100308,WBK,100,1103,Q,
20100309,WBK,200,985,Q,
20100310,WBK,400,5300,Q,
20100311,WBK,372,1412,Q,
20100312,WBK,200,2343,Q,
20100316,WBK,400,2752,Q,
20100317,WBK,500,1633,Q,
20100318,WBK,415,2723,Q,
20100319,WBK,985,6937,Q,
20100322,WBK,155,575,Q,
20100323,WBK,5012,6903,Q,
20100324,WBK,2104,3254,Q,
20100325,WBK,2690,3632,Q,
20100326,WBK,484,3145,Q,
20100329,WBK,1072,2212,Q,
20100330,WBK,758,1627,Q,
20100331,WBK,345,745,Q,
20100401,WBK,3562,4662,Q,
20100405,WBK,2167,3387,Q,
20100406,WBK,500,1500,Q,
20100407,WBK,1170,5778,Q,
20100409,WBK,200,1243,Q,
20100412,WBK,200,748,Q,
20100413,WBK,600,2441,Q,
20100414,WBK,700,3623,Q,
20100415,WBK,650,3625,Q,
20100416,WBK,2300,7042,Q,
20100419,WBK,1815,3145,Q,
20100421,WBK,195,530,Q,
20100422,WBK,785,2403,Q,
20100423,WBK,471,2738,Q,
20100426,WBK,100,2062,Q,
20100427,WBK,700,6467,Q,
20100428,WBK,100,1027,Q,
20100430,WBK,100,758,Q,
20100503,WBK,500,1500,Q,
20100504,WBK,256,2092,Q,
20100510,WBK,3247,4206,Q,
20100511,WBK,1575,3207,Q,
20100512,WBK,1003,2964,Q,
20100513,WBK,1310,3688,Q,
20100517,WBK,885,3735,Q,
20100518,WBK,1565,6234,Q,
20100519,WBK,1268,4241,Q,
20100520,WBK,2300,9368,Q,
20100521,WBK,2464,4362,Q,
20100524,WBK,1483,3653,Q,
20100525,WBK,2222,22548,Q,
20100526,WBK,1315,4669,Q,
20100527,WBK,5914,7749,Q,
20100528,WBK,1375,2364,Q,
20100601,WBK,8659,14363,Q,
20100602,WBK,2286,3935,Q,
20100603,WBK,2748,4439,Q,
20100604,WBK,3688,5540,Q,
20100607,WBK,910,2090,Q,
20100608,WBK,3553,5636,Q,
20100609,WBK,4073,5331,Q,
20100610,WBK,3085,4426,Q,
20100611,WBK,900,1600,Q,
20100614,WBK,850,2437,Q,
20100615,WBK,417,1357,Q,
20100616,WBK,1400,3112,Q,
20100617,WBK,7350,8053,Q,
20100618,WBK,200,2533,Q,
20100621,WBK,1440,2492,Q,
20100622,WBK,230,1125,Q,
20100623,WBK,2059,4326,Q,
20100624,WBK,100,5942,Q,
20100625,WBK,4800,16563,Q,
20100628,WBK,500,3065,Q,
20100629,WBK,1700,4836,Q,
20100630,WBK,4484,11904,Q,
20100701,WBK,1000,4022,Q,
20100702,WBK,100,2346,Q,
20100706,WBK,600,3166,Q,
20100708,WBK,600,3225,Q,
20100709,WBK,210,1794,Q,
20110804,WBK,13142,24787,,0.0
