,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,WEA,2538,11168,Q,
20100105,WEA,4232,16724,Q,
20100106,WEA,3490,7690,Q,
20100107,WEA,3190,9136,Q,
20100108,WEA,1007,2937,Q,
20100111,WEA,2786,7296,Q,
20100112,WEA,5705,10892,Q,
20100113,WEA,2515,7520,Q,
20100114,WEA,2163,6984,Q,
20100115,WEA,200,8071,Q,
20100119,WEA,1842,4262,Q,
20100120,WEA,5522,13137,Q,
20100121,WEA,4200,11930,Q,
20100122,WEA,3423,6743,Q,
20100125,WEA,3050,9591,Q,
20100126,WEA,2150,15447,Q,
20100127,WEA,4995,7357,Q,
20100128,WEA,2150,22359,Q,
20100129,WEA,1142,9574,Q,
20100201,WEA,3442,15156,Q,
20100202,WEA,10183,27443,Q,
20100203,WEA,700,12560,Q,
20100204,WEA,955,19637,Q,
20100205,WEA,4460,28874,Q,
20100208,WEA,2926,15675,Q,
20100209,WEA,8440,24364,Q,
20100210,WEA,4700,27588,Q,
20100211,WEA,8579,13197,Q,
20100212,WEA,13450,39849,Q,
20100216,WEA,15425,43641,Q,
20100217,WEA,1260,21004,Q,
20100218,WEA,3890,12799,Q,
20100219,WEA,2615,11927,Q,
20100222,WEA,2200,6869,Q,
20100223,WEA,5039,9286,Q,
20100224,WEA,3097,27931,Q,
20100225,WEA,6075,21516,Q,
20100226,WEA,8999,12225,Q,
20100301,WEA,16249,60362,Q,
20100302,WEA,4700,17034,Q,
20100303,WEA,8151,25879,Q,
20100304,WEA,1718,29917,Q,
20100305,WEA,8832,28294,Q,
20100308,WEA,5845,18649,Q,
20100309,WEA,3215,8949,Q,
20100310,WEA,2583,9783,Q,
20100311,WEA,2200,12380,Q,
20100312,WEA,7550,19672,Q,
20100315,WEA,10040,11840,Q,
20100316,WEA,7804,9408,Q,
20100317,WEA,3302,17239,Q,
20100318,WEA,2700,14556,Q,
20100319,WEA,4049,14234,Q,
20100322,WEA,10998,30988,Q,
20100323,WEA,8300,17279,Q,
20100324,WEA,3300,13734,Q,
20100325,WEA,3755,14412,Q,
20100326,WEA,5838,17901,Q,
20100329,WEA,8922,28807,Q,
20100330,WEA,2750,14293,Q,
20100331,WEA,6733,22103,Q,
20100401,WEA,3436,8178,Q,
20100405,WEA,2811,4806,Q,
20100406,WEA,3242,16616,Q,
20100407,WEA,4886,10580,Q,
20100408,WEA,2500,7003,Q,
20100409,WEA,5445,12930,Q,
20100412,WEA,6889,16479,Q,
20100413,WEA,3968,7349,Q,
20100414,WEA,3006,11925,Q,
20100415,WEA,4980,19015,Q,
20100416,WEA,7922,14867,Q,
20100419,WEA,6040,17433,Q,
20100420,WEA,7850,23369,Q,
20100421,WEA,1729,13022,Q,
20100422,WEA,1200,13624,Q,
20100423,WEA,1310,12958,Q,
20100426,WEA,1200,21875,Q,
20100427,WEA,3958,16922,Q,
20100428,WEA,4500,21831,Q,
20100429,WEA,2385,9135,Q,
20100430,WEA,5840,13806,Q,
20100503,WEA,3743,13117,Q,
20100504,WEA,6349,12204,Q,
20100510,WEA,7595,16957,Q,
20100511,WEA,6455,14528,Q,
20100512,WEA,6078,7703,Q,
20100513,WEA,6675,15873,Q,
20100517,WEA,8221,11720,Q,
20100518,WEA,6632,11628,Q,
20100519,WEA,4795,12635,Q,
20100520,WEA,11838,31843,Q,
20100521,WEA,10225,45872,Q,
20100524,WEA,1850,7386,Q,
20100525,WEA,5404,15227,Q,
20100526,WEA,2845,13278,Q,
20100527,WEA,3274,12371,Q,
20100528,WEA,4950,18558,Q,
20100601,WEA,6669,21278,Q,
20100602,WEA,7330,8303,Q,
20100603,WEA,5248,8890,Q,
20100604,WEA,2822,7255,Q,
20100607,WEA,11312,14237,Q,
20100608,WEA,2713,7081,Q,
20100609,WEA,3451,7248,Q,
20100610,WEA,5778,9563,Q,
20100611,WEA,2937,3387,Q,
20100614,WEA,2312,4555,Q,
20100615,WEA,4129,5982,Q,
20100616,WEA,8000,16242,Q,
20100617,WEA,3500,13716,Q,
20100618,WEA,8987,13982,Q,
20100621,WEA,3190,8125,Q,
20100622,WEA,7189,13439,Q,
20100623,WEA,11270,23816,Q,
20100624,WEA,5441,10741,Q,
20100625,WEA,9360,14663,Q,
20100628,WEA,3250,9842,Q,
20100629,WEA,5689,17740,Q,
20100630,WEA,5871,23269,Q,
20100701,WEA,11215,20720,Q,
20100702,WEA,4108,5988,Q,
20100706,WEA,4350,10166,Q,
20100707,WEA,7614,13203,Q,
20100708,WEA,1960,8329,Q,
20100709,WEA,28789,37440,Q,
20110804,WEA,16245,31821,,0.0
