,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,WEDC,7100,23104,Q,
20100105,WEDC,266000,283514,Q,
20100106,WEDC,2300,16078,Q,
20100107,WEDC,16945,37782,Q,
20100108,WEDC,11970,32940,Q,
20100111,WEDC,48620,81340,Q,
20100112,WEDC,18688,33494,Q,
20100113,WEDC,58178,70321,Q,
20100114,WEDC,27695,60660,Q,
20100115,WEDC,17288,31083,Q,
20100119,WEDC,30526,71061,Q,
20100120,WEDC,13123,56475,Q,
20100121,WEDC,7982,30732,Q,
20100122,WEDC,12300,51653,Q,
20100125,WEDC,13121,41971,Q,
20100126,WEDC,12344,27370,Q,
20100127,WEDC,2300,9091,Q,
20100128,WEDC,9751,18565,Q,
20100129,WEDC,19512,34590,Q,
20100201,WEDC,47975,146179,Q,
20100202,WEDC,94563,133785,Q,
20100203,WEDC,25887,47482,Q,
20100204,WEDC,12344,24838,Q,
20100205,WEDC,25336,81173,Q,
20100208,WEDC,13750,39903,Q,
20100209,WEDC,10064,35386,Q,
20100210,WEDC,11854,35635,Q,
20100211,WEDC,14569,32657,Q,
20100212,WEDC,8346,30882,Q,
20100216,WEDC,18080,31829,Q,
20100217,WEDC,1720,10225,Q,
20100218,WEDC,13680,101258,Q,
20100219,WEDC,9975,23895,Q,
20100222,WEDC,5000,19819,Q,
20100223,WEDC,4057,25432,Q,
20100224,WEDC,7600,26602,Q,
20100225,WEDC,2500,17755,Q,
20100226,WEDC,2700,13930,Q,
20100301,WEDC,2200,11333,Q,
20100302,WEDC,5581,23129,Q,
20100303,WEDC,7765,16788,Q,
20100304,WEDC,2850,6604,Q,
20100305,WEDC,5577,15789,Q,
20100308,WEDC,5000,12604,Q,
20100309,WEDC,600,9228,Q,
20100310,WEDC,1000,18786,Q,
20100311,WEDC,9278,22109,Q,
20100312,WEDC,2100,11100,Q,
20100315,WEDC,2045,20214,Q,
20100316,WEDC,3494,11956,Q,
20100317,WEDC,500,253537,Q,
20100318,WEDC,1700,6060,Q,
20100319,WEDC,800,14250,Q,
20100322,WEDC,5600,14921,Q,
20100323,WEDC,3402,10127,Q,
20100324,WEDC,3700,6977,Q,
20100325,WEDC,9321,38038,Q,
20100326,WEDC,5500,19223,Q,
20100329,WEDC,3053,4653,Q,
20100330,WEDC,1273143,3114972,Q,
20100331,WEDC,173938,490036,Q,
20100401,WEDC,90299,215417,Q,
20100405,WEDC,117506,219636,Q,
20100406,WEDC,13969,81188,Q,
20100407,WEDC,7480,50761,Q,
20100408,WEDC,4635,49810,Q,
20100409,WEDC,7310,32846,Q,
20100412,WEDC,8000,41459,Q,
20100413,WEDC,17681,53151,Q,
20100414,WEDC,9245,68657,Q,
20100415,WEDC,66296,202985,Q,
20100416,WEDC,55500,88416,Q,
20100419,WEDC,35289,118467,Q,
20100420,WEDC,5932,48384,Q,
20100421,WEDC,71718,182636,Q,
20100422,WEDC,10435,29491,Q,
20100423,WEDC,9537,38577,Q,
20100426,WEDC,9423,41428,Q,
20100427,WEDC,9800,36980,Q,
20100428,WEDC,13300,25900,Q,
20100429,WEDC,31386,61727,Q,
