,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100105,WHG,300,1420,Q,
20100106,WHG,1100,2100,Q,
20100107,WHG,279,1279,Q,
20100108,WHG,100,2320,Q,
20100111,WHG,1300,3200,Q,
20100112,WHG,100,300,Q,
20100113,WHG,100,400,Q,
20100114,WHG,1700,4000,Q,
20100115,WHG,1400,3901,Q,
20100119,WHG,300,1900,Q,
20100120,WHG,600,1300,Q,
20100121,WHG,100,1900,Q,
20100122,WHG,900,1200,Q,
20100125,WHG,700,2325,Q,
20100126,WHG,2498,3798,Q,
20100127,WHG,1500,3425,Q,
20100128,WHG,786,1996,Q,
20100129,WHG,481,1681,Q,
20100201,WHG,1100,1100,Q,
20100202,WHG,100,200,Q,
20100203,WHG,1000,1000,Q,
20100204,WHG,200,730,Q,
20100205,WHG,1100,2786,Q,
20100208,WHG,1300,2800,Q,
20100209,WHG,100,355,Q,
20100210,WHG,800,1100,Q,
20100211,WHG,300,1445,Q,
20100212,WHG,300,700,Q,
20100216,WHG,1400,1400,Q,
20100217,WHG,204,504,Q,
20100218,WHG,250,738,Q,
20100219,WHG,1000,1600,Q,
20100223,WHG,1000,2300,Q,
20100224,WHG,100,300,Q,
20100225,WHG,100,1250,Q,
20100301,WHG,100,300,Q,
20100303,WHG,2500,5700,Q,
20100304,WHG,200,2302,Q,
20100305,WHG,6400,10638,Q,
20100308,WHG,100,506,Q,
20100309,WHG,700,3000,Q,
20100310,WHG,100,1081,Q,
20100311,WHG,1300,2737,Q,
20100312,WHG,300,800,Q,
20100319,WHG,300,523,Q,
20100322,WHG,3816,5116,Q,
20100324,WHG,200,500,Q,
20100325,WHG,300,932,Q,
20100326,WHG,1000,1200,Q,
20100330,WHG,200,600,Q,
20100401,WHG,100,200,Q,
20100407,WHG,1313,2513,Q,
20100412,WHG,650,750,Q,
20100414,WHG,127,127,Q,
20100416,WHG,100,100,Q,
20100420,WHG,1571,3471,Q,
20100421,WHG,1172,1472,Q,
20100422,WHG,1009,1159,Q,
20100423,WHG,1163,1863,Q,
20100426,WHG,400,7108,Q,
20100428,WHG,700,700,Q,
20100429,WHG,225,225,Q,
20100430,WHG,500,4399,Q,
20100504,WHG,1020,3027,Q,
20100511,WHG,150,1150,Q,
20100512,WHG,100,700,Q,
20100519,WHG,100,100,Q,
20100520,WHG,100,700,Q,
20100521,WHG,700,2142,Q,
20100524,WHG,200,651,Q,
20100526,WHG,900,1400,Q,
20100527,WHG,300,1082,Q,
20100601,WHG,100,400,Q,
20100602,WHG,100,3350,Q,
20100604,WHG,400,4985,Q,
20100607,WHG,200,800,Q,
20100608,WHG,260,260,Q,
20100609,WHG,1007,1207,Q,
20100610,WHG,100,5800,Q,
20100615,WHG,643,1591,Q,
20100618,WHG,100,300,Q,
20100621,WHG,300,890,Q,
20100623,WHG,900,1300,Q,
20100624,WHG,273,1073,Q,
20100628,WHG,660,2826,Q,
20100630,WHG,124,1338,Q,
20100706,WHG,100,2184,Q,
20100707,WHG,1300,14350,Q,
20100708,WHG,1090,1590,Q,
20100709,WHG,100,1600,Q,
20110804,WHG,730,1531,,0.0
