,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,WOOD,1672,6186,Q,
20100105,WOOD,1537,7501,Q,
20100106,WOOD,1987,4736,Q,
20100107,WOOD,7700,10126,Q,
20100108,WOOD,3170,8663,Q,
20100111,WOOD,4375,11913,Q,
20100112,WOOD,573,6679,Q,
20100113,WOOD,1393,6764,Q,
20100114,WOOD,1010,2537,Q,
20100115,WOOD,725,21615,Q,
20100119,WOOD,1116,16569,Q,
20100120,WOOD,34393,36530,Q,
20100121,WOOD,1992,5725,Q,
20100122,WOOD,910,3431,Q,
20100125,WOOD,260,1728,Q,
20100126,WOOD,2062,7461,Q,
20100128,WOOD,44311,47061,Q,
20100201,WOOD,467,3621,Q,
20100202,WOOD,250,1389,Q,
20100203,WOOD,800,2846,Q,
20100204,WOOD,4000,13727,Q,
20100205,WOOD,140,3040,Q,
20100208,WOOD,2617,8324,Q,
20100209,WOOD,1776,58652,Q,
20100210,WOOD,1950,2300,Q,
20100211,WOOD,1609,3040,Q,
20100212,WOOD,1168,1768,Q,
20100216,WOOD,300,3884,Q,
20100217,WOOD,425,1176,Q,
20100219,WOOD,300,749,Q,
20100222,WOOD,1255,1905,Q,
20100223,WOOD,6050,11050,Q,
20100224,WOOD,740,1190,Q,
20100225,WOOD,532,1403,Q,
20100226,WOOD,1000,1888,Q,
20100301,WOOD,2835,6447,Q,
20100302,WOOD,4426,6164,Q,
20100303,WOOD,875,1245,Q,
20100304,WOOD,1018,1018,Q,
20100305,WOOD,1002,2223,Q,
20100308,WOOD,4289,5965,Q,
20100309,WOOD,1432,4047,Q,
20100310,WOOD,830,1337,Q,
20100311,WOOD,657,1894,Q,
20100312,WOOD,547,792,Q,
20100315,WOOD,356,1533,Q,
20100316,WOOD,1833,3278,Q,
20100317,WOOD,2795,4834,Q,
20100318,WOOD,513,2038,Q,
20100319,WOOD,1021,2270,Q,
20100322,WOOD,1669,3066,Q,
20100323,WOOD,7796,11930,Q,
20100324,WOOD,666,666,Q,
20100325,WOOD,2526,3469,Q,
20100326,WOOD,958,1958,Q,
20100329,WOOD,3116,5472,Q,
20100330,WOOD,1122,1297,Q,
20100331,WOOD,1853,3160,Q,
20100401,WOOD,2404,4151,Q,
20100405,WOOD,4025,6577,Q,
20100406,WOOD,2386,4029,Q,
20100407,WOOD,1878,2878,Q,
20100408,WOOD,5535,6626,Q,
20100409,WOOD,1563,3128,Q,
20100412,WOOD,7494,8826,Q,
20100413,WOOD,4354,9136,Q,
20100414,WOOD,5230,6442,Q,
20100415,WOOD,2150,5150,Q,
20100416,WOOD,1469,3139,Q,
20100419,WOOD,4481,5977,Q,
20100420,WOOD,3815,5384,Q,
20100421,WOOD,8905,9316,Q,
20100422,WOOD,1133,3139,Q,
20100423,WOOD,3751,7637,Q,
20100426,WOOD,2560,3582,Q,
20100427,WOOD,4755,12407,Q,
20100428,WOOD,832,5091,Q,
20100429,WOOD,318,4208,Q,
20100430,WOOD,2134,3094,Q,
20100503,WOOD,14779,20850,Q,
20100504,WOOD,5172,9747,Q,
20100510,WOOD,4555,7299,Q,
20100511,WOOD,12131,15759,Q,
20100512,WOOD,8937,12601,Q,
20100513,WOOD,5161,5667,Q,
20100517,WOOD,425,2437,Q,
20100519,WOOD,430,2215,Q,
20100520,WOOD,795,3732,Q,
20100521,WOOD,328,5288,Q,
20100524,WOOD,265,2105,Q,
20100526,WOOD,1272,3600,Q,
20100527,WOOD,1496,1957,Q,
20100528,WOOD,450,780,Q,
20100601,WOOD,2362,5063,Q,
20100602,WOOD,500,850,Q,
20100603,WOOD,44759,45164,Q,
20100604,WOOD,1096,1696,Q,
20100607,WOOD,1227,3399,Q,
20100608,WOOD,1862,4125,Q,
20100609,WOOD,568,1543,Q,
20100610,WOOD,1406,2831,Q,
20100611,WOOD,1966,2074,Q,
20100614,WOOD,2647,3092,Q,
20100615,WOOD,533,1558,Q,
20100616,WOOD,1074,1374,Q,
20100617,WOOD,1500,5188,Q,
20100618,WOOD,1131,1740,Q,
20100621,WOOD,2582,4262,Q,
20100622,WOOD,200,625,Q,
20100623,WOOD,2929,4720,Q,
20100624,WOOD,500,1760,Q,
20100625,WOOD,1102,1622,Q,
20100628,WOOD,845,1449,Q,
20100629,WOOD,962,1879,Q,
20100630,WOOD,700,1924,Q,
20100701,WOOD,2627,6618,Q,
20100702,WOOD,4547,10151,Q,
20100707,WOOD,300,1978,Q,
20100708,WOOD,787,1319,Q,
20100709,WOOD,450,1550,Q,
20110804,WOOD,7880,22279,,0.0
