,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,WSM,154464,429086,Q,
20100105,WSM,272708,599425,Q,
20100106,WSM,573330,1024352,Q,
20100107,WSM,839803,1428252,Q,
20100108,WSM,412728,652654,Q,
20100111,WSM,287079,553234,Q,
20100112,WSM,336562,690348,Q,
20100113,WSM,121630,450589,Q,
20100114,WSM,299566,1826114,Q,
20100115,WSM,216322,1305760,Q,
20100119,WSM,159162,967260,Q,
20100120,WSM,347501,763302,Q,
20100121,WSM,236163,484796,Q,
20100122,WSM,178222,461984,Q,
20100125,WSM,174819,645687,Q,
20100126,WSM,389986,699300,Q,
20100127,WSM,266299,529002,Q,
20100128,WSM,139203,268014,Q,
20100129,WSM,337826,544727,Q,
20100201,WSM,194145,363245,Q,
20100202,WSM,87734,373754,Q,
20100203,WSM,136664,281986,Q,
20100204,WSM,114005,644550,Q,
20100205,WSM,248868,819625,Q,
20100208,WSM,119143,301029,Q,
20100209,WSM,230189,613650,Q,
20100210,WSM,100401,282529,Q,
20100211,WSM,147121,353943,Q,
20100212,WSM,39961,185229,Q,
20100216,WSM,191334,279167,Q,
20100217,WSM,88139,228130,Q,
20100218,WSM,53158,184922,Q,
20100219,WSM,144248,441178,Q,
20100222,WSM,99779,240509,Q,
20100223,WSM,280936,766361,Q,
20100224,WSM,61052,458010,Q,
20100225,WSM,341343,575619,Q,
20100226,WSM,110630,332308,Q,
20100301,WSM,162204,330297,Q,
20100302,WSM,318405,548700,Q,
20100303,WSM,256840,1238302,Q,
20100304,WSM,293611,726129,Q,
20100305,WSM,788447,1102258,Q,
20100308,WSM,156437,324130,Q,
20100309,WSM,144731,372874,Q,
20100310,WSM,769495,1835605,Q,
20100311,WSM,195732,421810,Q,
20100312,WSM,218508,494427,Q,
20100315,WSM,130988,256992,Q,
20100316,WSM,84325,318980,Q,
20100317,WSM,119639,302087,Q,
20100318,WSM,148561,371613,Q,
20100319,WSM,75990,455629,Q,
20100322,WSM,1214468,2452882,Q,
20100323,WSM,291836,826685,Q,
20100324,WSM,555423,1189249,Q,
20100325,WSM,915921,1895582,Q,
20100326,WSM,158886,401661,Q,
20100329,WSM,61430,273316,Q,
20100330,WSM,53141,181243,Q,
20100331,WSM,47834,244486,Q,
20100401,WSM,118761,384541,Q,
20100405,WSM,91538,605292,Q,
20100406,WSM,138101,467799,Q,
20100407,WSM,339122,676205,Q,
20100408,WSM,186186,334835,Q,
20100409,WSM,487833,1168983,Q,
20100412,WSM,147444,295058,Q,
20100413,WSM,78902,311954,Q,
20100414,WSM,177059,851558,Q,
20100415,WSM,76183,319535,Q,
20100416,WSM,289315,569469,Q,
20100419,WSM,210391,660540,Q,
20100420,WSM,98737,341838,Q,
20100421,WSM,529867,1236509,Q,
20100422,WSM,114540,489172,Q,
20100423,WSM,218754,419473,Q,
20100426,WSM,103396,417809,Q,
20100427,WSM,207145,505252,Q,
20100428,WSM,150551,299276,Q,
20100429,WSM,93816,238742,Q,
20100430,WSM,198516,523792,Q,
20100503,WSM,164109,465934,Q,
20100504,WSM,473243,1171173,Q,
20100510,WSM,270096,523338,Q,
20100511,WSM,84760,261827,Q,
20100512,WSM,88239,263918,Q,
20100513,WSM,181931,426184,Q,
20100517,WSM,246913,476834,Q,
20100518,WSM,161338,619550,Q,
20100519,WSM,395078,955657,Q,
20100520,WSM,1654575,2759214,Q,
20100521,WSM,481376,1221265,Q,
20100524,WSM,361968,562063,Q,
20100525,WSM,701737,1080328,Q,
20100526,WSM,115403,396465,Q,
20100527,WSM,204534,541135,Q,
20100528,WSM,111258,329777,Q,
20100601,WSM,381109,1028771,Q,
20100602,WSM,105856,327833,Q,
20100603,WSM,140137,506433,Q,
20100604,WSM,1122493,1907958,Q,
20100607,WSM,455831,886747,Q,
20100608,WSM,315096,742187,Q,
20100609,WSM,426136,823793,Q,
20100610,WSM,223911,473953,Q,
20100611,WSM,278900,756658,Q,
20100614,WSM,226472,459283,Q,
20100615,WSM,175775,413076,Q,
20100616,WSM,238402,601517,Q,
20100617,WSM,246751,682459,Q,
20100618,WSM,199802,339586,Q,
20100621,WSM,488620,709268,Q,
20100622,WSM,220883,956364,Q,
20100623,WSM,466156,697267,Q,
20100624,WSM,835998,1199771,Q,
20100625,WSM,376830,598351,Q,
20100628,WSM,523833,700751,Q,
20100629,WSM,372803,692213,Q,
20100630,WSM,179109,322831,Q,
20100701,WSM,427169,893484,Q,
20100702,WSM,215220,286650,Q,
20100706,WSM,258256,425049,Q,
20100707,WSM,353642,624411,Q,
20100708,WSM,280438,598449,Q,
20100709,WSM,48398,98566,Q,
20110804,WSM,132561,900804,,0.0
