,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100106,XBKS,700,1081,Q,
20100107,XBKS,711,2254,Q,
20100108,XBKS,2335,3732,Q,
20100112,XBKS,1100,1450,Q,
20100113,XBKS,100,1050,Q,
20100115,XBKS,100,577,Q,
20100120,XBKS,200,200,Q,
20100121,XBKS,122,244,Q,
20100122,XBKS,100,200,Q,
20100128,XBKS,463,1126,Q,
20100129,XBKS,230,1000,Q,
20100202,XBKS,654,654,Q,
20100203,XBKS,500,500,Q,
20100204,XBKS,500,500,Q,
20100205,XBKS,800,1000,Q,
20100208,XBKS,200,356,Q,
20100211,XBKS,100,100,Q,
20100212,XBKS,500,500,Q,
20100218,XBKS,200,200,Q,
20100304,XBKS,500,4650,Q,
20100305,XBKS,253,253,Q,
20100308,XBKS,1200,1328,Q,
20100309,XBKS,116,116,Q,
20100315,XBKS,2100,3673,Q,
20100316,XBKS,100,400,Q,
20100317,XBKS,2600,3400,Q,
20100318,XBKS,100,100,Q,
20100319,XBKS,2190,5617,Q,
20100324,XBKS,2670,5577,Q,
20100331,XBKS,100,300,Q,
20100405,XBKS,1434,2434,Q,
20100406,XBKS,100,2066,Q,
20100408,XBKS,926,2079,Q,
20100409,XBKS,511,914,Q,
20100415,XBKS,1730,2530,Q,
20100419,XBKS,4000,5365,Q,
20100420,XBKS,2426,4026,Q,
20100421,XBKS,1092,1092,Q,
20100423,XBKS,300,1500,Q,
20100427,XBKS,100,624,Q,
20100429,XBKS,210,1210,Q,
20100503,XBKS,100,1294,Q,
20100504,XBKS,310,910,Q,
20100511,XBKS,294,484,Q,
20100517,XBKS,354,354,Q,
20100518,XBKS,438,1338,Q,
20100519,XBKS,1500,2496,Q,
20100521,XBKS,600,4900,Q,
20100528,XBKS,600,847,Q,
20100603,XBKS,600,1000,Q,
20100607,XBKS,100,100,Q,
20100610,XBKS,100,1247,Q,
20100616,XBKS,400,400,Q,
20100707,XBKS,200,200,Q,
20100708,XBKS,100,100,Q,
