,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,XETA,300,1909,Q,
20100108,XETA,2800,5100,Q,
20100113,XETA,1500,1630,Q,
20100115,XETA,900,1400,Q,
20100119,XETA,1100,2577,Q,
20100120,XETA,600,800,Q,
20100201,XETA,100,200,Q,
20100202,XETA,300,8194,Q,
20100205,XETA,200,200,Q,
20100216,XETA,200,200,Q,
20100217,XETA,100,1169,Q,
20100219,XETA,628,1028,Q,
20100222,XETA,300,520,Q,
20100225,XETA,1000,1800,Q,
20100303,XETA,87950,89255,Q,
20100304,XETA,1800,3245,Q,
20100308,XETA,1903,3906,Q,
20100309,XETA,100,100,Q,
20100310,XETA,3800,6339,Q,
20100311,XETA,300,400,Q,
20100312,XETA,2500,4500,Q,
20100315,XETA,1655,4656,Q,
20100316,XETA,1200,7622,Q,
20100317,XETA,3110,3110,Q,
20100318,XETA,4000,6650,Q,
20100322,XETA,400,960,Q,
20100331,XETA,100,300,Q,
20100409,XETA,16150,16150,Q,
20100414,XETA,675,3007,Q,
20100415,XETA,1850,3085,Q,
20100416,XETA,100,3201,Q,
20100419,XETA,1350,1950,Q,
20100420,XETA,2000,2000,Q,
20100421,XETA,1500,2700,Q,
20100426,XETA,200,884,Q,
20100429,XETA,200,300,Q,
20100430,XETA,600,600,Q,
20100503,XETA,790,1940,Q,
20100504,XETA,6100,6400,Q,
20100511,XETA,4297,7392,Q,
20100512,XETA,17603,18903,Q,
20100517,XETA,1185,1940,Q,
20100518,XETA,100,1500,Q,
20100519,XETA,200,400,Q,
20100520,XETA,444,2444,Q,
20100521,XETA,548,648,Q,
20100524,XETA,2920,6440,Q,
20100527,XETA,2000,3300,Q,
20100528,XETA,7779,10700,Q,
20100601,XETA,1400,1600,Q,
20100603,XETA,500,700,Q,
20100604,XETA,1100,7300,Q,
20100607,XETA,450,1250,Q,
20100608,XETA,100,1050,Q,
20100609,XETA,500,1200,Q,
20100610,XETA,100,800,Q,
20100614,XETA,710,910,Q,
20100615,XETA,1000,1100,Q,
20100616,XETA,100,200,Q,
20100621,XETA,600,600,Q,
20100622,XETA,1400,2215,Q,
20100623,XETA,100,600,Q,
20100625,XETA,100,100,Q,
20100629,XETA,100,415,Q,
20100709,XETA,5000,5000,Q,
