,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100104,XLB,1217764,1814780,Q,
20100105,XLB,818358,1512950,Q,
20100106,XLB,869961,1501970,Q,
20100107,XLB,378313,999550,Q,
20100108,XLB,339141,781606,Q,
20100111,XLB,1912873,2560468,Q,
20100112,XLB,1533337,2646463,Q,
20100113,XLB,1271487,2076738,Q,
20100114,XLB,1756175,2203377,Q,
20100115,XLB,565649,1140553,Q,
20100119,XLB,789986,1248791,Q,
20100120,XLB,1370915,2144827,Q,
20100121,XLB,2074586,3431358,Q,
20100122,XLB,1892451,3853127,Q,
20100125,XLB,802891,1757685,Q,
20100126,XLB,1683440,3756023,Q,
20100127,XLB,2987670,4947268,Q,
20100128,XLB,853824,2458662,Q,
20100129,XLB,1283292,2320900,Q,
20100201,XLB,1550389,2653163,Q,
20100202,XLB,967960,2184254,Q,
20100203,XLB,2486537,3933843,Q,
20100204,XLB,2380253,4137608,Q,
20100205,XLB,3716070,6002048,Q,
20100208,XLB,1393593,3295946,Q,
20100209,XLB,2227805,3835552,Q,
20100210,XLB,2052743,3524521,Q,
20100211,XLB,1692390,3015395,Q,
20100212,XLB,1484638,2227385,Q,
20100216,XLB,974974,1545329,Q,
20100217,XLB,4058810,6172965,Q,
20100218,XLB,1990919,3711148,Q,
20100219,XLB,1293291,2102393,Q,
20100222,XLB,1011069,1560382,Q,
20100223,XLB,1655157,2826024,Q,
20100224,XLB,1763568,3001121,Q,
20100225,XLB,2187267,4529631,Q,
20100226,XLB,1118376,2546756,Q,
20100301,XLB,3769881,5979629,Q,
20100302,XLB,1954169,3642388,Q,
20100303,XLB,1391187,2978106,Q,
20100304,XLB,1756909,3373225,Q,
20100305,XLB,1460960,2302451,Q,
20100308,XLB,1648078,2812875,Q,
20100309,XLB,3844016,5122772,Q,
20100310,XLB,6342310,7416514,Q,
20100311,XLB,2410951,3528305,Q,
20100312,XLB,2242072,2961252,Q,
20100315,XLB,1921736,2511628,Q,
20100316,XLB,1512965,3636202,Q,
20100317,XLB,1344111,2393642,Q,
20100318,XLB,2393483,3330717,Q,
20100319,XLB,1362815,2006936,Q,
20100322,XLB,1963971,3140338,Q,
20100323,XLB,1349817,2600440,Q,
20100324,XLB,783678,1190990,Q,
20100325,XLB,1786950,2520728,Q,
20100326,XLB,2265609,2939497,Q,
20100329,XLB,765229,1924231,Q,
20100330,XLB,1211750,1862337,Q,
20100331,XLB,853711,1386201,Q,
20100401,XLB,621108,1114307,Q,
20100405,XLB,1208833,1584408,Q,
20100406,XLB,882894,1532395,Q,
20100407,XLB,1373665,2446505,Q,
20100408,XLB,582876,976844,Q,
20100409,XLB,746138,1460838,Q,
20100412,XLB,454101,728226,Q,
20100413,XLB,963816,2318370,Q,
20100414,XLB,559645,1060652,Q,
20100415,XLB,562541,1537268,Q,
20100416,XLB,1842655,3319679,Q,
20100419,XLB,979615,1732353,Q,
20100420,XLB,597122,1283151,Q,
20100421,XLB,922241,1960326,Q,
20100422,XLB,933067,1929731,Q,
20100423,XLB,663851,1384927,Q,
20100426,XLB,608453,1166796,Q,
20100427,XLB,1184610,2209969,Q,
20100428,XLB,1155990,2275565,Q,
20100429,XLB,982685,1418914,Q,
20100430,XLB,730075,1109042,Q,
20100503,XLB,1975260,2926107,Q,
20100504,XLB,2639337,3978943,Q,
20100510,XLB,1438115,3221088,Q,
20100511,XLB,1751505,2383761,Q,
20100512,XLB,1565830,2491955,Q,
20100513,XLB,1286218,2109874,Q,
20100517,XLB,1937093,4165470,Q,
20100518,XLB,2153962,5521218,Q,
20100519,XLB,2609181,4124835,Q,
20100520,XLB,2257298,3937818,Q,
20100521,XLB,1713071,3643856,Q,
20100524,XLB,1067575,2445656,Q,
20100525,XLB,1533154,2772339,Q,
20100526,XLB,1154122,1793886,Q,
20100527,XLB,1255471,3192309,Q,
20100528,XLB,894460,1691598,Q,
20100601,XLB,1358072,3021245,Q,
20100602,XLB,753035,1579442,Q,
20100603,XLB,3138022,3745361,Q,
20100604,XLB,1348640,2393308,Q,
20100607,XLB,1188086,2145976,Q,
20100608,XLB,2355262,3707433,Q,
20100609,XLB,2753631,3605479,Q,
20100610,XLB,1232255,1953604,Q,
20100611,XLB,647075,1156168,Q,
20100614,XLB,1126837,1540638,Q,
20100615,XLB,1156981,1630951,Q,
20100616,XLB,471054,777131,Q,
20100617,XLB,1531055,2391527,Q,
20100618,XLB,1275021,1835150,Q,
20100621,XLB,1378444,2557017,Q,
20100622,XLB,999288,2204420,Q,
20100623,XLB,710187,1366325,Q,
20100624,XLB,1020247,3431446,Q,
20100625,XLB,1573229,2551874,Q,
20100628,XLB,1181073,2614802,Q,
20100629,XLB,1808711,2944068,Q,
20100630,XLB,1161534,1689358,Q,
20100701,XLB,1979854,2841402,Q,
20100702,XLB,653962,1161415,Q,
20100706,XLB,882625,1488943,Q,
20100707,XLB,1437454,2102046,Q,
20100708,XLB,684733,1427978,Q,
20100709,XLB,392490,974375,Q,
20110804,XLB,3100542,5035028,,12650.0
