,Symbol,ShortVolume,TotalVolume,Market,ShortExemptVolume
20100318,YXI,600,600,Q,
20100319,YXI,100,100,Q,
20100322,YXI,200,200,Q,
20100323,YXI,200,200,Q,
20100324,YXI,4500,4700,Q,
20100325,YXI,5797,5797,Q,
20100326,YXI,2345,2345,Q,
20100329,YXI,2990,2990,Q,
20100330,YXI,580,1007,Q,
20100331,YXI,740,740,Q,
20100405,YXI,200,300,Q,
20100406,YXI,300,500,Q,
20100408,YXI,1100,1100,Q,
20100409,YXI,100,645,Q,
20100416,YXI,1075,1075,Q,
20100419,YXI,2100,2200,Q,
20100420,YXI,740,740,Q,
20100422,YXI,752,852,Q,
20100426,YXI,100,275,Q,
20100427,YXI,1250,1250,Q,
20100428,YXI,1925,2340,Q,
20100429,YXI,325,325,Q,
20100430,YXI,152,377,Q,
20100503,YXI,507,507,Q,
20100504,YXI,629,729,Q,
20100510,YXI,600,2450,Q,
20100511,YXI,1900,2700,Q,
20100512,YXI,2033,20948,Q,
20100513,YXI,700,2200,Q,
20100517,YXI,3660,4760,Q,
20100518,YXI,300,400,Q,
20100519,YXI,500,2650,Q,
20100520,YXI,4865,7312,Q,
20100521,YXI,1827,3399,Q,
20100525,YXI,10423,11958,Q,
20100527,YXI,1411,19111,Q,
20100528,YXI,700,800,Q,
20100601,YXI,2532,4196,Q,
20100608,YXI,183,631,Q,
20100609,YXI,700,3200,Q,
20100611,YXI,675,675,Q,
20100618,YXI,1700,2360,Q,
20100621,YXI,1000,1100,Q,
20100625,YXI,100,100,Q,
20100629,YXI,4358,11899,Q,
20100630,YXI,3000,3111,Q,
20100702,YXI,100,100,Q,
20100706,YXI,100,9635,Q,
20100708,YXI,1500,1600,Q,
20110804,YXI,673,1873,,0.0
