,Symbol,ShortVolume,TotalVolume,Market
20100602,A,126675,485719,Q
20100602,AA,2589193,10005225,Q
20100602,AACC,1777,27070,Q
20100602,AAI,669574,1486004,Q
20100602,AAN,102826,386709,Q
20100602,AAN.A,100,800,Q
20100602,AAON,12676,23774,Q
20100602,AAP,194112,430276,Q
20100602,AAPL,5228750,9908474,Q
20100602,AAR,1700,2950,Q
20100602,AATI,18142,62613,Q
20100602,AAU,25297,62697,Q
20100602,AAV,44263,199204,Q
20100602,AAWW,43518,88786,Q
20100602,AAXJ,32835,103100,Q
20100602,AB,20842,65641,Q
20100602,ABA,21600,31351,Q
20100602,ABAT,57320,139787,Q
20100602,ABAX,16188,24859,Q
20100602,ABB,569369,1780721,Q
20100602,ABBC,8932,11976,Q
20100602,ABC,355446,1067625,Q
20100602,ABCB,17800,34512,Q
20100602,ABCD,7990,10690,Q
20100602,ABCO,1700,4942,Q
20100602,ABCW,15108,31946,Q
20100602,ABD,33359,82386,Q
20100602,ABFS,60290,110902,Q
20100602,ABG,20308,37768,Q
20100602,ABII,29614,91247,Q
20100602,ABIO,35745,96896,Q
20100602,ABK,4606990,10159781,Q
20100602,ABKpZ,2400,4650,Q
20100602,ABL,3705,3945,Q
20100602,ABM,16657,33093,Q
20100602,ABMD,42996,86225,Q
20100602,ABR,11826,51097,Q
20100602,ABT,689113,2137381,Q
20100602,ABTL,87317,200072,Q
20100602,ABV,23375,73932,Q
20100602,ABVT,10441,84052,Q
20100602,ABWpA,1350,9050,Q
20100602,ABX,750076,2200139,Q
20100602,ACAD,11400,49421,Q
20100602,ACAP,33377,41422,Q
20100602,ACAS,1429218,2523132,Q
20100602,ACAT,15602,38821,Q
20100602,ACC,57716,139133,Q
20100602,ACCL,3533,35074,Q
20100602,ACE,132252,1471032,Q
20100602,ACET,13482,37961,Q
20100602,ACF,56126,170467,Q
20100602,ACFC,5562,7062,Q
20100602,ACFN,15177,19658,Q
20100602,ACG,39131,254452,Q
20100602,ACGL,28339,191972,Q
20100602,ACGY,16565,46344,Q
20100602,ACH,22255,85855,Q
20100602,ACHN,21000,49825,Q
20100602,ACI,736445,1884856,Q
20100602,ACIW,15439,57575,Q
20100602,ACL,28462,128788,Q
20100602,ACLI,7935,17674,Q
20100602,ACLS,18143,116758,Q
20100602,ACM,78205,268029,Q
20100602,ACMR,4302,63697,Q
20100602,ACN,499330,1259851,Q
20100602,ACO,10617,22231,Q
20100602,ACOM,23247,45885,Q
20100602,ACOR,83102,182414,Q
20100602,ACPW,14900,26888,Q
20100602,ACTG,5425,54851,Q
20100602,ACTI,23958,45417,Q
20100602,ACTL,3602,11478,Q
20100602,ACTS,300,21610,Q
20100602,ACTU,19439,141566,Q
20100602,ACU,31404,44465,Q
20100602,ACUR,662,15269,Q
20100602,ACV,68465,126799,Q
20100602,ACWI,42063,149465,Q
20100602,ACWX,16838,21792,Q
20100602,ACXM,48369,188133,Q
20100602,ACY,321,1135,Q
20100602,ADAM,800,6771,Q
20100602,ADAT,100,28600,Q
20100602,ADBE,1004330,2250610,Q
20100602,ADC,3793,28491,Q
20100602,ADCT,214204,513776,Q
20100602,ADEP,200,2614,Q
20100602,ADES,120,220,Q
20100602,ADG,10980,19750,Q
20100602,ADGE,17367,21417,Q
20100602,ADGF,2200,5000,Q
20100602,ADI,584272,924680,Q
20100602,ADK,1900,3330,Q
20100602,ADK.WS,300,300,Q
20100602,ADLR,8896,64767,Q
20100602,ADM,286336,1144915,Q
20100602,ADMpA,6249,29601,Q
20100602,ADP,321650,673212,Q
20100602,ADPI,700,4387,Q
20100602,ADPT,264460,402861,Q
20100602,ADRA,2400,3701,Q
20100602,ADRD,1221,3886,Q
20100602,ADRE,8013,59171,Q
20100602,ADRU,500,2100,Q
20100602,ADS,86309,238167,Q
20100602,ADSK,151898,488906,Q
20100602,ADTN,117683,241154,Q
20100602,ADUS,1470,2470,Q
20100602,ADVS,12808,51821,Q
20100602,ADX,10945,37668,Q
20100602,ADY,8392,16607,Q
20100602,AE,900,1200,Q
20100602,AEA,114300,335469,Q
20100602,AEB,700,11899,Q
20100602,AEC,25571,281896,Q
20100602,AED,4465,10590,Q
20100602,AEE,165017,350481,Q
20100602,AEF,3268,12351,Q
20100602,AEG,63399,161890,Q
20100602,AEH,50703,57720,Q
20100602,AEHR,1560,4046,Q
20100602,AEIS,86946,129471,Q
20100602,AEL,12590,62877,Q
20100602,AEM,302879,561946,Q
20100602,AEN,12949,57912,Q
20100602,AEO,1537816,3980707,Q
20100602,AEP,344606,716578,Q
20100602,AEPI,3900,17773,Q
20100602,AEPpA,4170,6170,Q
20100602,AER,38019,84016,Q
20100602,AERG,141051,356189,Q
20100602,AES,1304274,3176328,Q
20100602,AESpC,1627,4771,Q
20100602,AET,704869,2108411,Q
20100602,AETI,3000,3000,Q
20100602,AEV,7241,26407,Q
20100602,AEY,2900,3729,Q
20100602,AEZ,170251,408544,Q
20100602,AEZS,529131,1305587,Q
20100602,AF,74617,134854,Q
20100602,AFAM,39838,61642,Q
20100602,AFB,13209,27871,Q
20100602,AFC,3140,11758,Q
20100602,AFCE,4000,8019,Q
20100602,AFE,300,2937,Q
20100602,AFF,8225,31922,Q
20100602,AFFX,198824,301605,Q
20100602,AFFY,47289,96540,Q
20100602,AFG,23697,49277,Q
20100602,AFK,1240,2909,Q
20100602,AFL,401710,1053783,Q
20100602,AFOP,7665,18126,Q
20100602,AFSI,70444,122838,Q
20100602,AGAM,14625,52246,Q
20100602,AGC,1000,29910,Q
20100602,AGCO,386383,521945,Q
20100602,AGD,15460,58139,Q
20100602,AGEN,86017,345656,Q
20100602,AGF,699,906,Q
20100602,AGG,517251,744603,Q
20100602,AGII,5586,44431,Q
20100602,AGL,25105,55579,Q
20100602,AGM,23650,61856,Q
20100602,AGN,221414,690420,Q
20100602,AGNC,109030,330850,Q
20100602,AGO,320029,694836,Q
20100602,AGOpB,3002,10088,Q
20100602,AGOpE,6310,11380,Q
20100602,AGOpF,2237,19013,Q
20100602,AGP,310099,509464,Q
20100602,AGQ,37965,110648,Q
20100602,AGT,32704,151208,Q
20100602,AGU,96086,153566,Q
20100602,AGX,400,500,Q
20100602,AGYS,25342,62632,Q
20100602,AGZ,3224,15060,Q
20100602,AH,2100,113100,Q
20100602,AHC,6000,10300,Q
20100602,AHCI,8476,19737,Q
20100602,AHD,20171,60861,Q
20100602,AHGP,5231,10418,Q
20100602,AHII,1600,4400,Q
20100602,AHL,42186,586605,Q
20100602,AHLpA,200,200,Q
20100602,AHS,19188,45191,Q
20100602,AHT,31320,142954,Q
20100602,AHTpA,1856,1856,Q
20100602,AHTpD,3300,5600,Q
20100602,AI,4050,10550,Q
20100602,AIA,1352,3847,Q
20100602,AIB,800656,2364241,Q
20100602,AIG,678748,2181780,Q
20100602,AIGpA,31196,63996,Q
20100602,AIM,100,235,Q
20100602,AIMC,7400,94426,Q
20100602,AIN,7974,14712,Q
20100602,AINV,352993,659651,Q
20100602,AIPC,8904,36106,Q
20100602,AIQ,4894,10794,Q
20100602,AIR,24114,45283,Q
20100602,AIRM,23146,31576,Q
20100602,AIRT,1200,7754,Q
20100602,AIS,112548,210394,Q
20100602,AIT,16895,62737,Q
20100602,AIV,203051,333671,Q
20100602,AIVpT,20100,33700,Q
20100602,AIXG,17832,58329,Q
20100602,AIZ,113743,209164,Q
20100602,AJG,20590,56925,Q
20100602,AKAM,651206,1582795,Q
20100602,AKF,600,3320,Q
20100602,AKNS,60043,171007,Q
20100602,AKO.A,200,200,Q
20100602,AKO.B,300,897,Q
20100602,AKP,100,3166,Q
20100602,AKR,24088,42734,Q
20100602,AKRX,192732,449078,Q
20100602,AKS,1357122,2908880,Q
20100602,AKT,483,12074,Q
20100602,ALAN,39860,118257,Q
20100602,ALB,48314,97167,Q
20100602,ALC,3180,23607,Q
20100602,ALCO,700,2692,Q
20100602,ALE,6983,19591,Q
20100602,ALEX,22724,43761,Q
20100602,ALF,4210,8410,Q
20100602,ALG,11597,35458,Q
20100602,ALGN,311959,450345,Q
20100602,ALGT,19813,53834,Q
20100602,ALIM,34720,67255,Q
20100602,ALJ,29820,49249,Q
20100602,ALK,86537,184894,Q
20100602,ALKS,189560,344145,Q
20100602,ALL,265335,1091858,Q
20100602,ALLT,15907,19457,Q
20100602,ALM,5010,20785,Q
20100602,ALN,28400,83842,Q
20100602,ALNC,100,100,Q
20100602,ALNY,40994,62075,Q
20100602,ALOG,2428,10283,Q
20100602,ALOT,100,200,Q
20100602,ALOY,1800,4601,Q
20100602,ALPpN,100,1920,Q
20100602,ALPpO,800,900,Q
20100602,ALQ,375,3690,Q
20100602,ALSK,69993,166669,Q
20100602,ALT,7944,8241,Q
20100602,ALTE,7643,64431,Q
20100602,ALTH,213276,404966,Q
20100602,ALTI,25620,131010,Q
20100602,ALTR,709662,1209221,Q
20100602,ALU,1725887,3391025,Q
20100602,ALV,133173,432231,Q
20100602,ALVR,51931,246118,Q
20100602,ALX,300,616,Q
20100602,ALXA,8774,35408,Q
20100602,ALXN,173634,483049,Q
20100602,ALY,10643,51855,Q
20100602,ALZ,19935,36439,Q
20100602,AM,28360,82892,Q
20100602,AMAC,3640,5700,Q
20100602,AMAG,89472,140955,Q
20100602,AMAT,2030358,6495747,Q
20100602,AMB,276991,678652,Q
20100602,AMCC,71970,197926,Q
20100602,AMCF,10200,15050,Q
20100602,AMCN,7950,45258,Q
20100602,AMD,4495149,8715889,Q
20100602,AME,20392,70080,Q
20100602,AMED,25351,111833,Q
20100602,AMG,33589,121964,Q
