,Symbol,ShortVolume,ShortExemptVolume,TotalVolume
20110923,A,210958,0,451785
20110923,AA,6057856,1358,11722936
20110923,AACC,100,0,900
20110923,AAN,22131,0,48993
20110923,AAON,6770,0,15977
20110923,AAP,34408,0,70008
20110923,AAPL,2712934,100,5956065
20110923,AAT,4199,0,32277
20110923,AATI,55890,0,123513
20110923,AAU,26088,16440,152643
20110923,AAV,26329,3200,57414
20110923,AAWW,9000,1100,36135
20110923,AAXJ,15732,0,67023
20110923,AAp,500,0,9364
20110923,AB,119327,0,318800
20110923,ABAT,81692,0,282426
20110923,ABAX,22824,0,29840
20110923,ABB,278887,0,1099404
20110923,ABBC,866,0,2341
20110923,ABC,133015,0,288223
20110923,ABCB,1921,0,2021
20110923,ABCD,6975,0,18395
20110923,ABCO,3158,0,10445
20110923,ABCS,400,0,400
20110923,ABCW,1100,0,9081
20110923,ABD,8110,2710,23458
20110923,ABFS,13115,900,23461
20110923,ABG,17512,0,31900
20110923,ABH,24400,0,47980
20110923,ABM,9691,0,14741
20110923,ABMD,3819,0,18219
20110923,ABR,100,0,7025
20110923,ABT,1437554,400,2119684
20110923,ABTL,5000,0,6200
20110923,ABV,340126,0,601612
20110923,ABV.C,100,0,1800
20110923,ABVA,400,0,500
20110923,ABVT,31394,0,50342
20110923,ABWpA,1000,0,1732
20110923,ABX,831744,179304,2204565
20110923,ACAD,8749,0,73122
20110923,ACAS,312503,0,803787
20110923,ACAT,4105,0,8302
20110923,ACC,31571,0,70439
20110923,ACCL,7716,0,32677
20110923,ACE,98135,0,302248
20110923,ACET,11315,0,26658
20110923,ACFC,100,0,400
20110923,ACFN,4400,0,17062
20110923,ACG,64081,0,328293
20110923,ACGL,43381,0,78535
20110923,ACH,27387,0,81582
20110923,ACHN,82847,0,305626
20110923,ACI,766686,88846,1878466
20110923,ACIW,5000,0,15187
20110923,ACLS,25114,0,144305
20110923,ACM,78403,0,156008
20110923,ACMR,12000,0,19559
20110923,ACN,767943,400,1643912
20110923,ACNB,9840,0,12540
20110923,ACO,3204,0,27642
20110923,ACOM,418029,75026,1170276
20110923,ACOR,7000,0,51469
20110923,ACP,4816,0,23028
20110923,ACPW,46028,0,128413
20110923,ACTG,20690,0,86884
20110923,ACTV,5777,0,7577
20110923,ACU,500,0,1300
20110923,ACUR,300,0,4595
20110923,ACW,26163,0,65308
20110923,ACWI,56722,0,279971
20110923,ACWX,23260,0,117125
20110923,ACXM,43890,0,75149
20110923,ACY,1644,0,2890
20110923,ADAT,4900,0,8720
20110923,ADBE,654169,300,955673
20110923,ADC,12454,0,19995
20110923,ADEP,700,0,2599
20110923,ADES,16317,0,36494
20110923,ADGE,300,0,1860
20110923,ADI,191080,0,530339
20110923,ADK,3600,0,14300
20110923,ADLR,9840,0,39034
20110923,ADM,365930,0,1314921
20110923,ADP,209660,400,426950
20110923,ADPI,817,0,1427
20110923,ADRD,12531,0,26281
20110923,ADRE,2959,0,22852
20110923,ADRU,2250,0,3150
20110923,ADS,141716,0,246829
20110923,ADSK,343560,0,501792
20110923,ADTN,79153,0,178443
20110923,ADUS,235,0,2970
20110923,ADVS,6382,0,72717
20110923,ADX,10461,0,33123
20110923,ADY,4600,0,18440
20110923,AE,1900,0,2200
20110923,AEA,81809,0,175983
20110923,AEB,1954,0,11295
20110923,AEC,13394,0,25531
20110923,AED,5500,0,10400
20110923,AEE,148798,0,281924
20110923,AEF,2600,0,42202
20110923,AEG,208751,0,344040
20110923,AEGR,1185,0,1785
20110923,AEH,1787,0,19528
20110923,AEIS,24026,0,41895
20110923,AEL,35511,0,79432
20110923,AEM,252610,200,621338
20110923,AEN,1050,0,36865
20110923,AEO,204035,100,359047
20110923,AEP,455074,1000,803085
20110923,AEPI,746,0,1546
20110923,AEPpA,1434,0,2976
20110923,AER,56936,0,125964
20110923,AERG,25378,0,52278
20110923,AERL,5545,3145,32646
20110923,AES,412165,0,1146598
20110923,AESpC,1429,0,4240
20110923,AET,474915,336,1056403
20110923,AETI,1734,0,4434
20110923,AEV,4277,0,18541
20110923,AEZS,161279,0,594356
20110923,AF,102477,0,161340
20110923,AFAM,5558,0,14736
20110923,AFB,8352,0,43638
20110923,AFCE,1800,0,10728
20110923,AFF,11799,0,21455
20110923,AFFX,172154,0,242139
20110923,AFFY,4225,0,41308
20110923,AFG,10762,0,47043
20110923,AFK,1100,0,3229
20110923,AFL,369959,300,1051803
20110923,AFOP,1700,0,13200
20110923,AFQ,2810,0,3719
20110923,AFSI,8135,0,31658
20110923,AFT,20642,0,32341
20110923,AG,102035,27495,593002
20110923,AGA,1972,0,4737
20110923,AGC,17657,0,33036
20110923,AGCO,201223,7728,355223
20110923,AGD,29821,0,80550
20110923,AGEM,523,0,87320
20110923,AGEN,6550,0,96088
20110923,AGF,200,0,450
20110923,AGG,149477,0,415393
20110923,AGII,36329,0,47126
20110923,AGL,33164,0,47478
20110923,AGM,1700,0,9236
20110923,AGN,115734,0,191134
20110923,AGNC,1024732,0,1644992
20110923,AGO,252237,0,370112
20110923,AGOL,560,0,2174
20110923,AGOpE,2293,0,4658
20110923,AGP,40725,0,109481
20110923,AGQ,658537,110140,1868364
20110923,AGRG,100,0,100
20110923,AGRO,19472,0,191131
20110923,AGU,70767,700,252691
20110923,AGX,522,0,2088
20110923,AGYS,2985,700,29035
20110923,AGZ,2720,0,4657
20110923,AH,35698,3880,113777
20110923,AHC,1600,0,7500
20110923,AHCI,7100,0,102299
20110923,AHGP,3910,0,8743
20110923,AHL,19239,0,79798
20110923,AHLpA,300,0,3350
20110923,AHPI,100,0,300
20110923,AHS,25707,0,63164
20110923,AHT,147054,100,316143
20110923,AHTpA,100,0,100
20110923,AHTpD,4200,0,5006
20110923,AHTpE,2400,0,2901
20110923,AI,11134,0,17631
20110923,AIA,1915,0,4715
20110923,AIG,586705,200,960900
20110923,AIG.WS,7548,0,38554
20110923,AIMC,8220,1883,77557
20110923,AIN,2174,0,16970
20110923,AINV,332357,0,733439
20110923,AIQ,3165,0,22603
20110923,AIR,43594,0,85779
20110923,AIRM,8380,0,16975
20110923,AIS,98460,0,345180
20110923,AIT,4034,0,17450
20110923,AIV,178513,0,311305
20110923,AIVpV,4496,0,4496
20110923,AIVpZ,410,0,1910
20110923,AIXG,24369,0,63487
20110923,AIZ,57580,0,89778
20110923,AJG,18109,0,42260
20110923,AKAM,404214,0,890215
20110923,AKO.A,104,0,11479
20110923,AKO.B,1800,0,1800
20110923,AKP,200,0,3413
20110923,AKR,11206,0,26345
20110923,AKRX,93854,0,211156
20110923,AKS,1476226,204565,2656550
20110923,AL,36000,0,310570
20110923,ALB,69101,0,132958
20110923,ALC,1250,0,7097
20110923,ALCO,200,0,1732
20110923,ALD,33506,0,84095
20110923,ALE,13218,0,86286
20110923,ALEX,4316,0,13609
20110923,ALG,2100,0,9505
20110923,ALGN,38179,0,177271
20110923,ALGT,2108,0,4441
20110923,ALIM,1700,0,12250
20110923,ALJ,25574,2000,73300
20110923,ALK,23264,0,45905
20110923,ALKS,43361,0,77059
20110923,ALL,367946,300,628887
20110923,ALLB,300,0,400
20110923,ALLT,12638,0,39536
20110923,ALLYpA,12034,0,2227313
20110923,ALLYpB,4750,0,208800
20110923,ALN,200,0,7193
20110923,ALNY,17735,0,46221
20110923,ALOG,1338,0,16281
20110923,ALPpO,200,0,200
20110923,ALR,19252,0,56231
20110923,ALRN,200,0,200
20110923,ALRpB,15,0,543
20110923,ALSK,100547,0,156333
20110923,ALT,13108,0,18093
20110923,ALTE,14824,0,78272
20110923,ALTH,55821,0,142650
20110923,ALTI,41211,0,108813
20110923,ALTR,221756,600,737073
20110923,ALU,1971203,0,4582229
20110923,ALV,67527,0,101951
20110923,ALVR,25900,0,55200
